        Q2    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]           AUzi        err[13]        AUcfqzi        err[14]       AUc2fqzi        err[15]           ALzi        err[16]        ALcfqzi        err[17]       BUcf12zi        err[18]    BUcfqmf12zi        err[19]    BUcfqpf12zi        err[20]   BUc2fqmf12zi        err[21]   BUc2fqpf12zi        err[22]       BLcf12zi        err[23]    BLcfqmf12zi        err[24]    BLcfqpf12zi        err[25]        time[s]     neval      fail
        10       0.139446    0.000301397      0.0588208    0.000160833     -0.0155786    3.32276e-05    -0.00240356    4.20936e-06      0.0328904    6.78914e-05     -0.0187125    4.20374e-05      0.0187125    4.20374e-05      0.0042733    1.05231e-05      0.0042733    1.05231e-05    -0.00096332    1.67968e-06    0.000301216    5.18921e-07   -0.000301216    5.18921e-07        1958.02        2.59579        136.519       0.233048        115.173       0.275424       -30.5033      0.0509662       -2.35312     0.00269277        64.4002       0.101892       -36.6395      0.0664498        36.6395      0.0664498        8.36724      0.0173637        8.36724      0.0173637        -1.8862     0.00213629       0.589789     0.00064886      -0.589789     0.00064886        14.8339  10000000         1
    18.414       0.195566    0.000101251       0.105811    7.16677e-05     -0.0365457    1.78884e-05     -0.0041418    1.81951e-06      0.0178875    1.08756e-05     -0.0225704    1.22305e-05      0.0225704    1.22305e-05     0.00809558    4.85982e-06     0.00809558    4.85982e-06    -0.00125629    5.53981e-07    0.000426678     1.8801e-07   -0.000426678     1.8801e-07        44066.3         14.858        4308.93        1.69292        4662.68        2.73901       -1610.43       0.571431       -91.2569      0.0256984        788.234       0.398803       -994.592        0.42191        994.592        0.42191        356.742       0.177183        356.742       0.177183       -55.3602      0.0157327        18.8021     0.00533374       -18.8021     0.00533374        15.0312  10000000         1
    26.828        0.19397     8.7307e-05       0.124588    7.36301e-05     -0.0388728    1.74691e-05    -0.00523666    2.02205e-06      0.0108018    8.28313e-06     -0.0211631    9.79337e-06      0.0211631    9.79337e-06     0.00983681    5.13657e-06     0.00983681    5.13657e-06    -0.00128574    5.08147e-07    0.000527325    2.03182e-07   -0.000527325    2.03182e-07        45833.5        13.4258        4445.16        1.51911        5710.32        2.93101       -1781.68         0.6072       -120.007      0.0301918        495.086       0.350853       -969.976       0.347489        969.976       0.347489        450.855       0.194895        450.855       0.194895       -58.9299      0.0156349        24.1691     0.00604981       -24.1691     0.00604981        15.7504  10000000         1
    35.242       0.187189    8.45971e-05       0.136692    7.94202e-05     -0.0413594     1.9096e-05    -0.00625269    2.44812e-06     0.00656796    7.95257e-06     -0.0194708    8.92486e-06      0.0194708    8.92486e-06      0.0111051    5.72843e-06      0.0111051    5.72843e-06    -0.00131571    5.37122e-07    0.000618677    2.40713e-07   -0.000618677    2.40713e-07        42500.3        12.4694         3977.8        1.36736        5809.46        2.91341       -1757.78       0.626653        -132.87      0.0344477         279.14       0.327913       -827.513       0.291425        827.513       0.291425        471.968       0.200244        471.968       0.200244       -55.9182      0.0158728        26.2939     0.00671905       -26.2939     0.00671905        15.7557  10000000         1
    43.656       0.178444    9.22057e-05       0.144574    9.22173e-05     -0.0438526    2.32282e-05    -0.00722174    3.25269e-06     0.00375041    8.49282e-06     -0.0177941     9.2702e-06      0.0177941     9.2702e-06      0.0120576    6.89223e-06      0.0120576    6.89223e-06    -0.00134745    6.41126e-07    0.000704371     3.1363e-07   -0.000704371     3.1363e-07        37909.8        12.5034         3382.4         1.3454        5480.79        2.99231       -1662.44       0.689037       -136.888      0.0419871        142.177       0.318528       -674.573       0.272036        674.573       0.272036        457.102       0.213401        457.102       0.213401       -51.0816      0.0175181        26.7026     0.00798745       -26.7026     0.00798745        16.1788  10000000         1
     52.07       0.169226    8.66533e-05       0.149627     8.8827e-05     -0.0457139    2.51001e-05    -0.00815325    3.66684e-06     0.00178687    7.63961e-06     -0.0162408    8.39607e-06      0.0162408    8.39607e-06      0.0127909    6.90238e-06      0.0127909    6.90238e-06    -0.00136828    6.76333e-07    0.000785995    3.46278e-07   -0.000785995    3.46278e-07        34731.9        11.0712        2938.77        1.17768        5196.81        2.60266       -1587.73        0.70982       -141.589      0.0449211        62.0614       0.264599       -564.073        0.22958        564.073        0.22958         444.25       0.193438         444.25       0.193438       -47.5228      0.0179532        27.2991     0.00830197       -27.2991     0.00830197        16.0097  10000000         1
    60.484         0.1603    8.89793e-05       0.153045    9.35587e-05     -0.0477585    2.82746e-05    -0.00907295    4.38397e-06    0.000401063    8.11329e-06     -0.0148561    8.41368e-06      0.0148561    8.41368e-06      0.0133893    7.49822e-06      0.0133893    7.49822e-06    -0.00139353     7.5284e-07    0.000865533    4.08546e-07   -0.000865533    4.08546e-07        31253.7        10.5469        2504.97        1.10399        4783.22        2.43815       -1492.63       0.726073       -141.781      0.0490313        12.5347       0.253535       -464.306       0.211179        464.306       0.211179        418.463       0.187021        418.463       0.187021       -43.5528      0.0183739        27.0511     0.00892763       -27.0511     0.00892763        15.5537  10000000         1
    68.898        0.15133    7.64084e-05       0.155114    8.21179e-05     -0.0492664    2.81384e-05    -0.00995519    4.30122e-06   -0.000580405    7.48433e-06     -0.0135763    7.12208e-06      0.0135763    7.12208e-06      0.0138626    6.72339e-06      0.0138626    6.72339e-06    -0.00140763    7.22087e-07    0.000941741    3.94699e-07   -0.000941741    3.94699e-07        28547.3        8.42842        2160.03       0.884737        4428.09        1.94583       -1406.42       0.687625       -142.097      0.0448237        -16.569       0.213601       -387.565        0.16806        387.565        0.16806        395.739       0.152274        395.739       0.152274       -40.1841      0.0168572        26.8842     0.00799728       -26.8842     0.00799728        15.4404  10000000         1
    77.312       0.143244    8.38171e-05       0.156355    9.96642e-05     -0.0510167    3.09994e-05     -0.0108559    5.37826e-06    -0.00128137    8.55527e-06     -0.0124568     7.8416e-06      0.0124568     7.8416e-06      0.0142634     8.2559e-06      0.0142634     8.2559e-06    -0.00142705    8.00442e-07     0.00101807    4.99184e-07    -0.00101807    4.99184e-07        25986.2        9.24023        1861.19        0.86489        4063.09        2.14947       -1325.73       0.653222       -141.052      0.0486589       -33.2981       0.222004       -323.705       0.168151        323.705       0.168151        370.652       0.169283        370.652       0.169283       -37.0836      0.0160867        26.4557     0.00893172       -26.4557     0.00893172        15.8808  10000000         1
    85.726       0.135277    6.93157e-05       0.157009    8.07876e-05     -0.0526681    2.88216e-05     -0.0117106     4.7788e-06    -0.00177562    7.19218e-06     -0.0114322    6.46637e-06      0.0114322    6.46637e-06      0.0145851    6.81509e-06      0.0145851    6.81509e-06    -0.00144458    7.22782e-07     0.00109092    4.34868e-07    -0.00109092    4.34868e-07        23880.7        6.79949        1615.25       0.688109        3749.49        1.60696       -1257.75       0.587777       -139.829      0.0408757       -42.4031       0.171329       -273.009        0.13343        273.009        0.13343        348.303       0.129044        348.303       0.129044       -34.4976      0.0141932        26.0519     0.00726807       -26.0519     0.00726807        16.2041  10000000         1
