z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0177497,0.0890698,0.0013362,0.0051491,0.163515,0.820536,0.0123094,0.0474349,0.171814,289.046,100000035,1
,0.15,0.0180147,0.0903998,0.00135615,0.00522598,0.163515,0.820536,0.0123094,0.0474349,0.174379,317.267,100000035,1
,0.2,0.0187583,0.0941311,0.00141212,0.00544169,0.163515,0.820536,0.0123094,0.0474349,0.181577,304.035,100000035,1
,0.25,0.0199302,0.0978546,0.00149662,0.00565349,0.164087,0.805649,0.0123219,0.0465459,0.192247,300.247,100000035,1
,0.3,0.0209524,0.1042,0.00158443,0.00602495,0.16244,0.807842,0.0122838,0.0467104,0.204157,298.329,100000035,1
,0.35,0.0221608,0.11079,0.00167527,0.00640662,0.162547,0.81263,0.0122879,0.0469918,0.21579,317.808,100000035,1
,0.4,0.023322,0.116805,0.00176107,0.00675418,0.162827,0.815498,0.0122953,0.0471556,0.226707,301.09,100000035,1
,0.45,0.024415,0.122368,0.00184215,0.00707547,0.16301,0.817007,0.0122994,0.0472402,0.237065,307.627,100000035,1
,0.5,0.0254424,0.127561,0.00191872,0.00737539,0.163117,0.817821,0.0123013,0.0472852,0.246879,301.808,100000035,1
,0.55,0.0263472,0.132121,0.00198632,0.00763878,0.163181,0.818288,0.0123022,0.0473106,0.255558,297.825,100000035,1
,0.6,0.0270092,0.135455,0.00203579,0.00783137,0.163222,0.818582,0.0123027,0.0473265,0.261914,301.486,100000035,1
,0.65,0.0273102,0.136975,0.00205816,0.00791906,0.163252,0.81879,0.012303,0.0473376,0.264784,300.8,100000035,1
,0.7,0.0271657,0.136257,0.00204702,0.00787748,0.163275,0.818951,0.0123033,0.0473463,0.263346,303.425,100000035,1
,0.75,0.026588,0.133366,0.00200327,0.00771022,0.163296,0.819092,0.0123035,0.0473538,0.257713,306.737,100000035,1
,0.8,0.0256805,0.128819,0.0019347,0.00744728,0.163316,0.819229,0.0123038,0.0473612,0.248886,294.041,100000035,1
