z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0111939,0.194032,0.000477282,0.002075,0.0495399,0.858709,0.00211226,0.00918314,0.357644,292.778,100000035,1
,0.15,0.0112882,0.195667,0.000481303,0.00209248,0.0495399,0.858709,0.00211226,0.00918314,0.360658,309.882,100000035,1
,0.2,0.0117528,0.203719,0.00050111,0.00217859,0.0495399,0.858709,0.00211226,0.00918314,0.3755,307.879,100000035,1
,0.25,0.0150905,0.203685,0.000533137,0.00217983,0.0597004,0.805811,0.00210918,0.00862378,0.400083,306.526,100000035,1
,0.3,0.0136925,0.22199,0.000563613,0.00235466,0.0505158,0.818984,0.00207933,0.00868702,0.429024,303.809,100000035,1
,0.35,0.0142064,0.243704,0.000606589,0.00259473,0.049082,0.841978,0.00209572,0.00896461,0.458127,304.3,100000035,1
,0.4,0.0151019,0.261123,0.000645878,0.00278682,0.0492207,0.851062,0.00210507,0.00908292,0.485634,309.63,100000035,1
,0.45,0.0159541,0.276295,0.000681791,0.00295164,0.049346,0.854584,0.00210879,0.00912946,0.511733,311.7,100000035,1
,0.5,0.0167659,0.290487,0.000716049,0.00310456,0.0494119,0.856114,0.00211032,0.00914966,0.537056,307.997,100000035,1
,0.55,0.0175341,0.303848,0.000748573,0.003248,0.0494465,0.85686,0.00211099,0.00915943,0.56127,307.556,100000035,1
,0.6,0.0182051,0.315501,0.000777035,0.0033729,0.049466,0.857264,0.00211132,0.00916468,0.582521,305.724,100000035,1
,0.65,0.0186972,0.324043,0.000797906,0.00346443,0.0494782,0.857514,0.00211149,0.00916788,0.598118,305.88,100000035,1
,0.7,0.0189296,0.32808,0.000807723,0.00350771,0.0494867,0.857684,0.0021116,0.00917005,0.605448,302.77,100000035,1
,0.75,0.0188649,0.326965,0.000804882,0.00349589,0.0494933,0.857815,0.00211166,0.0091717,0.603299,308.751,100000035,1
,0.8,0.0185293,0.321154,0.000790493,0.00343383,0.0494989,0.857925,0.00211171,0.00917308,0.5925,305.767,100000035,1
