        xB    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]   <dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]           AUzi        err[13]        AUcfqzi        err[14]       AUc2fqzi        err[15]           ALzi        err[16]        ALcfqzi        err[17]       BUcf12zi        err[18]    BUcfqmf12zi        err[19]    BUcfqpf12zi        err[20]   BUc2fqmf12zi        err[21]   BUc2fqpf12zi        err[22]       BLcf12zi        err[23]    BLcfqmf12zi        err[24]    BLcfqpf12zi        err[25]        time[s]     neval      fail
         0            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.227563   1000000         0
     0.001            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.245008   1000000         0
     0.002       0.118886    3.19073e-05      0.0408012    1.58502e-05     -0.0558428    1.96274e-05     -0.0031388    7.73455e-07      0.0933419    2.57062e-05     -0.0366641    1.02282e-05      0.0366641    1.02282e-05     0.00801775    2.60336e-06     0.00801775    2.60336e-06    -0.00447327    1.27978e-06    0.000820445    1.76098e-07   -0.000820445    1.76098e-07        3.91681    0.000621701       0.232827    5.03878e-05       0.159811    5.66637e-05      -0.218725     6.8591e-05    -0.00614704    1.15864e-06       0.365602    8.22808e-05      -0.143606    3.29449e-05       0.143606    3.29449e-05       0.031404    8.89547e-06       0.031404    8.89547e-06     -0.0175209    4.17042e-06     0.00321352    4.64295e-07    -0.00321352    4.64295e-07        3.28996  10000000         1
     0.003       0.155061    4.58544e-05      0.0649312    2.73686e-05     -0.0527377    1.83175e-05    -0.00392213     1.0059e-06      0.0746628    2.24789e-05     -0.0471808    1.45835e-05      0.0471808    1.45835e-05       0.012885    4.52649e-06       0.012885    4.52649e-06    -0.00429868    1.24689e-06     0.00102471    2.39238e-07    -0.00102471    2.39238e-07        4.81387    0.000827324       0.373221    8.98164e-05       0.312571      0.0001203      -0.253873    7.66271e-05    -0.00944031    1.79712e-06       0.359418    8.88478e-05      -0.227122     5.8351e-05       0.227122     5.8351e-05       0.062027    1.90043e-05       0.062027    1.90043e-05     -0.0206933    4.83535e-06     0.00493281    7.79499e-07    -0.00493281    7.79499e-07         3.2379  10000000         1
     0.004       0.171226    5.13653e-05      0.0791055    3.41704e-05     -0.0500729    1.71205e-05    -0.00433622    1.10086e-06      0.0637823    1.99799e-05       -0.05156    1.62183e-05        0.05156    1.62183e-05      0.0158335    5.66701e-06      0.0158335    5.66701e-06    -0.00412646    1.18898e-06      0.0011317    2.67318e-07     -0.0011317    2.67318e-07        4.76712    0.000842149       0.408127    9.89516e-05       0.377106    0.000148649      -0.238704    6.98777e-05     -0.0103357    1.88452e-06       0.304058    7.86555e-05      -0.245793    6.39701e-05       0.245793    6.39701e-05      0.0754804    2.34952e-05      0.0754804    2.34952e-05     -0.0196713    4.47775e-06     0.00539497    8.45932e-07    -0.00539497    8.45932e-07        3.22786  10000000         1
     0.005       0.180127    5.36817e-05      0.0889602    3.88652e-05     -0.0480188    1.61094e-05      -0.004632    1.15428e-06      0.0562939    1.83767e-05     -0.0537886    1.68515e-05      0.0537886    1.68515e-05      0.0179421    6.46313e-06      0.0179421    6.46313e-06    -0.00398711    1.13132e-06     0.00120739     2.8424e-07    -0.00120739     2.8424e-07        4.48934    0.000797068       0.404326    9.67799e-05       0.399372    0.000159421      -0.215573    6.13622e-05     -0.0103973    1.81808e-06       0.252722    6.92303e-05      -0.241475    6.23309e-05       0.241475    6.23309e-05      0.0805483    2.52459e-05      0.0805483    2.52459e-05     -0.0178995    3.96171e-06      0.0054204    8.37934e-07     -0.0054204    8.37934e-07        3.42983  10000000         1
     0.006       0.185569    5.69193e-05        0.09645    4.31809e-05        -0.0464    1.56023e-05    -0.00487133    1.24024e-06      0.0506628    1.80748e-05     -0.0550339    1.77696e-05      0.0550339    1.77696e-05       0.019585    7.24481e-06       0.019585    7.24481e-06    -0.00387381    1.11388e-06     0.00126815    3.11094e-07    -0.00126815    3.11094e-07        4.16449    0.000777386         0.3864    9.40445e-05       0.401665     0.00016345      -0.193232    5.40437e-05     -0.0101433    1.75615e-06       0.210985    6.41465e-05      -0.229188    6.03806e-05       0.229188    6.03806e-05      0.0815615    2.60477e-05      0.0815615    2.60477e-05     -0.0161324    3.52833e-06     0.00528119    8.40571e-07    -0.00528119    8.40571e-07        3.25019  10000000         1
     0.007       0.189099     5.9424e-05       0.102461    4.66281e-05      -0.045084    1.51804e-05    -0.00507735    1.31829e-06      0.0461902    1.80775e-05     -0.0557593    1.84865e-05      0.0557593    1.84865e-05      0.0209322    7.89513e-06      0.0209322    7.89513e-06    -0.00377947     1.0993e-06     0.00132011    3.34595e-07    -0.00132011    3.34595e-07        3.84829    0.000746487       0.363854    8.99563e-05       0.394298    0.000162321      -0.173496    4.77505e-05    -0.00976955    1.68607e-06       0.177753    6.04212e-05      -0.214578     5.7694e-05       0.214578     5.7694e-05       0.080553    2.60567e-05       0.080553    2.60567e-05     -0.0145445    3.15223e-06     0.00508016    8.28767e-07    -0.00508016    8.28767e-07        3.28357  10000000         1
     0.008       0.191469    6.30868e-05       0.107462    5.00768e-05      -0.043985    1.50276e-05    -0.00526105    1.41967e-06      0.0425039    1.84061e-05     -0.0561836    1.96114e-05      0.0561836    1.96114e-05      0.0220748     8.5802e-06      0.0220748     8.5802e-06    -0.00369908    1.11024e-06     0.00136619    3.62356e-07    -0.00136619    3.62356e-07        3.55735    0.000731324       0.340561    8.76894e-05       0.382281    0.000159868       -0.15647    4.26974e-05    -0.00935768    1.63565e-06       0.151201    5.76279e-05      -0.199864    5.63812e-05       0.199864    5.63812e-05      0.0785275     2.5904e-05      0.0785275     2.5904e-05     -0.0131589    2.87756e-06     0.00486002    8.14448e-07    -0.00486002    8.14448e-07        3.20795  10000000         1
     0.009       0.193081    6.38619e-05       0.111738    5.22919e-05     -0.0430446    1.46165e-05    -0.00542832    1.47089e-06      0.0393828    1.82568e-05     -0.0564205    1.98154e-05      0.0564205    1.98154e-05      0.0230675    9.01189e-06      0.0230675    9.01189e-06    -0.00362908    1.08756e-06     0.00140799     3.7765e-07    -0.00140799     3.7765e-07        3.29522    0.000684308       0.318122    8.18949e-05       0.368203    0.000154419      -0.141841    3.81076e-05    -0.00894375    1.55676e-06       0.129775    5.37859e-05      -0.185918    5.26587e-05       0.185918    5.26587e-05      0.0760124    2.51533e-05      0.0760124    2.51533e-05     -0.0119586    2.58377e-06     0.00463965    7.87587e-07    -0.00463965    7.87587e-07        3.34494  10000000         1
