         y    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]           AUzi        err[13]        AUcfqzi        err[14]       AUc2fqzi        err[15]           ALzi        err[16]        ALcfqzi        err[17]       BUcf12zi        err[18]    BUcfqmf12zi        err[19]    BUcfqpf12zi        err[20]   BUc2fqmf12zi        err[21]   BUc2fqpf12zi        err[22]       BLcf12zi        err[23]    BLcfqmf12zi        err[24]    BLcfqpf12zi        err[25]        time[s]     neval      fail
         0            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.170887   1000000         0
     0.001            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.168995   1000000         0
     0.002            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19        0.17021   1000000         0
     0.003            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.169403   1000000         0
     0.004            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.178348   1000000         0
     0.005            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.170686   1000000         0
     0.006            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.184865   1000000         0
     0.007            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.182015   1000000         0
     0.008            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.181303   1000000         0
     0.009            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19              0    2.22045e-19       0.182537   1000000         0
