         y    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]        time[s]     neval      fail
         0            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan      0.0288376    100000         0
      0.01            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan      0.0299366    100000         0
      0.02            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan      0.0298092    100000         0
      0.03            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan      0.0310911    100000         0
      0.04            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan      0.0308395    100000         0
      0.05            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan      0.0306678    100000         0
      0.06            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan      0.0305744    100000         0
      0.07            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan       0.030038    100000         0
      0.08       0.219559    0.000110751       0.108412    9.58598e-05     -0.0195493    1.67582e-05    -0.00282931    1.58346e-06      0.0573629    3.40438e-05     -0.0716517    3.99041e-05      0.0716517    3.99041e-05      0.0204199    1.37656e-05      0.0204199    1.37656e-05     -0.0022858    1.41097e-06    0.000821641      3.397e-07   -0.000821641      3.397e-07       0.355298   1000000         1
      0.09       0.222088    0.000139196       0.129424    0.000131781     -0.0205373    1.91865e-05    -0.00349603    2.30698e-06      0.0378105       4.33e-05     -0.0696468    4.86006e-05      0.0696468    4.86006e-05      0.0250752    2.03472e-05      0.0250752    2.03472e-05    -0.00230426    1.66324e-06    0.000994077     5.5144e-07   -0.000994077     5.5144e-07       0.357343   1000000         1
