        Q2    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]        time[s]     neval      fail
         3            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan            nan      0.0309196    100000         0
     5.485       0.196324     0.00028334       0.106306    0.000201457     -0.0381973    5.44528e-05    -0.00422312    5.19773e-06      0.0464649     8.3988e-05     -0.0591608     8.9384e-05      0.0591608     8.9384e-05      0.0211585    3.54594e-05      0.0211585    3.54594e-05    -0.00339292    4.24441e-06      0.0011292    1.38777e-06     -0.0011292    1.38777e-06       0.451279   1000000         1
      7.97       0.194724    0.000286313       0.125264    0.000239987     -0.0402392     5.8082e-05     -0.0052988    6.69087e-06      0.0289734    7.09431e-05     -0.0557693    8.42895e-05      0.0557693    8.42895e-05      0.0258105    4.38631e-05      0.0258105    4.38631e-05     -0.0034567    4.42802e-06     0.00139485    1.76144e-06    -0.00139485    1.76144e-06       0.949778   1000000         1
    10.455        0.18749    0.000272897       0.137011    0.000267162     -0.0423759    6.26305e-05    -0.00630541    8.05002e-06      0.0177875    6.94295e-05     -0.0513782    7.71081e-05      0.0513782    7.71081e-05      0.0291303    5.03097e-05      0.0291303    5.03097e-05    -0.00352952    4.64747e-06     0.00163871    2.12304e-06    -0.00163871    2.12304e-06       0.696307   1000000         1
     12.94       0.179095    0.000308642       0.144766    0.000309171     -0.0443618    7.76302e-05    -0.00727617    1.10097e-05      0.0101764    7.29102e-05     -0.0471186    8.19673e-05      0.0471186    8.19673e-05      0.0316668    6.06639e-05      0.0316668    6.06639e-05    -0.00359708    5.70383e-06     0.00186814    2.80369e-06    -0.00186814    2.80369e-06       0.706162   1000000         1
    15.425       0.169946    0.000251291       0.149792    0.000258157     -0.0462962    7.57621e-05    -0.00821527    1.07053e-05     0.00495056    6.28566e-05     -0.0431104    6.42303e-05      0.0431104    6.42303e-05      0.0336345    5.23771e-05      0.0336345    5.23771e-05    -0.00366178    5.31097e-06     0.00208824    2.65787e-06    -0.00208824    2.65787e-06        0.63686   1000000         1
     17.91       0.160878    0.000246978       0.153197    0.000257747     -0.0480657    8.35202e-05    -0.00912642    1.22706e-05     0.00121196    6.22277e-05      -0.039464    6.16502e-05       0.039464    6.16502e-05      0.0352316    5.41012e-05      0.0352316    5.41012e-05    -0.00371665    5.75788e-06     0.00229993    3.00312e-06    -0.00229993    3.00312e-06       0.531003   1000000         1
    20.395       0.152141    0.000242809       0.155379    0.000260419      -0.049779    8.97577e-05     -0.0100204    1.37224e-05    -0.00144212    6.25915e-05     -0.0361686    5.98399e-05      0.0361686    5.98399e-05      0.0365337    5.61281e-05      0.0365337    5.61281e-05    -0.00376863    6.10553e-06     0.00250577    3.32874e-06    -0.00250577    3.32874e-06       0.530796   1000000         1
     22.88       0.143856    0.000228872       0.156608    0.000256486     -0.0514886    9.04305e-05     -0.0109044    1.43988e-05     -0.0032779    6.10617e-05     -0.0331997    5.62885e-05      0.0331997    5.62885e-05      0.0375934     5.6143e-05      0.0375934     5.6143e-05    -0.00382083    6.07771e-06     0.00270752    3.47889e-06    -0.00270752    3.47889e-06       0.508119   1000000         1
    25.365       0.136047    0.000220631       0.157425    0.000256849     -0.0529975    9.20044e-05     -0.0117663    1.52562e-05    -0.00467524    6.08654e-05     -0.0305242    5.44441e-05      0.0305242    5.44441e-05      0.0385218     5.7122e-05      0.0385218     5.7122e-05    -0.00386091    6.12638e-06     0.00290344      3.676e-06    -0.00290344      3.676e-06       0.447954   1000000         1
     27.85       0.128705    0.000211988        0.15772    0.000254734     -0.0544994    9.27695e-05     -0.0126204    1.59703e-05    -0.00562518    5.97103e-05     -0.0281015    5.27478e-05      0.0281015    5.27478e-05      0.0392962    5.74783e-05      0.0392962    5.74783e-05    -0.00390085    6.12658e-06     0.00309632    3.84156e-06    -0.00309632    3.84156e-06       0.445058   1000000         1
    30.335       0.121811    0.000208818       0.157731    0.000256421     -0.0559005    9.51491e-05     -0.0134616    1.69997e-05    -0.00629512    5.93167e-05     -0.0259034    5.24242e-05      0.0259034    5.24242e-05      0.0399704    5.87851e-05      0.0399704    5.87851e-05    -0.00393488    6.24418e-06     0.00328544    4.07878e-06    -0.00328544    4.07878e-06       0.425483   1000000         1
     32.82       0.115342    0.000215323       0.157412    0.000266802     -0.0572972    0.000101017     -0.0142957    1.87564e-05    -0.00666339    5.98915e-05      -0.023901     5.4678e-05       0.023901     5.4678e-05      0.0405365    6.23854e-05      0.0405365    6.23854e-05    -0.00396877    6.61522e-06     0.00347196    4.49064e-06    -0.00347196    4.49064e-06       0.643206   1000000         1
    35.305       0.109228    0.000199244       0.157076    0.000250467     -0.0585228    9.72327e-05     -0.0151129    1.84848e-05    -0.00699384    5.76209e-05     -0.0220623     5.1176e-05      0.0220623     5.1176e-05       0.041059    5.91194e-05       0.041059    5.91194e-05    -0.00399263    6.32372e-06     0.00365436    4.41377e-06    -0.00365436    4.41377e-06       0.514299   1000000         1
     37.79        0.10351    0.000210543       0.156467    0.000264467     -0.0597822     0.00010447     -0.0159283     2.0707e-05    -0.00705913    5.84157e-05      -0.020383    5.45559e-05       0.020383    5.45559e-05      0.0414923    6.37021e-05      0.0414923    6.37021e-05    -0.00401868    6.80493e-06     0.00383538    4.93335e-06    -0.00383538    4.93335e-06       0.570622   1000000         1
    40.275      0.0980793    0.000196555       0.155906    0.000246902     -0.0608818    0.000101313     -0.0167272    2.02824e-05    -0.00716507     5.6564e-05     -0.0188263    5.14157e-05      0.0188263    5.14157e-05      0.0419039    6.00371e-05      0.0419039    6.00371e-05    -0.00403536     6.5473e-06     0.00401255    4.81064e-06    -0.00401255    4.81064e-06       0.524997   1000000         1
     42.76      0.0929647    0.000195579       0.155205    0.000244809     -0.0619775    0.000103475     -0.0175214    2.11696e-05    -0.00712121    5.60831e-05     -0.0173884     5.1582e-05      0.0173884     5.1582e-05      0.0422557    6.03522e-05      0.0422557    6.03522e-05    -0.00405192    6.66687e-06     0.00418802    5.00682e-06    -0.00418802    5.00682e-06       0.369423   1000000         1
    45.245      0.0881225    0.000193711        0.15445    0.000240809     -0.0630017     0.00010468     -0.0183068    2.18587e-05    -0.00701361    5.49869e-05     -0.0160552    5.14946e-05      0.0160552    5.14946e-05      0.0425692    6.01506e-05      0.0425692    6.01506e-05    -0.00406454    6.73071e-06      0.0043611    5.15558e-06     -0.0043611    5.15558e-06        0.45846   1000000         1
     47.73      0.0835508    0.000206117       0.153629    0.000253938      -0.063985    0.000112688     -0.0190846    2.43017e-05    -0.00680008    5.47304e-05     -0.0148186    5.50408e-05      0.0148186    5.50408e-05      0.0428433    6.44525e-05      0.0428433    6.44525e-05    -0.00407486    7.25836e-06     0.00453201    5.71619e-06    -0.00453201    5.71619e-06       0.459034   1000000         1
    50.215      0.0791917    0.000194103       0.152817    0.000236312     -0.0649127    0.000109155     -0.0198561    2.36404e-05    -0.00664898    5.36045e-05     -0.0136628    5.21032e-05      0.0136628    5.21032e-05      0.0430974    6.05887e-05      0.0430974    6.05887e-05    -0.00408223    6.99113e-06     0.00470122    5.54026e-06    -0.00470122    5.54026e-06       0.535749   1000000         1
      52.7      0.0750605    0.000217668       0.151984    0.000271785     -0.0657752     0.00011991     -0.0206189    2.84316e-05    -0.00642816     6.0079e-05     -0.0125878    5.81188e-05      0.0125878    5.81188e-05      0.0433245     7.0844e-05      0.0433245     7.0844e-05    -0.00408622    7.73237e-06     0.00486812    6.66497e-06    -0.00486812    6.66497e-06        0.51834   1000000         1
    55.185      0.0711183    0.000197185       0.151129    0.000236543     -0.0666117    0.000114201     -0.0213757    2.59144e-05    -0.00617677    5.32158e-05     -0.0115698    5.31679e-05      0.0115698    5.31679e-05      0.0435274     6.2293e-05      0.0435274     6.2293e-05    -0.00408841    7.30498e-06     0.00503345    6.04417e-06    -0.00503345    6.04417e-06       0.433244   1000000         1
     57.67      0.0673516     0.00021303       0.150267    0.000259846     -0.0673658    0.000121983     -0.0221238    2.96409e-05    -0.00589918    5.83536e-05     -0.0106175    5.72234e-05      0.0106175    5.72234e-05      0.0437078     6.9285e-05      0.0437078     6.9285e-05    -0.00408616    7.83586e-06     0.00519663    6.90743e-06    -0.00519663    6.90743e-06       0.439512   1000000         1
    60.155      0.0637659    0.000199128       0.149416    0.000233686     -0.0681254    0.000119843     -0.0228686    2.80168e-05    -0.00563046    5.35585e-05     -0.0097175     5.3744e-05      0.0097175     5.3744e-05      0.0438759    6.31166e-05      0.0438759    6.31166e-05    -0.00408446    7.64922e-06     0.00535873    6.49878e-06    -0.00535873    6.49878e-06       0.448448   1000000         1
     62.64      0.0603396    0.000196962       0.148559    0.000224426      -0.068819    0.000120609     -0.0236059    2.80487e-05     -0.0053346    5.17553e-05    -0.00886897    5.32846e-05     0.00886897    5.32846e-05      0.0440245    6.11478e-05      0.0440245    6.11478e-05    -0.00407895    7.68748e-06     0.00551901    6.47799e-06    -0.00551901    6.47799e-06       0.456703   1000000         1
    65.125      0.0570826    0.000200783       0.147703    0.000227136     -0.0694723    0.000124415     -0.0243378    2.97351e-05    -0.00503474    5.23082e-05    -0.00807315     5.4191e-05     0.00807315     5.4191e-05      0.0441596    6.29294e-05      0.0441596    6.29294e-05    -0.00407171    7.92902e-06     0.00567783    6.85444e-06    -0.00567783    6.85444e-06       0.483215   1000000         1
     67.61      0.0538956    0.000214782       0.146828    0.000245285     -0.0700907    0.000132504      -0.025064     3.3262e-05    -0.00471181    5.66591e-05    -0.00730498     5.7947e-05     0.00730498     5.7947e-05      0.0442723    6.84618e-05      0.0442723    6.84618e-05    -0.00406171    8.50337e-06     0.00583506    7.67551e-06    -0.00583506    7.67551e-06       0.431182   1000000         1
    70.095      0.0508711    0.000213652       0.145999     0.00023913      -0.070651    0.000132909      -0.025783    3.35873e-05    -0.00441151    5.49857e-05    -0.00658235    5.76818e-05     0.00658235    5.76818e-05      0.0443846    6.73546e-05      0.0443846    6.73546e-05    -0.00404937    8.53822e-06     0.00599072    7.73085e-06    -0.00599072    7.73085e-06       0.653665   1000000         1
     72.58       0.047974    0.000200723       0.145184    0.000218296     -0.0711912    0.000131229     -0.0264955    3.19493e-05    -0.00410794    5.16301e-05    -0.00589772    5.40743e-05     0.00589772    5.40743e-05      0.0444861    6.21862e-05      0.0444861    6.21862e-05    -0.00403641    8.33775e-06     0.00614486    7.30948e-06    -0.00614486    7.30948e-06       0.448303   1000000         1
    75.065      0.0452484    0.000210266       0.144274    0.000223023     -0.0717628    0.000137422      -0.027211    3.39569e-05    -0.00373508    5.13444e-05    -0.00526472    5.65061e-05     0.00526472    5.65061e-05      0.0445569    6.43413e-05      0.0445569    6.43413e-05     -0.0040251    8.77604e-06     0.00629901    7.74876e-06    -0.00629901    7.74876e-06       0.386111   1000000         1
     77.55      0.0425493    0.000210499       0.143476    0.000220593     -0.0722129    0.000139358     -0.0279125    3.47739e-05    -0.00343075     5.1492e-05    -0.00463846    5.64783e-05     0.00463846    5.64783e-05      0.0446385    6.42599e-05      0.0446385    6.42599e-05    -0.00400686    8.90396e-06     0.00645036    7.91927e-06    -0.00645036    7.91927e-06       0.463575   1000000         1
    80.035      0.0399286    0.000199953       0.142701    0.000206933     -0.0726036    0.000136197      -0.028607    3.37538e-05    -0.00312955    5.08738e-05    -0.00403317      5.362e-05     0.00403317      5.362e-05       0.044713    6.06815e-05       0.044713    6.06815e-05    -0.00398519    8.66841e-06     0.00660011    7.66626e-06    -0.00660011    7.66626e-06       0.372988   1000000         1
     82.52      0.0373982    0.000214777       0.141921    0.000224772     -0.0729655    0.000144165     -0.0292972    3.76044e-05    -0.00282916    5.49766e-05    -0.00345787    5.75147e-05     0.00345787    5.75147e-05      0.0447778    6.65053e-05      0.0447778    6.65053e-05     -0.0039623    9.26027e-06      0.0067489    8.56115e-06     -0.0067489    8.56115e-06       0.583612   1000000         1
    85.005      0.0349959    0.000203205       0.141158    0.000209343     -0.0733331    0.000141367     -0.0299847    3.62885e-05    -0.00252762    5.18292e-05    -0.00291624    5.43129e-05     0.00291624    5.43129e-05      0.0448394    6.25731e-05      0.0448394    6.25731e-05    -0.00394044    8.99676e-06     0.00689654    8.22619e-06    -0.00689654    8.22619e-06       0.442371   1000000         1
     87.49      0.0326601    0.000200211       0.140388    0.000199472     -0.0736563    0.000142688     -0.0306673    3.59232e-05    -0.00221593    5.08755e-05    -0.00239201    5.33498e-05     0.00239201    5.33498e-05      0.0448878    6.01502e-05      0.0448878    6.01502e-05     -0.0039158    9.07485e-06     0.00704319    8.10969e-06    -0.00704319    8.10969e-06       0.375188   1000000         1
    89.975      0.0304586    0.000211377       0.139564    0.000208994     -0.0740276    0.000150902     -0.0313525    3.88967e-05    -0.00187064    5.28012e-05     -0.0019075    5.60984e-05      0.0019075    5.60984e-05      0.0449165    6.37651e-05      0.0449165    6.37651e-05    -0.00389419     9.6341e-06     0.00718996     8.7718e-06    -0.00718996     8.7718e-06       0.328353   1000000         1
     92.46      0.0282302    0.000200699       0.138842    0.000196088     -0.0742413     0.00014748     -0.0320192    3.76222e-05    -0.00156927    5.27903e-05    -0.00141075    5.32405e-05     0.00141075    5.32405e-05      0.0449564    6.02144e-05      0.0449564    6.02144e-05    -0.00386299    9.38712e-06     0.00733311    8.46399e-06    -0.00733311    8.46399e-06        0.32559   1000000         1
    94.945      0.0261112    0.000199877       0.138136    0.000193556     -0.0744665    0.000149425     -0.0326914    3.82703e-05    -0.00130463    5.48317e-05   -0.000946299    5.29215e-05    0.000946299    5.29215e-05      0.0449975    5.99749e-05      0.0449975    5.99749e-05    -0.00383384     9.5431e-06     0.00747719    8.59701e-06    -0.00747719    8.59701e-06        0.32447   1000000         1
     97.43      0.0240384    0.000198903       0.137394    0.000194006     -0.0746272     0.00015431      -0.033345    3.95279e-05   -0.000975959    6.24698e-05   -0.000492688    5.26058e-05    0.000492688    5.26058e-05      0.0450171    6.06903e-05      0.0450171    6.06903e-05    -0.00379965    9.88469e-06     0.00761725    8.88284e-06    -0.00761725    8.88284e-06       0.355331   1000000         1
    99.915      0.0220521    0.000199613       0.136687    0.000201544     -0.0748112    0.000170189     -0.0340093    4.30142e-05   -0.000696566    8.01189e-05   -6.43775e-05    5.28895e-05    6.43775e-05    5.28895e-05      0.0450421    6.37122e-05      0.0450421    6.37122e-05    -0.00376831    1.09068e-05     0.00775934    9.68896e-06    -0.00775934    9.68896e-06       0.346802   1000000         1
     102.4      0.0201398    0.000203345       0.135982    0.000192153       -0.07502    0.000157376     -0.0346719    4.15187e-05   -0.000400906    5.37478e-05    0.000346168    5.34858e-05   -0.000346168    5.34858e-05      0.0450612    6.09253e-05      0.0450612    6.09253e-05    -0.00373905    1.00318e-05     0.00790091    9.28272e-06    -0.00790091    9.28272e-06        0.33759   1000000         1
   104.885      0.0182673    0.000225215       0.135262    0.000217648      -0.075167    0.000180042     -0.0353241    5.01591e-05    -9.0096e-05    4.72378e-05    0.000746311    5.90346e-05   -0.000746311    5.90346e-05      0.0450669    6.93043e-05      0.0450669    6.93043e-05    -0.00370555    1.12859e-05     0.00804014    1.12154e-05    -0.00804014    1.12154e-05       0.346351   1000000         1
    107.37      0.0164203    0.000224001        0.13462    0.000214823     -0.0752184    0.000179707     -0.0359649    5.05107e-05    0.000174422    4.72216e-05     0.00113963    5.86459e-05    -0.00113963    5.86459e-05      0.0450877    6.88439e-05      0.0450877    6.88439e-05    -0.00366724    1.12951e-05     0.00817714     1.1285e-05    -0.00817714     1.1285e-05       0.362477   1000000         1
   109.855      0.0146642     0.00021761       0.133916    0.000204896     -0.0753261    0.000173388     -0.0366115    4.86808e-05    0.000474341     4.7438e-05     0.00150957    5.69484e-05    -0.00150957    5.69484e-05      0.0450859    6.60331e-05      0.0450859    6.60331e-05    -0.00363205    1.09677e-05     0.00831495    1.08617e-05    -0.00831495    1.08617e-05       0.346285   1000000         1
    112.34      0.0129074    0.000216655       0.133273    0.000205102     -0.0753287    0.000172896     -0.0372425    4.93963e-05    0.000748732    4.96235e-05     0.00188038     5.6692e-05    -0.00188038     5.6692e-05      0.0450924    6.65521e-05      0.0450924    6.65521e-05    -0.00359116    1.09833e-05     0.00844965    1.10218e-05    -0.00844965    1.10218e-05       0.324808   1000000         1
   114.825      0.0112337    0.000214673        0.13262    0.000201799     -0.0753529    0.000171231     -0.0378797    4.93282e-05      0.0010246    5.06774e-05     0.00222956    5.61468e-05    -0.00222956    5.61468e-05      0.0450929    6.58064e-05      0.0450929    6.58064e-05     -0.0035517    1.09292e-05     0.00858542    1.10029e-05    -0.00858542    1.10029e-05       0.329126   1000000         1
    117.31     0.00960662    0.000209934       0.131963     0.00019197     -0.0753747    0.000166388     -0.0385126    4.76044e-05     0.00130832    4.95372e-05     0.00256836    5.48843e-05    -0.00256836    5.48843e-05      0.0450863    6.28421e-05      0.0450863    6.28421e-05    -0.00351202     1.0694e-05     0.00872017    1.06003e-05    -0.00872017    1.06003e-05       0.329042   1000000         1
   119.795     0.00800727    0.000209188       0.131347    0.000192394     -0.0753337    0.000166352     -0.0391406    4.82553e-05     0.00156142    5.21308e-05      0.0028995    5.47266e-05     -0.0028995    5.47266e-05      0.0450861    6.32985e-05      0.0450861    6.32985e-05    -0.00346957    1.07539e-05     0.00885391    1.07536e-05    -0.00885391    1.07536e-05       0.346566   1000000         1
    122.28     0.00643966    0.000206636       0.130712    0.000187402      -0.075286    0.000164007     -0.0397611     4.7557e-05     0.00183958    5.30932e-05     0.00322099    5.40651e-05    -0.00322099    5.40651e-05      0.0450737    6.18371e-05      0.0450737    6.18371e-05    -0.00342663    1.06618e-05     0.00898583    1.05945e-05    -0.00898583    1.05945e-05       0.459231   1000000         1
   124.765     0.00492613    0.000201545       0.130092    0.000177603     -0.0752186    0.000161295     -0.0403805    4.57744e-05     0.00210714    5.44112e-05     0.00353224    5.27453e-05    -0.00353224    5.27453e-05      0.0450616    5.88005e-05      0.0450616    5.88005e-05     -0.0033824     1.0569e-05     0.00911756    1.01844e-05    -0.00911756    1.01844e-05       0.411597   1000000         1
    127.25     0.00343407    0.000214743         0.1295    0.000192343     -0.0751206    0.000171867     -0.0410044    5.05781e-05     0.00233775    6.29318e-05     0.00383815    5.63714e-05    -0.00383815    5.63714e-05       0.045054    6.38747e-05       0.045054    6.38747e-05    -0.00333774     1.1425e-05     0.00925008    1.12933e-05    -0.00925008    1.12933e-05       0.332623   1000000         1
   129.735     0.00207715    0.000205837       0.128819    0.000179358     -0.0750995     0.00017313     -0.0416183     4.8629e-05     0.00266404    6.81816e-05     0.00411084    5.38661e-05    -0.00411084    5.38661e-05      0.0450173    6.01222e-05      0.0450173    6.01222e-05    -0.00329632     1.1481e-05     0.00938028    1.08282e-05    -0.00938028    1.08282e-05       0.324879   1000000         1
    132.22    0.000578405    0.000197318       0.128352    0.000189383     -0.0748965    0.000207617     -0.0422364      5.503e-05     0.00278391    9.05729e-05     0.00441864     5.2018e-05    -0.00441864     5.2018e-05       0.045034    6.41971e-05       0.045034    6.41971e-05    -0.00324835    1.34401e-05     0.00951207    1.22944e-05    -0.00951207    1.22944e-05       0.324749   1000000         1
   134.705   -0.000812511    0.000197315       0.127706    0.000179724     -0.0747295    0.000192576     -0.0428285    5.23962e-05     0.00311062    8.45239e-05     0.00470251    5.19755e-05    -0.00470251    5.19755e-05      0.0449919    6.10423e-05      0.0449919    6.10423e-05    -0.00319598    1.28849e-05     0.00963779     1.1683e-05    -0.00963779     1.1683e-05       0.325129   1000000         1
    137.19     -0.0021237    0.000216041       0.127052    0.000195855     -0.0745332    0.000187716     -0.0434157    5.68002e-05     0.00340937    7.91018e-05     0.00496028    5.66014e-05    -0.00496028    5.66014e-05      0.0449454    6.65929e-05      0.0449454    6.65929e-05    -0.00314517    1.26248e-05     0.00976166    1.26712e-05    -0.00976166    1.26712e-05        0.31918   1000000         1
   139.675    -0.00348776    0.000201598       0.126547    0.000175072     -0.0743216    0.000175953     -0.0440146    5.13046e-05       0.003634    6.77393e-05     0.00523602    5.25021e-05    -0.00523602    5.25021e-05      0.0449392    5.98091e-05      0.0449392    5.98091e-05    -0.00309422    1.17717e-05     0.00988905    1.13902e-05    -0.00988905    1.13902e-05       0.322104   1000000         1
    142.16    -0.00476996     0.00019823       0.125992    0.000165728     -0.0741141    0.000172483     -0.0446136    4.94856e-05     0.00388305    6.16689e-05     0.00549019    5.13862e-05    -0.00549019    5.13862e-05      0.0449166    5.69223e-05      0.0449166    5.69223e-05    -0.00304413    1.14924e-05      0.0100159    1.09495e-05     -0.0100159    1.09495e-05       0.321258   1000000         1
   144.645     -0.0060378    0.000214641       0.125434    0.000183287     -0.0738631    0.000182017     -0.0452088    5.55917e-05     0.00412091    6.15261e-05     0.00574345    5.56328e-05    -0.00574345    5.56328e-05      0.0448888    6.31483e-05      0.0448888    6.31483e-05    -0.00299127    1.22451e-05       0.010142    1.23358e-05      -0.010142    1.23358e-05       0.337988   1000000         1
    147.13    -0.00727787    0.000200514       0.124885    0.000167902     -0.0736048    0.000176432     -0.0457898    5.21147e-05     0.00436969    6.01116e-05     0.00598824    5.17365e-05    -0.00598824    5.17365e-05      0.0448569    5.82965e-05      0.0448569    5.82965e-05    -0.00293818    1.17439e-05      0.0102651    1.15133e-05     -0.0102651    1.15133e-05       0.337589   1000000         1
   149.615    -0.00849108    0.000202163       0.124355    0.000169096     -0.0733311    0.000176613     -0.0463779    5.32773e-05     0.00459432     5.8554e-05     0.00622974    5.20972e-05    -0.00622974    5.20972e-05      0.0448292     5.8961e-05      0.0448292     5.8961e-05    -0.00288408    1.18181e-05      0.0103897    1.17641e-05     -0.0103897    1.17641e-05       0.326147   1000000         1
     152.1    -0.00965723    0.000200977       0.123794    0.000165483     -0.0730717    0.000176968     -0.0469622    5.31671e-05     0.00484696    5.72448e-05     0.00645792    5.16574e-05    -0.00645792    5.16574e-05       0.044789     5.7989e-05       0.044789     5.7989e-05    -0.00283127    1.18392e-05      0.0105132    1.17205e-05     -0.0105132    1.17205e-05       0.344121   1000000         1
   154.585     -0.0108505    0.000201222       0.123284     0.00016486     -0.0727067    0.000177358     -0.0475325    5.37928e-05     0.00508072    5.71199e-05     0.00669431    5.16445e-05    -0.00669431    5.16445e-05      0.0447587    5.80103e-05      0.0447587    5.80103e-05    -0.00277183    1.19025e-05       0.010634    1.18507e-05      -0.010634    1.18507e-05       0.326364   1000000         1
    157.07     -0.0119887    0.000208756       0.122753    0.000181195     -0.0723707    0.000183337     -0.0481065    5.98196e-05     0.00530211    6.16599e-05     0.00691491     5.3454e-05    -0.00691491     5.3454e-05      0.0447209    6.39006e-05      0.0447209    6.39006e-05    -0.00271581    1.22745e-05      0.0107553    1.32025e-05     -0.0107553    1.32025e-05       0.318052   1000000         1
   159.555      -0.013094    0.000209569       0.122247    0.000181757     -0.0720238    0.000183134     -0.0486787    6.07004e-05     0.00553053    6.01811e-05     0.00712754    5.36087e-05    -0.00712754    5.36087e-05      0.0446869     6.4314e-05      0.0446869     6.4314e-05    -0.00265919    1.22859e-05      0.0108763    1.33913e-05     -0.0108763    1.33913e-05       0.324636   1000000         1
    162.04     -0.0142479     0.00021861       0.121748    0.000180576     -0.0716367    0.000190129     -0.0492509    6.15754e-05     0.00574921     5.8128e-05     0.00735771    5.59973e-05    -0.00735771    5.59973e-05      0.0446519    6.39871e-05      0.0446519    6.39871e-05    -0.00259908    1.29528e-05      0.0109972    1.36022e-05     -0.0109972    1.36022e-05         0.3173   1000000         1
