z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,<ALL|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.0326347,1.64312e-05,0.0326347,1.64312e-05,0.0326347,1.64312e-05,0.0326347,1.64312e-05,-0.000327839,1.65063e-07,-0.000327839,1.65063e-07,-0.000327839,1.65063e-07,-0.000327839,1.65063e-07,0.148412,7.47237e-05,0.148412,7.47237e-05,0.348044,0.348044,-0.00349636,-0.00349636,858.902,100000000,1
,0.15,0.0319813,1.62276e-05,0.0319813,1.62276e-05,0.0319813,1.62276e-05,0.0319813,1.62276e-05,-0.00118956,6.03597e-07,-0.00118956,6.03597e-07,-0.00118956,6.03597e-07,-0.00118956,6.03597e-07,0.14705,7.46147e-05,0.14705,7.46147e-05,0.344235,0.344235,-0.0128041,-0.0128041,859.302,100000000,1
,0.2,0.032081,1.68349e-05,0.032081,1.68349e-05,0.032081,1.68349e-05,0.032081,1.68349e-05,-0.0024698,1.29606e-06,-0.0024698,1.29606e-06,-0.0024698,1.29606e-06,-0.0024698,1.29606e-06,0.1464,7.68251e-05,0.1464,7.68251e-05,0.346843,0.346843,-0.0267022,-0.0267022,855.436,100000000,1
,0.25,0.0328386,1.74281e-05,0.0328386,1.74281e-05,0.0328386,1.74281e-05,0.0328386,1.74281e-05,-0.00399589,2.1207e-06,-0.00399589,2.1207e-06,-0.00399589,2.1207e-06,-0.00399589,2.1207e-06,0.146194,7.75882e-05,0.146194,7.75882e-05,0.355532,0.355532,-0.0432621,-0.0432621,861.944,100000000,1
,0.3,0.0338901,1.80669e-05,0.0338901,1.80669e-05,0.0338901,1.80669e-05,0.0338901,1.80669e-05,-0.00560187,2.98637e-06,-0.00560187,2.98637e-06,-0.00560187,2.98637e-06,-0.00560187,2.98637e-06,0.146136,7.79052e-05,0.146136,7.79052e-05,0.367064,0.367064,-0.0606739,-0.0606739,862.701,100000000,1
,0.35,0.0349397,1.86655e-05,0.0349397,1.86655e-05,0.0349397,1.86655e-05,0.0349397,1.86655e-05,-0.00720455,3.84882e-06,-0.00720455,3.84882e-06,-0.00720455,3.84882e-06,-0.00720455,3.84882e-06,0.146089,7.8044e-05,0.146089,7.8044e-05,0.378551,0.378551,-0.0780571,-0.0780571,863.471,100000000,1
,0.4,0.035851,1.91775e-05,0.035851,1.91775e-05,0.035851,1.91775e-05,0.035851,1.91775e-05,-0.00879572,4.70504e-06,-0.00879572,4.70504e-06,-0.00879572,4.70504e-06,-0.00879572,4.70504e-06,0.146042,7.81216e-05,0.146042,7.81216e-05,0.388549,0.388549,-0.0953272,-0.0953272,862.896,100000000,1
,0.45,0.0366513,1.96168e-05,0.0366513,1.96168e-05,0.0366513,1.96168e-05,0.0366513,1.96168e-05,-0.0103792,5.55525e-06,-0.0103792,5.55525e-06,-0.0103792,5.55525e-06,-0.0103792,5.55525e-06,0.146034,7.81616e-05,0.146034,7.81616e-05,0.397246,0.397246,-0.112496,-0.112496,861.712,100000000,1
,0.5,0.0374454,2.00453e-05,0.0374454,2.00453e-05,0.0374454,2.00453e-05,0.0374454,2.00453e-05,-0.0118831,6.36127e-06,-0.0118831,6.36127e-06,-0.0118831,6.36127e-06,-0.0118831,6.36127e-06,0.146027,7.81711e-05,0.146027,7.81711e-05,0.405873,0.405873,-0.128802,-0.128802,860.484,100000000,1
,0.55,0.0383589,2.05461e-05,0.0383589,2.05461e-05,0.0383589,2.05461e-05,0.0383589,2.05461e-05,-0.0131392,7.03772e-06,-0.0131392,7.03772e-06,-0.0131392,7.03772e-06,-0.0131392,7.03772e-06,0.146025,7.82149e-05,0.146025,7.82149e-05,0.41578,0.41578,-0.142419,-0.142419,864.159,100000000,1
,0.6,0.0394577,2.11115e-05,0.0394577,2.11115e-05,0.0394577,2.11115e-05,0.0394577,2.11115e-05,-0.0139171,7.4462e-06,-0.0139171,7.4462e-06,-0.0139171,7.4462e-06,-0.0139171,7.4462e-06,0.146041,7.81379e-05,0.146041,7.81379e-05,0.427644,0.427644,-0.150833,-0.150833,857.081,100000000,1
,0.65,0.0407044,2.17432e-05,0.0407044,2.17432e-05,0.0407044,2.17432e-05,0.0407044,2.17432e-05,-0.0140374,7.49838e-06,-0.0140374,7.49838e-06,-0.0140374,7.49838e-06,-0.0140374,7.49838e-06,0.146099,7.80418e-05,0.146099,7.80418e-05,0.440982,0.440982,-0.152077,-0.152077,863.309,100000000,1
,0.7,0.0420097,2.23545e-05,0.0420097,2.23545e-05,0.0420097,2.23545e-05,0.0420097,2.23545e-05,-0.0133589,7.10863e-06,-0.0133589,7.10863e-06,-0.0133589,7.10863e-06,-0.0133589,7.10863e-06,0.146132,7.77611e-05,0.146132,7.77611e-05,0.455017,0.455017,-0.144693,-0.144693,862.489,100000000,1
