z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0196304,9.57091e-06,0.0196304,9.57091e-06,0.148239,7.22748e-05,0.148239,7.22748e-05,0.2096,852.26,100000000,1
,0.15,0.020106,9.7997e-06,0.020106,9.7997e-06,0.148231,7.2248e-05,0.148231,7.2248e-05,0.21469,851.611,100000000,1
,0.2,0.0209653,1.02261e-05,0.0209653,1.02261e-05,0.148202,7.22876e-05,0.148202,7.22876e-05,0.223909,853.329,100000000,1
,0.25,0.0220745,1.07651e-05,0.0220745,1.07651e-05,0.148185,7.22657e-05,0.148185,7.22657e-05,0.235782,850.498,100000000,1
,0.3,0.0232363,1.13236e-05,0.0232363,1.13236e-05,0.148167,7.22054e-05,0.148167,7.22054e-05,0.248222,851.748,100000000,1
,0.35,0.0243475,1.18611e-05,0.0243475,1.18611e-05,0.148163,7.21792e-05,0.148163,7.21792e-05,0.260099,853.486,100000000,1
,0.4,0.0253939,1.23682e-05,0.0253939,1.23682e-05,0.148162,7.21627e-05,0.148162,7.21627e-05,0.27128,852.249,100000000,1
,0.45,0.0263901,1.28502e-05,0.0263901,1.28502e-05,0.14816,7.21438e-05,0.14816,7.21438e-05,0.281925,851.022,100000000,1
,0.5,0.0273056,1.32944e-05,0.0273056,1.32944e-05,0.148161,7.21355e-05,0.148161,7.21355e-05,0.291704,851.933,100000000,1
,0.55,0.028038,1.3646e-05,0.028038,1.3646e-05,0.148171,7.21143e-05,0.148171,7.21143e-05,0.299508,852.062,100000000,1
,0.6,0.0284366,1.37883e-05,0.0284366,1.37883e-05,0.148175,7.18468e-05,0.148175,7.18468e-05,0.303758,845.423,100000000,1
,0.65,0.0283985,1.37567e-05,0.0283985,1.37567e-05,0.148191,7.17865e-05,0.148191,7.17865e-05,0.303317,848.628,100000000,1
,0.7,0.0278647,1.3469e-05,0.0278647,1.3469e-05,0.14822,7.16454e-05,0.14822,7.16454e-05,0.297558,852.398,100000000,1
,0.75,0.0268916,1.29764e-05,0.0268916,1.29764e-05,0.148244,7.15341e-05,0.148244,7.15341e-05,0.287121,851.395,100000000,1
,0.8,0.0256309,1.23422e-05,0.0256309,1.23422e-05,0.148291,7.14075e-05,0.148291,7.14075e-05,0.273573,849.98,100000000,1
