z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0417084,2.03352e-05,0.0417084,2.03352e-05,0.148239,7.22748e-05,0.148239,7.22748e-05,0.445334,852.26,100000000,1
,0.15,0.0423989,2.06653e-05,0.0423989,2.06653e-05,0.148231,7.2248e-05,0.148231,7.2248e-05,0.452731,851.611,100000000,1
,0.2,0.0443343,2.16247e-05,0.0443343,2.16247e-05,0.148202,7.22876e-05,0.148202,7.22876e-05,0.473489,853.329,100000000,1
,0.25,0.0472744,2.30544e-05,0.0472744,2.30544e-05,0.148185,7.22657e-05,0.148185,7.22657e-05,0.504948,850.498,100000000,1
,0.3,0.0506559,2.46859e-05,0.0506559,2.46859e-05,0.148167,7.22054e-05,0.148167,7.22054e-05,0.541133,851.748,100000000,1
,0.35,0.0540627,2.63372e-05,0.0540627,2.63372e-05,0.148163,7.21792e-05,0.148163,7.21792e-05,0.57754,853.486,100000000,1
,0.4,0.0573156,2.79157e-05,0.0573156,2.79157e-05,0.148162,7.21627e-05,0.148162,7.21627e-05,0.612295,852.249,100000000,1
,0.45,0.0604302,2.94253e-05,0.0604302,2.94253e-05,0.14816,7.21438e-05,0.14816,7.21438e-05,0.645576,851.022,100000000,1
,0.5,0.0634574,3.08957e-05,0.0634574,3.08957e-05,0.148161,7.21355e-05,0.148161,7.21355e-05,0.677912,851.933,100000000,1
,0.55,0.0663422,3.22885e-05,0.0663422,3.22885e-05,0.148171,7.21143e-05,0.148171,7.21143e-05,0.708681,852.062,100000000,1
,0.6,0.0688611,3.33893e-05,0.0688611,3.33893e-05,0.148175,7.18468e-05,0.148175,7.18468e-05,0.735571,845.423,100000000,1
,0.65,0.0707268,3.42613e-05,0.0707268,3.42613e-05,0.148191,7.17865e-05,0.148191,7.17865e-05,0.755415,848.628,100000000,1
,0.7,0.0716525,3.46348e-05,0.0716525,3.46348e-05,0.14822,7.16454e-05,0.14822,7.16454e-05,0.765154,852.398,100000000,1
,0.75,0.0714904,3.44972e-05,0.0714904,3.44972e-05,0.148244,7.15341e-05,0.148244,7.15341e-05,0.7633,851.395,100000000,1
,0.8,0.0703261,3.38645e-05,0.0703261,3.38645e-05,0.148291,7.14075e-05,0.148291,7.14075e-05,0.750629,849.98,100000000,1
