z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.0353848,1.72521e-05,0.0353848,1.72521e-05,-0.00632359,3.08311e-06,-0.00632359,3.08311e-06,0.148239,7.22748e-05,0.148239,7.22748e-05,0.377815,-0.0675191,852.26,100000000,1
,0.15,0.0351902,1.71518e-05,0.0351902,1.71518e-05,-0.0072087,3.51353e-06,-0.0072087,3.51353e-06,0.148231,7.2248e-05,0.148231,7.2248e-05,0.375757,-0.0769736,851.611,100000000,1
,0.2,0.0355761,1.73527e-05,0.0355761,1.73527e-05,-0.00875824,4.27195e-06,-0.00875824,4.27195e-06,0.148202,7.22876e-05,0.148202,7.22876e-05,0.379952,-0.0935377,853.329,100000000,1
,0.25,0.0364872,1.77938e-05,0.0364872,1.77938e-05,-0.0107872,5.26061e-06,-0.0107872,5.26061e-06,0.148185,7.22657e-05,0.148185,7.22657e-05,0.389727,-0.11522,850.498,100000000,1
,0.3,0.0376189,1.83327e-05,0.0376189,1.83327e-05,-0.0130369,6.35323e-06,-0.0130369,6.35323e-06,0.148167,7.22054e-05,0.148167,7.22054e-05,0.401866,-0.139267,851.748,100000000,1
,0.35,0.0387288,1.88671e-05,0.0387288,1.88671e-05,-0.015334,7.4701e-06,-0.015334,7.4701e-06,0.148163,7.21792e-05,0.148163,7.21792e-05,0.41373,-0.163809,853.486,100000000,1
,0.4,0.0397043,1.93381e-05,0.0397043,1.93381e-05,-0.0176113,8.57764e-06,-0.0176113,8.57764e-06,0.148162,7.21627e-05,0.148162,7.21627e-05,0.424155,-0.188139,852.249,100000000,1
,0.45,0.0405639,1.97518e-05,0.0405639,1.97518e-05,-0.0198663,9.67351e-06,-0.0198663,9.67351e-06,0.14816,7.21438e-05,0.14816,7.21438e-05,0.433344,-0.212232,851.022,100000000,1
,0.5,0.0413921,2.01527e-05,0.0413921,2.01527e-05,-0.0220653,1.0743e-05,-0.0220653,1.0743e-05,0.148161,7.21355e-05,0.148161,7.21355e-05,0.44219,-0.235722,851.933,100000000,1
,0.55,0.0422643,2.05699e-05,0.0422643,2.05699e-05,-0.0240779,1.17186e-05,-0.0240779,1.17186e-05,0.148171,7.21143e-05,0.148171,7.21143e-05,0.451476,-0.257205,852.062,100000000,1
,0.6,0.04319,2.09419e-05,0.04319,2.09419e-05,-0.0256712,1.24474e-05,-0.0256712,1.24474e-05,0.148175,7.18468e-05,0.148175,7.18468e-05,0.461353,-0.274218,845.423,100000000,1
,0.65,0.0441175,2.13713e-05,0.0441175,2.13713e-05,-0.0266093,1.289e-05,-0.0266093,1.289e-05,0.148191,7.17865e-05,0.148191,7.17865e-05,0.471207,-0.284207,848.628,100000000,1
,0.7,0.0449819,2.1743e-05,0.0449819,2.1743e-05,-0.0266706,1.28918e-05,-0.0266706,1.28918e-05,0.14822,7.16454e-05,0.14822,7.16454e-05,0.480347,-0.284807,852.398,100000000,1
,0.75,0.045709,2.20566e-05,0.045709,2.20566e-05,-0.0257814,1.24406e-05,-0.0257814,1.24406e-05,0.148244,7.15341e-05,0.148244,7.15341e-05,0.488033,-0.275267,851.395,100000000,1
,0.8,0.0462691,2.22802e-05,0.0462691,2.22802e-05,-0.024057,1.15843e-05,-0.024057,1.15843e-05,0.148291,7.14075e-05,0.148291,7.14075e-05,0.493856,-0.256774,849.98,100000000,1
