z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0217379,8.25564e-06,0.000284297,8.54237e-08,0.148864,5.65357e-05,0.0019469,5.84993e-07,0.231128,109.807,36000000,0
,0.15,0.0222687,8.41745e-06,0.000291219,8.69431e-08,0.148864,5.62698e-05,0.00194677,5.81205e-07,0.236772,111.567,36000000,0
,0.2,0.0231805,8.86048e-06,0.000303126,9.13945e-08,0.148864,5.69013e-05,0.00194666,5.86929e-07,0.246467,106.6,35000000,0
,0.25,0.0243243,9.26779e-06,0.000318071,9.54845e-08,0.148863,5.67185e-05,0.00194658,5.84361e-07,0.258629,108.133,35000000,0
,0.3,0.0255013,9.83619e-06,0.000333454,1.01236e-07,0.148864,5.74189e-05,0.00194654,5.90966e-07,0.271142,103.666,34000000,0
,0.35,0.0266192,1.59078e-05,0.00034812,1.63401e-07,0.148881,8.89723e-05,0.00194703,9.13897e-07,0.282996,46.6911,15000000,0
,0.4,0.0276903,3.24384e-05,0.000362411,3.31541e-07,0.148933,0.00017447,0.00194923,1.7832e-06,0.294281,15.5275,5000000,0
,0.45,0.0288691,0.00016919,0.000373392,1.67367e-06,0.149676,0.000877188,0.0019359,8.67738e-06,0.305286,3.09093,1000000,0
,0.5,0.0298428,0.000174897,0.000385985,1.73012e-06,0.149676,0.000877189,0.0019359,8.67737e-06,0.315583,3.08754,1000000,0
,0.55,0.030611,0.000179399,0.00039592,1.77466e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.323707,3.10687,1000000,0
,0.6,0.0309805,0.000181564,0.000400698,1.79607e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.327614,3.10181,1000000,0
,0.65,0.0308152,0.000180596,0.00039856,1.78649e-06,0.149676,0.000877189,0.00193588,8.67734e-06,0.325866,3.09838,1000000,0
,0.7,0.0300437,0.000176074,0.000388581,1.74176e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.317708,3.10637,1000000,0
,0.75,0.0287465,0.000168472,0.000371802,1.66656e-06,0.149676,0.00087719,0.00193587,8.67732e-06,0.30399,3.10451,1000000,0
,0.8,0.0271157,0.000158914,0.000350708,1.57201e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.286744,3.05343,1000000,0
