z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0549083,1.9329e-05,0.00071293,1.98805e-07,0.148653,5.23294e-05,0.00193011,5.38224e-07,0.58464,140.953,45000000,0
,0.15,0.0561711,4.44626e-05,0.000730538,4.55388e-07,0.148773,0.000117762,0.00193488,1.20612e-06,0.597605,31.5621,10000000,0
,0.2,0.0588199,0.000105603,0.000767975,1.07303e-06,0.148967,0.000267449,0.00194497,2.71756e-06,0.62497,9.47868,3000000,0
,0.25,0.0628768,0.000368496,0.000813243,3.64525e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.664912,3.15808,1000000,0
,0.3,0.067414,0.000395086,0.000871923,3.90828e-06,0.149676,0.000877189,0.00193588,8.67734e-06,0.712892,3.15805,1000000,0
,0.35,0.0723396,0.000423954,0.000935628,4.19383e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.76498,3.15485,1000000,0
,0.4,0.0774367,0.000453826,0.00100155,4.48932e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.81888,3.12817,1000000,0
,0.45,0.0826697,0.000484495,0.00106923,4.7927e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.874218,3.11679,1000000,0
,0.5,0.0881214,0.000516445,0.00113974,5.10875e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.931869,3.13049,1000000,0
,0.55,0.0938654,0.000550109,0.00121403,5.44175e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.992611,3.14137,1000000,0
,0.6,0.099862,0.000585253,0.00129158,5.78939e-06,0.149676,0.000877191,0.00193586,8.67728e-06,1.05602,3.13498,1000000,0
,0.65,0.105917,0.000620737,0.00136989,6.1404e-06,0.149676,0.000877191,0.00193585,8.67727e-06,1.12005,3.13467,1000000,0
,0.7,0.111714,0.000654715,0.00144487,6.47651e-06,0.149676,0.000877192,0.00193585,8.67727e-06,1.18136,3.11905,1000000,0
,0.75,0.116757,0.000684267,0.00151009,6.76883e-06,0.149676,0.000877192,0.00193585,8.67726e-06,1.23468,3.12308,1000000,0
,0.8,0.120361,0.000705388,0.0015567,6.97775e-06,0.149676,0.000877192,0.00193584,8.67725e-06,1.27279,3.11183,1000000,0
