z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.0442887,1.55906e-05,0.000575044,1.60354e-07,-0.0106197,3.73836e-06,-0.000137886,3.84502e-08,0.148653,5.23294e-05,0.00193011,5.38224e-07,0.471566,-0.113073,140.953,45000000,0
,0.15,0.0443313,3.50907e-05,0.000576554,3.59401e-07,-0.0118398,9.37188e-06,-0.000153984,9.59872e-08,0.148773,0.000117762,0.00193488,1.20612e-06,0.471641,-0.125964,31.5621,10000000,0
,0.2,0.0446497,8.01622e-05,0.000582964,8.14531e-07,-0.0141702,2.54406e-05,-0.000185011,2.58503e-07,0.148967,0.000267449,0.00194497,2.71756e-06,0.474409,-0.15056,9.47868,3000000,0
,0.25,0.0453226,0.000265618,0.000586199,2.62755e-06,-0.0175542,0.000102878,-0.000227044,1.01769e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.479279,-0.185633,3.15808,1000000,0
,0.3,0.0458403,0.000268652,0.000592892,2.65756e-06,-0.0215737,0.000126435,-0.000279031,1.25072e-06,0.149676,0.000877189,0.00193588,8.67734e-06,0.484753,-0.228138,3.15805,1000000,0
,0.35,0.0463236,0.000271484,0.000599141,2.68557e-06,-0.0260161,0.00015247,-0.000336487,1.50826e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.489864,-0.275116,3.15485,1000000,0
,0.4,0.0467496,0.000273981,0.00060465,2.71027e-06,-0.0306871,0.000179845,-0.0003969,1.77906e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.494369,-0.324511,3.12817,1000000,0
,0.45,0.0471319,0.000276222,0.000609593,2.73243e-06,-0.0355377,0.000208273,-0.000459636,2.06027e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.498413,-0.375806,3.11679,1000000,0
,0.5,0.0474833,0.000278281,0.000614136,2.7528e-06,-0.0406381,0.000238164,-0.000525602,2.35595e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.502128,-0.429741,3.13049,1000000,0
,0.55,0.0477931,0.000280097,0.000618142,2.77076e-06,-0.0460723,0.000270012,-0.000595885,2.67099e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.505404,-0.487207,3.14137,1000000,0
,0.6,0.0480291,0.00028148,0.000621193,2.78444e-06,-0.0518329,0.000303773,-0.00067039,3.00495e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.5079,-0.548124,3.13498,1000000,0
,0.65,0.0481617,0.000282257,0.000622907,2.79212e-06,-0.057755,0.00033848,-0.000746984,3.34828e-06,0.149676,0.000877191,0.00193585,8.67727e-06,0.509302,-0.61075,3.13467,1000000,0
,0.7,0.0481768,0.000282346,0.000623102,2.79299e-06,-0.0635375,0.000372369,-0.000821772,3.68351e-06,0.149676,0.000877192,0.00193585,8.67727e-06,0.509462,-0.671899,3.11905,1000000,0
,0.75,0.0480875,0.000281823,0.000621945,2.78781e-06,-0.0686693,0.000402445,-0.000888142,3.98102e-06,0.149676,0.000877192,0.00193585,8.67726e-06,0.508518,-0.726166,3.12308,1000000,0
,0.8,0.0479252,0.000280871,0.000619845,2.7784e-06,-0.0724354,0.000424516,-0.00093685,4.19935e-06,0.149676,0.000877192,0.00193584,8.67725e-06,0.506801,-0.765992,3.11183,1000000,0
