z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0422744,1.54891e-05,0.000552659,1.60473e-07,0.148847,5.45367e-05,0.0019459,5.6502e-07,0.449534,119.348,39000000,0
,0.15,0.0426522,1.57707e-05,0.00055763,1.63115e-07,0.14885,5.50372e-05,0.00194604,5.69246e-07,0.453543,117.852,38000000,0
,0.2,0.0443903,1.63593e-05,0.000580297,1.68975e-07,0.148847,5.48549e-05,0.00194582,5.66596e-07,0.472033,117.604,38000000,0
,0.25,0.0472575,1.76065e-05,0.000617727,1.81634e-07,0.148846,5.54547e-05,0.00194564,5.7209e-07,0.502526,115.22,37000000,0
,0.3,0.0506474,1.88183e-05,0.000661993,1.93936e-07,0.148845,5.53042e-05,0.0019455,5.69951e-07,0.538575,114.995,37000000,0
,0.35,0.0540827,2.00477e-05,0.000706869,2.06433e-07,0.148845,5.51746e-05,0.00194542,5.68138e-07,0.575108,114.961,37000000,0
,0.4,0.0573589,2.18462e-05,0.000749662,2.24785e-07,0.148846,5.66905e-05,0.00194536,5.83314e-07,0.609944,108.628,35000000,0
,0.45,0.0604987,3.49961e-05,0.000790805,3.59496e-07,0.148864,8.61118e-05,0.00194586,8.84578e-07,0.643253,49.6569,16000000,0
,0.5,0.0635807,6.60054e-05,0.000831747,6.75391e-07,0.148913,0.000154592,0.00194805,1.58184e-06,0.675798,18.5563,6000000,0
,0.55,0.0666015,0.000168301,0.000869912,1.70443e-06,0.149061,0.000376675,0.00194695,3.81467e-06,0.707205,6.21163,2000000,0
,0.6,0.0695259,0.000407463,0.000899245,4.03073e-06,0.149676,0.000877188,0.0019359,8.67737e-06,0.735225,3.10368,1000000,0
,0.65,0.0715357,0.000419242,0.000925238,4.14724e-06,0.149676,0.000877189,0.00193589,8.67736e-06,0.756478,3.10259,1000000,0
,0.7,0.0725793,0.000425358,0.000938733,4.20774e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.767514,3.07382,1000000,0
,0.75,0.0724768,0.000424758,0.000937406,4.20179e-06,0.149676,0.000877189,0.00193588,8.67734e-06,0.766431,3.04085,1000000,0
,0.8,0.0712834,0.000417764,0.000921969,4.1326e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.753811,3.09761,1000000,0
