z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0213941,1.47838e-05,0.000278919,1.51391e-07,0.148854,0.000102862,0.00194064,1.05334e-06,0.227487,37.396,12000000,0
,0.15,0.0229435,5.8277e-05,0.000299646,5.8971e-07,0.14905,0.000378591,0.00194662,3.83099e-06,0.243642,6.22695,2000000,0
,0.2,0.0241753,0.000141682,0.000312681,1.40155e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.25565,3.12315,1000000,0
,0.25,0.0247546,0.000145077,0.000320172,1.43513e-06,0.149676,0.000877189,0.00193588,8.67734e-06,0.261775,3.10965,1000000,0
,0.3,0.0249626,0.000146296,0.000322862,1.44719e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.263975,3.09526,1000000,0
,0.35,0.0250843,0.000147009,0.000324434,1.45424e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.265262,3.12246,1000000,0
,0.4,0.0253405,0.000148511,0.000327747,1.46909e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.267971,3.11118,1000000,0
,0.45,0.0257607,0.000150973,0.000333182,1.49345e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.272415,3.09286,1000000,0
,0.5,0.0261409,0.000153202,0.000338098,1.51549e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.276435,3.11129,1000000,0
,0.55,0.026116,0.000153056,0.000337775,1.51404e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.276172,3.13406,1000000,0
,0.6,0.0253291,0.000148444,0.000327598,1.46843e-06,0.149676,0.000877191,0.00193585,8.67727e-06,0.267851,3.12206,1000000,0
,0.65,0.0236431,0.000138563,0.000305792,1.37068e-06,0.149676,0.000877192,0.00193585,8.67726e-06,0.250022,3.11832,1000000,0
,0.7,0.0210569,0.000123406,0.000272342,1.22075e-06,0.149676,0.000877192,0.00193585,8.67726e-06,0.222673,3.0659,1000000,0
,0.75,0.0178267,0.000104476,0.000230563,1.03348e-06,0.149676,0.000877192,0.00193584,8.67725e-06,0.188515,3.10153,1000000,0
,0.8,0.0143368,8.40228e-05,0.000185427,8.31159e-07,0.149676,0.000877192,0.00193584,8.67725e-06,0.15161,3.08303,1000000,0
