z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.0469504,0.000123352,0.00061242,1.24561e-06,-0.00318627,8.37126e-06,-4.15616e-05,8.45328e-08,0.149053,0.000391606,0.00194425,3.95443e-06,0.498566,-0.033835,6.24398,2000000,0
,0.15,0.0471532,0.000276346,0.00060987,2.73367e-06,-0.00518278,3.03742e-05,-6.7033e-05,3.00467e-07,0.149676,0.00087719,0.00193587,8.67732e-06,0.498637,-0.054807,3.10839,1000000,0
,0.2,0.0471847,0.000276531,0.000610274,2.73549e-06,-0.00785156,4.6015e-05,-0.00010155,4.55187e-07,0.149676,0.00087719,0.00193587,8.6773e-06,0.49897,-0.083029,3.12131,1000000,0
,0.25,0.0472338,0.000276819,0.000610908,2.73833e-06,-0.0111553,6.53768e-05,-0.000144279,6.46716e-07,0.149676,0.000877191,0.00193586,8.67729e-06,0.49949,-0.117965,3.06972,1000000,0
,0.3,0.0472864,0.000277128,0.000611587,2.74138e-06,-0.0150303,8.80871e-05,-0.000194398,8.71368e-07,0.149676,0.000877191,0.00193586,8.67728e-06,0.500046,-0.158943,3.12279,1000000,0
,0.35,0.0473346,0.00027741,0.000612209,2.74417e-06,-0.0194175,0.000113798,-0.000251139,1.12571e-06,0.149676,0.000877191,0.00193585,8.67727e-06,0.500556,-0.205337,3.12511,1000000,0
,0.4,0.0473773,0.000277661,0.00061276,2.74664e-06,-0.0242695,0.000142234,-0.000313893,1.40699e-06,0.149676,0.000877192,0.00193585,8.67726e-06,0.501008,-0.256646,3.12985,1000000,0
,0.45,0.0474161,0.000277888,0.000613261,2.74889e-06,-0.0295629,0.000173257,-0.000382355,1.71387e-06,0.149676,0.000877192,0.00193584,8.67725e-06,0.501418,-0.312623,3.12049,1000000,0
,0.5,0.0474515,0.000278096,0.000613718,2.75094e-06,-0.0352999,0.000206879,-0.000456554,2.04646e-06,0.149676,0.000877192,0.00193584,8.67725e-06,0.501792,-0.37329,3.16585,1000000,0
,0.55,0.047481,0.000278268,0.000614098,2.75264e-06,-0.0414958,0.000243191,-0.000536689,2.40566e-06,0.149676,0.000877192,0.00193584,8.67724e-06,0.502103,-0.438811,3.10952,1000000,0
,0.6,0.0474999,0.000278379,0.000614343,2.75374e-06,-0.0481639,0.000282271,-0.000622931,2.79224e-06,0.149676,0.000877192,0.00193584,8.67724e-06,0.502304,-0.509326,3.12745,1000000,0
,0.65,0.0475055,0.000278412,0.000614414,2.75406e-06,-0.0553045,0.000324119,-0.000715283,3.2062e-06,0.149676,0.000877192,0.00193584,8.67724e-06,0.502362,-0.584836,3.13014,1000000,0
,0.7,0.0474969,0.000278362,0.000614304,2.75357e-06,-0.0629185,0.000368742,-0.000813759,3.64761e-06,0.149676,0.000877192,0.00193584,8.67724e-06,0.502272,-0.665353,3.12007,1000000,0
,0.75,0.0474771,0.000278245,0.000614047,2.75242e-06,-0.0709923,0.000416059,-0.000918183,4.11568e-06,0.149676,0.000877193,0.00193584,8.67724e-06,0.502062,-0.750732,3.12255,1000000,0
,0.8,0.0474505,0.000278089,0.000613703,2.75088e-06,-0.079481,0.000465808,-0.00102797,4.6078e-06,0.149676,0.000877193,0.00193584,8.67724e-06,0.501781,-0.840499,3.12538,1000000,0
