z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,AU,err_AU,BU,err_BU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.033863,5.44556e-05,0.000440455,5.48694e-07,-0.00279555,4.49556e-06,-3.63616e-05,4.52973e-08,0.156986,0.000252452,0.00204191,2.54371e-06,-3.53407e-05,3.63975e-08,-5.548e-06,6.85202e-09,5.60719,5.12279,0.215707,-0.0178076,31.874,10000000,0
0.15,0.0334037,5.3717e-05,0.000434474,5.41247e-07,-0.00372879,5.99632e-06,-4.84995e-05,6.04184e-08,0.156986,0.000252452,0.00204188,2.54368e-06,-3.53406e-05,3.63975e-08,-5.54799e-06,6.85202e-09,2.791,2.58656,0.212781,-0.0237523,31.8202,10000000,0
0.2,0.0335866,5.40112e-05,0.00043685,5.44209e-07,-0.00520944,8.3774e-06,-6.77575e-05,8.44095e-08,0.156986,0.000252452,0.00204187,2.54367e-06,-3.53406e-05,3.63975e-08,-5.54799e-06,6.85202e-09,1.6008,1.48256,0.213946,-0.0331841,31.8556,10000000,0
0.25,0.0343888,5.53012e-05,0.000447281,5.57206e-07,-0.00703215,1.13085e-05,-9.14644e-05,1.13943e-07,0.156986,0.000252452,0.00204186,2.54367e-06,-3.53406e-05,3.63975e-08,-5.54799e-06,6.85202e-09,0.98693,0.900068,0.219056,-0.0447947,31.78,10000000,0
0.3,0.0354867,5.70669e-05,0.00046156,5.74995e-07,-0.00897542,1.44335e-05,-0.000116739,1.4543e-07,0.156986,0.000252452,0.00204185,2.54366e-06,-3.53406e-05,3.63975e-08,-5.54799e-06,6.85202e-09,0.634494,0.565444,0.22605,-0.0571733,31.8612,10000000,0
0.35,0.0365869,5.88361e-05,0.000475868,5.9282e-07,-0.0109164,1.75549e-05,-0.000141984,1.76879e-07,0.156986,0.000252452,0.00204184,2.54366e-06,-3.53406e-05,3.63975e-08,-5.54798e-06,6.85202e-09,0.418905,0.364508,0.233058,-0.0695373,32.0961,10000000,0
0.4,0.0375408,6.037e-05,0.000488273,6.08275e-07,-0.0128343,2.06391e-05,-0.000166929,2.07954e-07,0.156986,0.000252453,0.00204184,2.54365e-06,-3.53406e-05,3.63975e-08,-5.54798e-06,6.85202e-09,0.283576,0.241691,0.239134,-0.0817542,32.0964,10000000,0
0.45,0.0383562,6.16813e-05,0.000498877,6.21486e-07,-0.0147417,2.37065e-05,-0.000191738,2.38861e-07,0.156986,0.000252453,0.00204183,2.54365e-06,-3.53406e-05,3.63975e-08,-5.54798e-06,6.85202e-09,0.196808,0.16483,0.244328,-0.0939047,31.8055,10000000,0
0.5,0.0391409,6.29433e-05,0.000509083,6.34201e-07,-0.0165873,2.66743e-05,-0.000215741,2.68763e-07,0.156986,0.000252453,0.00204183,2.54365e-06,-3.53406e-05,3.63975e-08,-5.54798e-06,6.85202e-09,0.140046,0.115286,0.249327,-0.105661,31.8995,10000000,0
0.55,0.0400169,6.4352e-05,0.000520475,6.48393e-07,-0.0182019,2.92709e-05,-0.000236742,2.94926e-07,0.156986,0.000252453,0.00204182,2.54365e-06,-3.53406e-05,3.63975e-08,-5.54798e-06,6.85202e-09,0.102043,0.0822587,0.254907,-0.115946,31.9539,10000000,0
0.6,0.0410437,6.60033e-05,0.00053383,6.6503e-07,-0.0193259,3.10784e-05,-0.000251359,3.13137e-07,0.156986,0.000252453,0.00204182,2.54364e-06,-3.53405e-05,3.63975e-08,-5.54798e-06,6.85202e-09,0.0756834,0.0593589,0.261448,-0.123106,31.8326,10000000,0
0.65,0.0421764,6.78248e-05,0.000548561,6.83383e-07,-0.0197279,3.17248e-05,-0.000256587,3.1965e-07,0.156986,0.000252453,0.00204182,2.54364e-06,-3.53405e-05,3.63975e-08,-5.54798e-06,6.85202e-09,0.0564375,0.0428003,0.268663,-0.125666,31.9152,10000000,0
0.7,0.043341,6.96975e-05,0.000563706,7.02251e-07,-0.0192168,3.0903e-05,-0.00024994,3.11369e-07,0.156986,0.000252453,0.00204181,2.54364e-06,-3.53405e-05,3.63975e-08,-5.54798e-06,6.85202e-09,0.0417977,0.0305043,0.276081,-0.122411,32.1445,10000000,0
0.75,0.0444294,7.14479e-05,0.000577862,7.19886e-07,-0.0177855,2.86012e-05,-0.000231323,2.88177e-07,0.156986,0.000252453,0.00204181,2.54364e-06,-3.53405e-05,3.63975e-08,-5.54797e-06,6.85202e-09,0.0301605,0.0211526,0.283015,-0.113293,31.9944,10000000,0
0.8,0.0453536,7.29341e-05,0.000589881,7.3486e-07,-0.0156192,2.51177e-05,-0.000203148,2.53077e-07,0.156986,0.000252453,0.0020418,2.54363e-06,-3.53405e-05,3.63975e-08,-5.54797e-06,6.85202e-09,0.0206363,0.0139403,0.288902,-0.0994944,31.833,10000000,0
