        Q2    <dsig|+1,0>         err[1]    <dsig|+2,0>         err[2]      <ALL|0,0>         err[3]     <ALL|+1,0>         err[4]   <dsig|0,+1>          err[5]   <dsig|+1,-1>         err[6]    dsig|+1,+1>         err[7]  <dsig|+2,+1>          err[8]  <dsig|+2,-1>          err[9]     <ALL|0,+1>        err[10]    <ALL|+1,-1>        err[11]    <ALL|+1,+1>        err[12]           AUzi        err[13]        AUcfqzi        err[14]       AUc2fqzi        err[15]           ALzi        err[16]        ALcfqzi        err[17]       BUcf12zi        err[18]    BUcfqmf12zi        err[19]    BUcfqpf12zi        err[20]   BUc2fqmf12zi        err[21]   BUc2fqpf12zi        err[22]       BLcf12zi        err[23]    BLcfqmf12zi        err[24]    BLcfqpf12zi        err[25]        time[s]     neval      fail
        10       0.182532    0.000105438      0.0745746    5.48071e-05     -0.0359491    2.05135e-05    -0.00296269    1.46997e-06      0.0207189    1.30464e-05      -0.016117    9.87955e-06       0.016117    9.87955e-06     0.00395167    2.60155e-06     0.00395167    2.60155e-06    -0.00091346    4.61554e-07    0.000222898     1.1015e-07   -0.000222898     1.1015e-07     0.00155688    5.88335e-07     0.00014209    6.20768e-08    0.000116104    7.31838e-08   -5.59684e-05    2.39301e-08   -2.30628e-06    7.41498e-10    0.000116675    5.87679e-08   -9.07603e-05    4.38058e-08    9.07603e-05    4.38058e-08    2.22533e-05    1.19963e-08    2.22533e-05    1.19963e-08   -5.14402e-06     1.7254e-09    1.25522e-06    3.99706e-10   -1.25522e-06    3.99706e-10        12.6415  10000000         1
    18.414       0.196427    0.000100357       0.106365    7.10443e-05     -0.0380795    1.83925e-05    -0.00419111    1.81773e-06      0.0126629    7.59426e-06     -0.0162276    8.67762e-06      0.0162276    8.67762e-06     0.00582635    3.45067e-06     0.00582635    3.45067e-06   -0.000924467    4.02587e-07    0.000307269    1.33682e-07   -0.000307269    1.33682e-07    0.000720251    2.39701e-07    7.07382e-05    2.74219e-08    7.66091e-05    4.43656e-08   -2.74268e-05    9.60071e-09   -1.50932e-06    4.19765e-10    3.31985e-05    1.65631e-08   -4.25441e-05    1.78074e-08    4.25441e-05    1.78074e-08     1.5275e-05    7.48329e-09     1.5275e-05    7.48329e-09   -2.42369e-06    6.80731e-10    8.05571e-07    2.25739e-10   -8.05571e-07    2.25739e-10        13.2985  10000000         1
    26.828       0.194627    8.70636e-05       0.125247    7.35493e-05      -0.040237    1.79984e-05    -0.00527141     2.0243e-06     0.00783483    5.97628e-06     -0.0152085    6.99434e-06      0.0152085    6.99434e-06     0.00707748    3.67248e-06     0.00707748    3.67248e-06   -0.000940051    3.69752e-07    0.000378768    1.45114e-07   -0.000378768    1.45114e-07    0.000426658    1.24229e-07    4.15196e-05    1.41002e-08    5.34375e-05    2.72514e-08   -1.71674e-05    5.82955e-09   -1.12454e-06     2.8156e-10    1.22182e-05    8.61415e-09   -2.37173e-05    8.44303e-09    2.37173e-05    8.44303e-09    1.10372e-05    4.74053e-09    1.10372e-05    4.74053e-09   -1.46599e-06    3.87673e-10     5.9068e-07    1.47081e-10    -5.9068e-07    1.47081e-10         14.558  10000000         1
    35.242       0.187618    8.44915e-05       0.137066    7.93606e-05      -0.042347    1.94986e-05    -0.00628182    2.45151e-06     0.00474895     5.7305e-06     -0.0139732    6.38229e-06      0.0139732    6.38229e-06     0.00797206    4.09785e-06     0.00797206    4.09785e-06   -0.000956967    3.89533e-07    0.000444059    1.72194e-07   -0.000444059    1.72194e-07    0.000283767    8.29595e-08    2.66199e-05    9.11844e-09    3.88948e-05    1.94383e-08   -1.20167e-05    4.27469e-09   -8.91286e-07    2.30411e-10    4.93992e-06    5.78334e-09    -1.4535e-05    5.10084e-09     1.4535e-05    5.10084e-09    8.29262e-06    3.50607e-09    8.29262e-06    3.50607e-09   -9.95448e-07    2.81943e-10    4.61915e-07    1.17675e-10   -4.61915e-07    1.17675e-10        15.3259  10000000         1
    43.656       0.178819    9.22798e-05       0.144691    9.21694e-05     -0.0443853    2.34826e-05    -0.00725021    3.26162e-06     0.00269096    6.08592e-06     -0.0127631     6.6406e-06      0.0127631     6.6406e-06     0.00864244    4.93361e-06     0.00864244    4.93361e-06   -0.000973797    4.62825e-07    0.000505537    2.24824e-07   -0.000505537    2.24824e-07    0.000202276    6.66298e-08    1.80855e-05    7.18437e-09    2.92676e-05    1.59576e-08   -8.97809e-06    3.71701e-09   -7.33274e-07    2.24668e-10    1.99975e-06    4.47445e-09   -9.48477e-06    3.81994e-09    9.48477e-06    3.81994e-09    6.42251e-06     2.9944e-09    6.42251e-06     2.9944e-09   -7.23665e-07    2.47939e-10    3.75683e-07     1.1225e-10   -3.75683e-07     1.1225e-10        14.6893  10000000         1
     52.07       0.169577    8.57693e-05       0.149673    8.78794e-05     -0.0463363    2.52951e-05    -0.00818919    3.64133e-06     0.00127936     5.4412e-06      -0.011648    5.94729e-06       0.011648    5.94729e-06     0.00916293    4.88379e-06     0.00916293    4.88379e-06   -0.000989878    4.85585e-07    0.000564353     2.4562e-07   -0.000564353     2.4562e-07    0.000151148    4.75537e-08    1.28156e-05    5.07526e-09    2.26228e-05    1.12149e-08   -7.00364e-06    3.12448e-09   -6.18889e-07    1.94464e-10    7.11668e-07    3.01847e-09   -6.47938e-06     2.6056e-09    6.47938e-06     2.6056e-09    5.09704e-06     2.1929e-09    5.09704e-06     2.1929e-09   -5.50636e-07    2.07244e-10    3.13931e-07    9.44071e-11   -3.13931e-07    9.44071e-11        15.3169  10000000         1
    60.484       0.160455    8.93944e-05        0.15294    9.38346e-05     -0.0481893     2.8567e-05    -0.00910501     4.4141e-06    0.000286352    5.80819e-06     -0.0106407    6.04886e-06      0.0106407    6.04886e-06     0.00957869    5.38607e-06     0.00957869    5.38607e-06    -0.00100476    5.43864e-07    0.000621106    2.94236e-07   -0.000621106    2.94236e-07    0.000116945     3.9623e-08     9.3822e-06    4.14939e-09    1.78855e-05    9.14845e-09   -5.63549e-06    2.74133e-09   -5.32391e-07    1.84604e-10     1.2342e-07    2.50303e-09   -4.58621e-06    2.09343e-09    4.58621e-06    2.09343e-09    4.12849e-06    1.85268e-09    4.12849e-06    1.85268e-09   -4.33058e-07    1.82808e-10    2.67702e-07    8.86339e-11   -2.67702e-07    8.86339e-11        20.1529  10000000         1
    68.898       0.151699    7.65619e-05       0.155025    8.20327e-05     -0.0499516    2.85163e-05     -0.0100021    4.31973e-06   -0.000415817    5.36016e-06    -0.00973658     5.1056e-06     0.00973658     5.1056e-06     0.00991723    4.80783e-06     0.00991723    4.80783e-06    -0.00101839    5.22185e-07    0.000676184    2.83287e-07   -0.000676184    2.83287e-07    9.29114e-05    2.74206e-08    7.04726e-06    2.88525e-09    1.44035e-05    6.32626e-09   -4.64108e-06    2.26798e-09   -4.64653e-07    1.46512e-10   -1.42565e-07    1.83727e-09   -3.33822e-06    1.44691e-09    3.33822e-06    1.44691e-09    3.40016e-06    1.30775e-09    3.40016e-06    1.30775e-09   -3.49159e-07    1.46405e-10    2.31832e-07    6.89365e-11   -2.31832e-07    6.89365e-11        21.3707  10000000         1
    77.312       0.143397    7.94876e-05       0.156299    9.10678e-05     -0.0516261    3.02793e-05     -0.0108831    5.07336e-06   -0.000917126    5.74756e-06    -0.00892524    5.28907e-06     0.00892524    5.28907e-06      0.0101978     5.4246e-06      0.0101978     5.4246e-06    -0.00103078    5.54099e-07    0.000729849    3.33383e-07   -0.000729849    3.33383e-07    7.53926e-05    2.45774e-08    5.40552e-06    2.42346e-09    1.17838e-05    5.69063e-09   -3.89223e-06    1.89773e-09   -4.10251e-07    1.36709e-10   -2.55427e-07    1.59857e-09   -2.48575e-06    1.23013e-09    2.48575e-06    1.23013e-09    2.84016e-06    1.19385e-09    2.84016e-06    1.19385e-09    -2.8708e-07    1.22705e-10    2.03268e-07    6.50397e-11   -2.03268e-07    6.50397e-11        22.9317  10000000         1
    85.726       0.135588    6.94563e-05       0.156977     8.0739e-05     -0.0532274    2.91243e-05     -0.0117507    4.79424e-06    -0.00127137    5.14782e-06    -0.00819598    4.63451e-06     0.00819598    4.63451e-06       0.010433    4.87318e-06       0.010433    4.87318e-06    -0.00104215    5.21365e-07    0.000782326    3.11789e-07   -0.000782326    3.11789e-07    6.22439e-05    1.77172e-08    4.21976e-06    1.79719e-09    9.77086e-06    4.18576e-09   -3.31308e-06    1.54821e-09   -3.65704e-07    1.06896e-10   -2.92614e-07    1.18187e-09   -1.88636e-06    9.21665e-10    1.88636e-06    9.21665e-10    2.40122e-06    8.89279e-10    2.40122e-06    8.89279e-10   -2.39857e-07    9.86795e-11    1.80057e-07    5.02271e-11   -1.80057e-07    5.02271e-11        20.7019  10000000         1
