z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_UC,err_BU_over_AU_times_Collins_UC,BL_over_AU_times_Collins_UC,err_BL_over_AU_times_Collins_UC,AU,err_AU,BU,err_BU,AL,err_AL,BL,err_BL,Collins_UC,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.098308,1.37228e-05,0.0311468,8.0582e-06,0.00235923,4.52452e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.303671,0.0667665,-0.661557,2.40475,10000000,1
,0.15,0.098308,1.37228e-05,0.0339486,8.78308e-06,0.00257145,4.93153e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.330988,0.100797,-0.66951,2.47973,10000000,1
,0.2,0.098308,1.37228e-05,0.0358159,9.26618e-06,0.00271289,5.20278e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.349193,0.141706,-0.672817,2.42156,10000000,1
,0.25,0.098308,1.37228e-05,0.0366153,9.473e-06,0.00277344,5.31891e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.356987,0.189634,-0.671907,2.47711,10000000,1
,0.3,0.098308,1.37228e-05,0.0368982,9.54619e-06,0.00279487,5.36e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.359745,0.245772,-0.669243,2.44328,10000000,1
,0.35,0.098308,1.37228e-05,0.0372682,9.64192e-06,0.0028229,5.41375e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.363353,0.310763,-0.667418,2.44829,10000000,1
,0.4,0.098308,1.37228e-05,0.0380936,9.85546e-06,0.00288542,5.53365e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.3714,0.384519,-0.668225,2.39682,10000000,1
,0.45,0.098308,1.37228e-05,0.0393399,1.01779e-05,0.00297982,5.7147e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.383552,0.4666,-0.671901,2.48951,10000000,1
,0.5,0.098308,1.37228e-05,0.0406655,1.05209e-05,0.00308023,5.90726e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.396476,0.556666,-0.677669,2.42805,10000000,1
,0.55,0.098308,1.37228e-05,0.0415205,1.07421e-05,0.00314499,6.03146e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.404812,0.654687,-0.684585,2.47055,10000000,1
,0.6,0.098308,1.37228e-05,0.0414166,1.07152e-05,0.00313712,6.01636e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.403799,0.760884,-0.69265,2.43873,10000000,1
,0.65,0.098308,1.37228e-05,0.040212,1.04035e-05,0.00304588,5.84138e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.392054,0.875427,-0.703547,2.45625,10000000,1
,0.7,0.098308,1.37228e-05,0.0379526,9.81897e-06,0.00287474,5.51316e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.370025,0.998295,-0.720387,2.40695,10000000,1
,0.75,0.098308,1.37228e-05,0.0350156,9.05912e-06,0.00265227,5.08652e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.341391,1.12916,-0.748507,2.41727,10000000,1
,0.8,0.098308,1.37228e-05,0.0319298,8.26078e-06,0.00241854,4.63827e-07,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.311305,1.26752,-0.79539,2.45204,10000000,1
