z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_UL,err_BU_over_AU_times_Collins_UL,BL_over_AU_times_Collins_UL,err_BL_over_AU_times_Collins_UL,AU,err_AU,BU,err_BU,AL,err_AL,BL,err_BL,Collins_UL,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.098308,1.37228e-05,0.0747023,1.93268e-05,0.00565836,1.08516e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.728324,0.0667665,-0.661557,2.40475,10000000,1
,0.15,0.098308,1.37228e-05,0.0790084,2.04408e-05,0.00598453,1.14771e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.770306,0.100797,-0.66951,2.47973,10000000,1
,0.2,0.098308,1.37228e-05,0.0835435,2.16141e-05,0.00632805,1.21359e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.814523,0.141706,-0.672817,2.42156,10000000,1
,0.25,0.098308,1.37228e-05,0.0883661,2.28618e-05,0.00669333,1.28365e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.861541,0.189634,-0.671907,2.47711,10000000,1
,0.3,0.098308,1.37228e-05,0.0938508,2.42808e-05,0.00710877,1.36332e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.915015,0.245772,-0.669243,2.44328,10000000,1
,0.35,0.098308,1.37228e-05,0.100329,2.5957e-05,0.00759951,1.45743e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,0.97818,0.310763,-0.667418,2.44829,10000000,1
,0.4,0.098308,1.37228e-05,0.107977,2.79356e-05,0.0081788,1.56853e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,1.05274,0.384519,-0.668225,2.39682,10000000,1
,0.45,0.098308,1.37228e-05,0.116773,3.02112e-05,0.00884504,1.6963e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,1.1385,0.4666,-0.671901,2.48951,10000000,1
,0.5,0.098308,1.37228e-05,0.126603,3.27543e-05,0.00958959,1.83909e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,1.23434,0.556666,-0.677669,2.42805,10000000,1
,0.55,0.098308,1.37228e-05,0.137366,3.55389e-05,0.0104048,1.99544e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,1.33927,0.654687,-0.684585,2.47055,10000000,1
,0.6,0.098308,1.37228e-05,0.149085,3.85709e-05,0.0112925,2.16568e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,1.45353,0.760884,-0.69265,2.43873,10000000,1
,0.65,0.098308,1.37228e-05,0.161951,4.18996e-05,0.0122671,2.35258e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,1.57897,0.875427,-0.703547,2.45625,10000000,1
,0.7,0.098308,1.37228e-05,0.176281,4.56069e-05,0.0133525,2.56074e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,1.71868,0.998295,-0.720387,2.40695,10000000,1
,0.75,0.098308,1.37228e-05,0.192588,4.98258e-05,0.0145877,2.79762e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,1.87767,1.12916,-0.748507,2.41727,10000000,1
,0.8,0.098308,1.37228e-05,0.211588,5.47413e-05,0.0160268,3.07362e-06,1.15781e-07,1.3819e-11,1.87962e-08,4.31449e-12,1.13822e-08,8.23895e-13,1.42373e-09,2.13719e-13,2.06291,1.26752,-0.79539,2.45204,10000000,1
