z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_U,err_BU_over_AU_times_Collins_U,BU_over_AU_times_Collins_L,err_BU_over_AU_times_Collins_L,BL_over_AU_times_Collins_U,err_BL_over_AU_times_Collins_U,BL_over_AU_times_Collins_L,err_BL_over_AU_times_Collins_L,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.098308,1.37228e-05,0.00684807,1.77171e-06,-0.0678542,1.7555e-05,0.000518711,9.94783e-08,-0.00513965,9.85682e-07,0.0667665,-0.661557,2.40475,10000000,1
,0.15,0.098308,1.37228e-05,0.0103385,2.67474e-06,-0.0686699,1.77661e-05,0.000783092,1.50181e-07,-0.00520144,9.97531e-07,0.100797,-0.66951,2.47973,10000000,1
,0.2,0.098308,1.37228e-05,0.0145344,3.76029e-06,-0.0690091,1.78538e-05,0.00110091,2.11133e-07,-0.00522713,1.00246e-06,0.141706,-0.672817,2.42156,10000000,1
,0.25,0.098308,1.37228e-05,0.0194503,5.03213e-06,-0.0689158,1.78297e-05,0.00147327,2.82544e-07,-0.00522006,1.0011e-06,0.189634,-0.671907,2.47711,10000000,1
,0.3,0.098308,1.37228e-05,0.0252082,6.52179e-06,-0.0686426,1.7759e-05,0.00190941,3.66186e-07,-0.00519937,9.97134e-07,0.245772,-0.669243,2.44328,10000000,1
,0.35,0.098308,1.37228e-05,0.0318742,8.24639e-06,-0.0684553,1.77106e-05,0.00241432,4.63019e-07,-0.00518518,9.94414e-07,0.310763,-0.667418,2.44829,10000000,1
,0.4,0.098308,1.37228e-05,0.0394391,1.02036e-05,-0.0685382,1.7732e-05,0.00298734,5.72911e-07,-0.00519146,9.95617e-07,0.384519,-0.668225,2.39682,10000000,1
,0.45,0.098308,1.37228e-05,0.0478579,1.23817e-05,-0.0689152,1.78295e-05,0.00362502,6.95207e-07,-0.00522002,1.00109e-06,0.4666,-0.671901,2.48951,10000000,1
,0.5,0.098308,1.37228e-05,0.0570959,1.47717e-05,-0.0695068,1.79826e-05,0.00432476,8.29401e-07,-0.00526483,1.00969e-06,0.556666,-0.677669,2.42805,10000000,1
,0.55,0.098308,1.37228e-05,0.0671496,1.73727e-05,-0.0702162,1.81661e-05,0.00508628,9.75446e-07,-0.00531856,1.01999e-06,0.654687,-0.684585,2.47055,10000000,1
,0.6,0.098308,1.37228e-05,0.0780419,2.01908e-05,-0.0710433,1.83801e-05,0.00591133,1.13367e-06,-0.00538121,1.03201e-06,0.760884,-0.69265,2.43873,10000000,1
,0.65,0.098308,1.37228e-05,0.0897904,2.32303e-05,-0.072161,1.86693e-05,0.00680122,1.30434e-06,-0.00546587,1.04824e-06,0.875427,-0.703547,2.45625,10000000,1
,0.7,0.098308,1.37228e-05,0.102393,2.64907e-05,-0.0738882,1.91162e-05,0.00775578,1.4874e-06,-0.0055967,1.07333e-06,0.998295,-0.720387,2.40695,10000000,1
,0.75,0.098308,1.37228e-05,0.115815,2.99634e-05,-0.0767725,1.98624e-05,0.0087725,1.68239e-06,-0.00581517,1.11523e-06,1.12916,-0.748507,2.41727,10000000,1
,0.8,0.098308,1.37228e-05,0.130007,3.36349e-05,-0.0815811,2.11064e-05,0.00984741,1.88853e-06,-0.0061794,1.18508e-06,1.26752,-0.79539,2.45204,10000000,1
