z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_UC,err_BU_over_AU_times_Collins_UC,BL_over_AU_times_Collins_UC,err_BL_over_AU_times_Collins_UC,AU,err_AU,BU,err_BU,AL,err_AL,BL,err_BL,Collins_UC,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.098308,4.33952e-06,0.0176233,1.44182e-06,0.00133489,8.09554e-08,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.171822,0.352668,-0.0038922,24.185,100000000,1
,0.15,0.098308,4.33952e-06,0.0178866,1.46336e-06,0.00135483,8.21649e-08,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.174388,0.346938,-0.0128483,24.6684,100000000,1
,0.2,0.098308,4.33952e-06,0.0186249,1.52376e-06,0.00141075,8.55563e-08,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.181587,0.348085,-0.0267192,25.3396,100000000,1
,0.25,0.098308,4.33952e-06,0.0197193,1.6133e-06,0.00149365,9.05836e-08,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.192257,0.35597,-0.0434673,25.2325,100000000,1
,0.3,0.098308,4.33952e-06,0.0209407,1.71323e-06,0.00158617,9.61946e-08,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.204166,0.367195,-0.0611645,25.439,100000000,1
,0.35,0.098308,4.33952e-06,0.0221338,1.81084e-06,0.00167653,1.01675e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.215797,0.378533,-0.0788676,25.6771,100000000,1
,0.4,0.098308,4.33952e-06,0.0232533,1.90243e-06,0.00176133,1.06818e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.226712,0.388285,-0.0965443,25.6868,100000000,1
,0.45,0.098308,4.33952e-06,0.0243157,1.98935e-06,0.0018418,1.11698e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.23707,0.396626,-0.114258,25.9067,100000000,1
,0.5,0.098308,4.33952e-06,0.0253222,2.07169e-06,0.00191804,1.16322e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.246883,0.40475,-0.131371,25.4857,100000000,1
,0.55,0.098308,4.33952e-06,0.0262122,2.14451e-06,0.00198545,1.2041e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.25556,0.414178,-0.146006,26.03,100000000,1
,0.6,0.098308,4.33952e-06,0.0268638,2.19782e-06,0.00203481,1.23403e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.261913,0.425769,-0.155432,26.0147,100000000,1
,0.65,0.098308,4.33952e-06,0.0271579,2.22188e-06,0.00205709,1.24754e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.264781,0.439124,-0.157381,24.8693,100000000,1
,0.7,0.098308,4.33952e-06,0.0270099,2.20977e-06,0.00204588,1.24074e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.263338,0.453403,-0.150191,25.5813,100000000,1
,0.75,0.098308,4.33952e-06,0.0264317,2.16246e-06,0.00200208,1.21418e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.2577,0.467274,-0.134108,24.3739,100000000,1
,0.8,0.098308,4.33952e-06,0.0255258,2.08835e-06,0.00193346,1.17257e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.248868,0.479554,-0.11117,25.0024,100000000,1
