z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_UL,err_BU_over_AU_times_Collins_UL,BL_over_AU_times_Collins_UL,err_BL_over_AU_times_Collins_UL,AU,err_AU,BU,err_BU,AL,err_AL,BL,err_BL,Collins_UL,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.098308,4.33952e-06,0.0365715,2.99203e-06,0.00277012,1.67997e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.35656,0.352668,-0.0038922,24.185,100000000,1
,0.15,0.098308,4.33952e-06,0.0369023,3.01911e-06,0.00279519,1.69517e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.359786,0.346938,-0.0128483,24.6684,100000000,1
,0.2,0.098308,4.33952e-06,0.0384428,3.14513e-06,0.00291187,1.76593e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.374805,0.348085,-0.0267192,25.3396,100000000,1
,0.25,0.098308,4.33952e-06,0.0409693,3.35184e-06,0.00310324,1.88199e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.399438,0.35597,-0.0434673,25.2325,100000000,1
,0.3,0.098308,4.33952e-06,0.0439358,3.59453e-06,0.00332794,2.01826e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.42836,0.367195,-0.0611645,25.439,100000000,1
,0.35,0.098308,4.33952e-06,0.0469144,3.83823e-06,0.00355356,2.15509e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.457401,0.378533,-0.0788676,25.6771,100000000,1
,0.4,0.098308,4.33952e-06,0.0497277,4.06839e-06,0.00376665,2.28432e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.48483,0.388285,-0.0965443,25.6868,100000000,1
,0.45,0.098308,4.33952e-06,0.0524,4.28703e-06,0.00396907,2.40708e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.510884,0.396626,-0.114258,25.9067,100000000,1
,0.5,0.098308,4.33952e-06,0.0549886,4.4988e-06,0.00416514,2.52599e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.536121,0.40475,-0.131371,25.4857,100000000,1
,0.55,0.098308,4.33952e-06,0.0574567,4.70073e-06,0.00435209,2.63937e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.560184,0.414178,-0.146006,26.03,100000000,1
,0.6,0.098308,4.33952e-06,0.0596123,4.87709e-06,0.00451537,2.73839e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.581201,0.425769,-0.155432,26.0147,100000000,1
,0.65,0.098308,4.33952e-06,0.061182,5.0055e-06,0.00463426,2.81049e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.596505,0.439124,-0.157381,24.8693,100000000,1
,0.7,0.098308,4.33952e-06,0.0619091,5.065e-06,0.00468934,2.84389e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.603594,0.453403,-0.150191,25.5813,100000000,1
,0.75,0.098308,4.33952e-06,0.0616822,5.04643e-06,0.00467215,2.83347e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.601382,0.467274,-0.134108,24.3739,100000000,1
,0.8,0.098308,4.33952e-06,0.0605891,4.957e-06,0.00458935,2.78326e-07,1.15781e-07,4.36995e-12,1.87962e-08,1.36436e-12,1.13822e-08,2.60538e-13,1.42373e-09,6.75838e-14,0.590725,0.479554,-0.11117,25.0024,100000000,1
