z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_U,err_BU_over_AU_times_Collins_U,BU_over_AU_times_Collins_L,err_BU_over_AU_times_Collins_L,BL_over_AU_times_Collins_U,err_BL_over_AU_times_Collins_U,BL_over_AU_times_Collins_L,err_BL_over_AU_times_Collins_L,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.098308,4.33952e-06,0.0361722,2.95937e-06,-0.000399214,3.2661e-08,0.00273988,1.66163e-07,-3.02386e-05,1.83385e-09,0.352668,-0.0038922,24.185,100000000,1
,0.15,0.098308,4.33952e-06,0.0355845,2.91129e-06,-0.00131782,1.07815e-07,0.00269537,1.63463e-07,-9.9819e-05,6.05362e-09,0.346938,-0.0128483,24.6684,100000000,1
,0.2,0.098308,4.33952e-06,0.0357022,2.92092e-06,-0.00274052,2.24212e-07,0.00270428,1.64004e-07,-0.000207582,1.2589e-08,0.348085,-0.0267192,25.3396,100000000,1
,0.25,0.098308,4.33952e-06,0.036511,2.98709e-06,-0.00445833,3.64751e-07,0.00276554,1.67719e-07,-0.000337699,2.04801e-08,0.35597,-0.0434673,25.2325,100000000,1
,0.3,0.098308,4.33952e-06,0.0376623,3.08128e-06,-0.00627348,5.13255e-07,0.00285275,1.73008e-07,-0.000475188,2.88182e-08,0.367195,-0.0611645,25.439,100000000,1
,0.35,0.098308,4.33952e-06,0.0388252,3.17642e-06,-0.00808925,6.61809e-07,0.00294083,1.7835e-07,-0.000612725,3.71593e-08,0.378533,-0.0788676,25.6771,100000000,1
,0.4,0.098308,4.33952e-06,0.0398254,3.25825e-06,-0.00990231,8.10141e-07,0.0030166,1.82944e-07,-0.000750055,4.54878e-08,0.388285,-0.0965443,25.6868,100000000,1
,0.45,0.098308,4.33952e-06,0.0406809,3.32824e-06,-0.0117191,9.58782e-07,0.0030814,1.86874e-07,-0.000887672,5.38337e-08,0.396626,-0.114258,25.9067,100000000,1
,0.5,0.098308,4.33952e-06,0.0415142,3.39642e-06,-0.0134744,1.10238e-06,0.00314451,1.90702e-07,-0.00102062,6.18966e-08,0.40475,-0.131371,25.4857,100000000,1
,0.55,0.098308,4.33952e-06,0.0424812,3.47553e-06,-0.0149755,1.2252e-06,0.00321776,1.95144e-07,-0.00113433,6.87924e-08,0.414178,-0.146006,26.03,100000000,1
,0.6,0.098308,4.33952e-06,0.0436701,3.5728e-06,-0.0159423,1.30429e-06,0.00330781,2.00605e-07,-0.00120755,7.32333e-08,0.425769,-0.155432,26.0147,100000000,1
,0.65,0.098308,4.33952e-06,0.0450398,3.68486e-06,-0.0161422,1.32064e-06,0.00341156,2.06898e-07,-0.0012227,7.41516e-08,0.439124,-0.157381,24.8693,100000000,1
,0.7,0.098308,4.33952e-06,0.0465044,3.80469e-06,-0.0154047,1.26031e-06,0.0035225,2.13626e-07,-0.00116684,7.07639e-08,0.453403,-0.150191,25.5813,100000000,1
,0.75,0.098308,4.33952e-06,0.0479271,3.92108e-06,-0.0137551,1.12535e-06,0.00363027,2.20161e-07,-0.00104189,6.31862e-08,0.467274,-0.134108,24.3739,100000000,1
,0.8,0.098308,4.33952e-06,0.0491867,4.02413e-06,-0.0114025,9.32875e-07,0.00372567,2.25947e-07,-0.000863686,5.23791e-08,0.479554,-0.11117,25.0024,100000000,1
