z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_UC,err_BU_over_AU_times_Collins_UC,BL_over_AU_times_Collins_UC,err_BL_over_AU_times_Collins_UC,AU,err_AU,BU,err_BU,AL,err_AL,BL,err_BL,Collins_UC,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.313457,9.42783e-05,0.0192179,1.03593e-05,0.00535032,2.33484e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.170013,0.347792,-0.00349673,0.546614,2000000,0
,0.15,0.313457,9.42783e-05,0.0195875,1.05585e-05,0.0054532,2.37974e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.173282,0.343832,-0.0127867,0.545467,2000000,0
,0.2,0.313457,9.42783e-05,0.020458,1.10278e-05,0.00569556,2.4855e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.180983,0.346388,-0.0266807,0.534997,2000000,0
,0.25,0.313457,9.42783e-05,0.0216908,1.16923e-05,0.00603878,2.63528e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.19189,0.355063,-0.0432233,0.558419,2000000,0
,0.3,0.313457,9.42783e-05,0.0230443,1.24219e-05,0.0064156,2.79972e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.203863,0.366598,-0.0606132,0.566838,2000000,0
,0.35,0.313457,9.42783e-05,0.02436,1.31311e-05,0.00678187,2.95956e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.215502,0.378073,-0.0779705,0.540338,2000000,0
,0.4,0.313457,9.42783e-05,0.0255923,1.37954e-05,0.00712496,3.10929e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.226404,0.388088,-0.0952028,0.541999,2000000,0
,0.45,0.313457,9.42783e-05,0.0267545,1.44218e-05,0.00744851,3.25048e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.236686,0.396833,-0.112295,0.54402,2000000,0
,0.5,0.313457,9.42783e-05,0.0278431,1.50087e-05,0.0077516,3.38274e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.246317,0.405545,-0.128483,0.545566,2000000,0
,0.55,0.313457,9.42783e-05,0.0287906,1.55194e-05,0.00801537,3.49785e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.254698,0.415571,-0.141913,0.539067,2000000,0
,0.6,0.313457,9.42783e-05,0.0294724,1.58869e-05,0.00820518,3.58069e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.26073,0.42756,-0.150073,0.551108,2000000,0
,0.65,0.313457,9.42783e-05,0.0297751,1.60501e-05,0.00828947,3.61747e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.263408,0.440998,-0.151053,0.552311,2000000,0
,0.7,0.313457,9.42783e-05,0.0296196,1.59662e-05,0.00824615,3.59857e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.262032,0.455095,-0.143447,0.550351,2000000,0
,0.75,0.313457,9.42783e-05,0.0290221,1.56442e-05,0.00807981,3.52597e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.256746,0.468641,-0.127608,0.550386,2000000,0
,0.8,0.313457,9.42783e-05,0.0280995,1.51468e-05,0.00782295,3.41388e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.248584,0.480495,-0.105761,0.525681,2000000,0
