z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_UL,err_BU_over_AU_times_Collins_UL,BL_over_AU_times_Collins_UL,err_BL_over_AU_times_Collins_UL,AU,err_AU,BU,err_BU,AL,err_AL,BL,err_BL,Collins_UL,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.313457,9.42783e-05,0.0205693,1.10877e-05,0.00572654,2.49902e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.181968,0.178715,-0.00325245,0.55195,2000000,0
,0.15,0.313457,9.42783e-05,0.0224125,1.20813e-05,0.00623968,2.72296e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.198274,0.185506,-0.0127677,0.565157,2000000,0
,0.2,0.313457,9.42783e-05,0.0238992,1.28827e-05,0.00665359,2.90358e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.211426,0.184694,-0.0267319,0.565411,2000000,0
,0.25,0.313457,9.42783e-05,0.0252104,1.35895e-05,0.00701863,3.06288e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.223026,0.177105,-0.045921,0.565653,2000000,0
,0.3,0.313457,9.42783e-05,0.026838,1.44669e-05,0.00747176,3.26063e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.237424,0.166675,-0.0707495,0.595508,2000000,0
,0.35,0.313457,9.42783e-05,0.0291407,1.57081e-05,0.00811285,3.54039e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.257796,0.156818,-0.100978,0.551413,2000000,0
,0.4,0.313457,9.42783e-05,0.0322366,1.73769e-05,0.00897473,3.91651e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.285183,0.149122,-0.136061,0.569811,2000000,0
,0.45,0.313457,9.42783e-05,0.0360888,1.94535e-05,0.0100472,4.38454e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.319263,0.143326,-0.175937,0.592157,2000000,0
,0.5,0.313457,9.42783e-05,0.0406652,2.19203e-05,0.0113213,4.94053e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.359748,0.137965,-0.221783,0.570488,2000000,0
,0.55,0.313457,9.42783e-05,0.046064,2.48305e-05,0.0128243,5.59645e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.407509,0.131477,-0.276032,0.56219,2000000,0
,0.6,0.313457,9.42783e-05,0.0525313,2.83167e-05,0.0146248,6.38218e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.464722,0.123132,-0.34159,0.583868,2000000,0
,0.65,0.313457,9.42783e-05,0.0603524,3.25326e-05,0.0168022,7.33239e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.533912,0.113513,-0.420399,0.56932,2000000,0
,0.7,0.313457,9.42783e-05,0.0697617,3.76046e-05,0.0194218,8.47555e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.617152,0.103541,-0.513611,0.575433,2000000,0
,0.75,0.313457,9.42783e-05,0.08081,4.35601e-05,0.0224977,9.81784e-06,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.714892,0.0945907,-0.620301,0.566826,2000000,0
,0.8,0.313457,9.42783e-05,0.0933001,5.02929e-05,0.025975,1.13353e-05,2.57572e-09,6.80386e-13,4.60837e-10,2.1654e-13,8.07376e-10,1.16119e-13,1.28298e-10,4.45662e-14,0.825387,0.0879464,-0.73744,0.568131,2000000,0
