z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_UL,err_BU_over_AU_times_Collins_UL,BL_over_AU_times_Collins_UL,err_BL_over_AU_times_Collins_UL,AU,err_AU,BU,err_BU,AL,err_AL,BL,err_BL,Collins_UL,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.944619,0.000730526,0.0268779,2.21475e-05,0.025341,2.0706e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.185592,0.182588,-0.00300471,0.314238,1000000,0
,0.15,0.944619,0.000730526,0.0290055,2.39006e-05,0.027347,2.2345e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.200284,0.187583,-0.0127007,0.321743,1000000,0
,0.2,0.944619,0.000730526,0.0307474,2.53359e-05,0.0289892,2.36869e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.212311,0.185375,-0.0269364,0.320522,1000000,0
,0.25,0.944619,0.000730526,0.032361,2.66656e-05,0.0305106,2.493e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.223454,0.177005,-0.0464487,0.316209,1000000,0
,0.3,0.944619,0.000730526,0.0344497,2.83866e-05,0.0324798,2.65391e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.237876,0.16629,-0.0715856,0.317399,1000000,0
,0.35,0.944619,0.000730526,0.0374243,3.08378e-05,0.0352844,2.88307e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.258416,0.156252,-0.102163,0.331284,1000000,0
,0.4,0.944619,0.000730526,0.0414246,3.4134e-05,0.0390559,3.19123e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.286038,0.148344,-0.137694,0.324598,1000000,0
,0.45,0.944619,0.000730526,0.0464037,3.82368e-05,0.0437503,3.57481e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.320419,0.142111,-0.178307,0.320341,1000000,0
,0.5,0.944619,0.000730526,0.052336,4.31251e-05,0.0493435,4.03182e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.361381,0.136174,-0.225208,0.325116,1000000,0
,0.55,0.944619,0.000730526,0.0593604,4.89131e-05,0.0559661,4.57296e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.409885,0.129114,-0.280771,0.321212,1000000,0
,0.6,0.944619,0.000730526,0.0677817,5.58523e-05,0.0639059,5.22171e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.468034,0.12044,-0.347594,0.320047,1000000,0
,0.65,0.944619,0.000730526,0.0779284,6.42132e-05,0.0734724,6.00338e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.538097,0.110779,-0.427318,0.325427,1000000,0
,0.7,0.944619,0.000730526,0.0900574,7.42076e-05,0.0849079,6.93777e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.621848,0.101028,-0.52082,0.320482,1000000,0
,0.75,0.944619,0.000730526,0.104183,8.58475e-05,0.0982262,8.02599e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.719388,0.092523,-0.626865,0.325819,1000000,0
,0.8,0.944619,0.000730526,0.120069,9.89374e-05,0.113204,9.24979e-05,2.98361e-12,1.64502e-15,6.83914e-13,4.18806e-16,2.81837e-12,1.5284e-15,6.44808e-13,3.88843e-16,0.82908,0.0863148,-0.742765,0.330374,1000000,0
