z2,AL_over_AU,err_AL_over_AU,BU_over_AU_times_Collins_U,err_BU_over_AU_times_Collins_U,BU_over_AU_times_Collins_L,err_BU_over_AU_times_Collins_L,BL_over_AU_times_Collins_U,err_BL_over_AU_times_Collins_U,BL_over_AU_times_Collins_L,err_BL_over_AU_times_Collins_L,Collins_U,Collins_L,time[s],neval,fail
,0.1,0,0,0,0,-0,0,0,0,-0,0,0.183442,-0.00297602,0.305838,1000000,0
,0.15,0,0,0,0,-0,0,0,0,-0,0,0.187992,-0.0127187,0.302181,1000000,0
,0.2,0,0,0,0,-0,0,0,0,-0,0,0.18544,-0.0270165,0.307321,1000000,0
,0.25,0,0,0,0,-0,0,0,0,-0,0,0.176872,-0.0466088,0.308337,1000000,0
,0.3,0,0,0,0,-0,0,0,0,-0,0,0.166064,-0.0718303,0.307944,1000000,0
,0.35,0,0,0,0,-0,0,0,0,-0,0,0.156025,-0.102487,0.307744,1000000,0
,0.4,0,0,0,0,-0,0,0,0,-0,0,0.148041,-0.13815,0.307706,1000000,0
,0.45,0,0,0,0,-0,0,0,0,-0,0,0.141717,-0.178944,0.30756,1000000,0
,0.5,0,0,0,0,-0,0,0,0,-0,0,0.13564,-0.226113,0.307306,1000000,0
,0.55,0,0,0,0,-0,0,0,0,-0,0,0.128449,-0.282007,0.308027,1000000,0
,0.6,0,0,0,0,-0,0,0,0,-0,0,0.119712,-0.349141,0.307238,1000000,0
,0.65,0,0,0,0,-0,0,0,0,-0,0,0.11007,-0.429073,0.307356,1000000,0
,0.7,0,0,0,0,-0,0,0,0,-0,0,0.100401,-0.522628,0.307947,1000000,0
,0.75,0,0,0,0,-0,0,0,0,-0,0,0.09202,-0.628524,0.307821,1000000,0
,0.8,0,0,0,0,-0,0,0,0,-0,0,0.0859558,-0.744068,0.307826,1000000,0
