z2,<dsig|1;0>,err[1],<dsig|2;0>,err[2],<ALL|0;0>,err[3],<ALL|1;0>,err[4],<dsig|0;1>,err[5],<dsig|1;-1>,err[6],<dsig|1;1>,err[7],<dsig|2;1>,err[8],<dsig|2;-1>,err[9],<ALL|0;1>,err[10],<ALL|1;-1>,err[11],<ALL|1;1>,err[12],AUzi,err[13],AUcfqzi,err[14],AUc2fqzi,err[15],ALzi,err[16],ALcfqzi,err[17],BUcf12zi,err[18],BUcfqmf12zi,err[19],BUcfqpf12zi,err[20],BUc2fqmf12zi,err[21],BUc2fqpf12zi,err[22],BLcf12zi,err[23],BLcfqmf12zi,err[24],BLcfqpf12zi,err[25],time[s],neval,fail
,0.1,0.18758,0.000142889,0.0826304,8.02403e-05,-0.00151807,1.05327e-06,-6.82965e-05,4.19018e-08,0.0143641,1.12172e-05,-0.0141484,1.14786e-05,0.0141484,1.14786e-05,0.00410257,3.59225e-06,0.00410257,3.59225e-06,-2.29426e-05,1.42274e-08,4.30424e-06,2.72266e-09,-4.30424e-06,2.72266e-09,0.0434033,2.13836e-05,0.0040708,2.36503e-06,0.00358643,3.00118e-06,-6.58893e-05,3.2189e-08,-1.48215e-06,5.41929e-10,0.00250361,1.51692e-06,-0.002466,1.58954e-06,0.002466,1.58954e-06,0.000715063,5.17602e-07,0.000715063,5.17602e-07,-3.9988e-06,1.50599e-09,7.50213e-07,2.97635e-10,-7.50213e-07,2.97635e-10,3.24827,10000000,1
,0.15,0.18758,0.000142889,0.0826304,8.02403e-05,-0.00151807,1.05327e-06,-6.82965e-05,4.19018e-08,0.0140419,1.09656e-05,-0.013831,1.12211e-05,0.013831,1.12211e-05,0.00401054,3.51167e-06,0.00401054,3.51167e-06,-2.24279e-05,1.39082e-08,4.20769e-06,2.66159e-09,-4.20769e-06,2.66159e-09,0.0434033,2.13836e-05,0.0040708,2.36503e-06,0.00358643,3.00118e-06,-6.58893e-05,3.2189e-08,-1.48215e-06,5.41929e-10,0.00250361,1.51692e-06,-0.002466,1.58954e-06,0.002466,1.58954e-06,0.000715063,5.17602e-07,0.000715063,5.17602e-07,-3.9988e-06,1.50599e-09,7.50213e-07,2.97635e-10,-7.50213e-07,2.97635e-10,3.24456,10000000,1
,0.2,0.18758,0.000142889,0.0826304,8.02403e-05,-0.00151807,1.05327e-06,-6.82965e-05,4.19018e-08,0.0143241,1.11859e-05,-0.0141089,1.14466e-05,0.0141089,1.14466e-05,0.00409114,3.58224e-06,0.00409114,3.58224e-06,-2.28786e-05,1.41877e-08,4.29224e-06,2.71507e-09,-4.29224e-06,2.71507e-09,0.0434033,2.13836e-05,0.0040708,2.36503e-06,0.00358643,3.00118e-06,-6.58893e-05,3.2189e-08,-1.48215e-06,5.41929e-10,0.00250361,1.51692e-06,-0.002466,1.58954e-06,0.002466,1.58954e-06,0.000715063,5.17602e-07,0.000715063,5.17602e-07,-3.9988e-06,1.50599e-09,7.50213e-07,2.97635e-10,-7.50213e-07,2.97635e-10,3.22939,10000000,1
,0.25,0.18758,0.000142889,0.0826304,8.02403e-05,-0.00151807,1.05327e-06,-6.82965e-05,4.19018e-08,0.0151238,1.18105e-05,-0.0148966,1.20857e-05,0.0148966,1.20857e-05,0.00431955,3.78224e-06,0.00431955,3.78224e-06,-2.41559e-05,1.49798e-08,4.53188e-06,2.86666e-09,-4.53188e-06,2.86666e-09,0.0434033,2.13836e-05,0.0040708,2.36503e-06,0.00358643,3.00118e-06,-6.58893e-05,3.2189e-08,-1.48215e-06,5.41929e-10,0.00250361,1.51692e-06,-0.002466,1.58954e-06,0.002466,1.58954e-06,0.000715063,5.17602e-07,0.000715063,5.17602e-07,-3.9988e-06,1.50599e-09,7.50213e-07,2.97635e-10,-7.50213e-07,2.97635e-10,3.24314,10000000,1
,0.3,0.18758,0.000142889,0.0826304,8.02403e-05,-0.00151807,1.05327e-06,-6.82965e-05,4.19018e-08,0.0161814,1.26363e-05,-0.0159383,1.29308e-05,0.0159383,1.29308e-05,0.00462161,4.04673e-06,0.00462161,4.04673e-06,-2.58451e-05,1.60273e-08,4.84879e-06,3.06712e-09,-4.84879e-06,3.06712e-09,0.0434033,2.13836e-05,0.0040708,2.36503e-06,0.00358643,3.00118e-06,-6.58893e-05,3.2189e-08,-1.48215e-06,5.41929e-10,0.00250361,1.51692e-06,-0.002466,1.58954e-06,0.002466,1.58954e-06,0.000715063,5.17602e-07,0.000715063,5.17602e-07,-3.9988e-06,1.50599e-09,7.50213e-07,2.97635e-10,-7.50213e-07,2.97635e-10,3.23938,10000000,1
,0.35,0.18758,0.000142889,0.0826304,8.02403e-05,-0.00151807,1.05327e-06,-6.82965e-05,4.19018e-08,0.0172753,1.34906e-05,-0.0170158,1.38049e-05,0.0170158,1.38049e-05,0.00493404,4.32029e-06,0.00493404,4.32029e-06,-2.75923e-05,1.71108e-08,5.17658e-06,3.27446e-09,-5.17658e-06,3.27446e-09,0.0434033,2.13836e-05,0.0040708,2.36503e-06,0.00358643,3.00118e-06,-6.58893e-05,3.2189e-08,-1.48215e-06,5.41929e-10,0.00250361,1.51692e-06,-0.002466,1.58954e-06,0.002466,1.58954e-06,0.000715063,5.17602e-07,0.000715063,5.17602e-07,-3.9988e-06,1.50599e-09,7.50213e-07,2.97635e-10,-7.50213e-07,2.97635e-10,3.34397,10000000,1
,0.4,0.18758,0.000142889,0.0826304,8.02403e-05,-0.00151807,1.05327e-06,-6.82965e-05,4.19018e-08,0.0183111,1.42995e-05,-0.0180361,1.46327e-05,0.0180361,1.46327e-05,0.00522989,4.57934e-06,0.00522989,4.57934e-06,-2.92468e-05,1.81368e-08,5.48697e-06,3.4708e-09,-5.48697e-06,3.4708e-09,0.0434033,2.13836e-05,0.0040708,2.36503e-06,0.00358643,3.00118e-06,-6.58893e-05,3.2189e-08,-1.48215e-06,5.41929e-10,0.00250361,1.51692e-06,-0.002466,1.58954e-06,0.002466,1.58954e-06,0.000715063,5.17602e-07,0.000715063,5.17602e-07,-3.9988e-06,1.50599e-09,7.50213e-07,2.97635e-10,-7.50213e-07,2.97635e-10,3.64927,10000000,1
,0.45,0.18758,0.000142889,0.0826304,8.02403e-05,-0.00151807,1.05327e-06,-6.82965e-05,4.19018e-08,0.0192948,1.50677e-05,-0.019005,1.54188e-05,0.019005,1.54188e-05,0.00551085,4.82535e-06,0.00551085,4.82535e-06,-3.0818e-05,1.91111e-08,5.78174e-06,3.65726e-09,-5.78174e-06,3.65726e-09,0.0434033,2.13836e-05,0.0040708,2.36503e-06,0.00358643,3.00118e-06,-6.58893e-05,3.2189e-08,-1.48215e-06,5.41929e-10,0.00250361,1.51692e-06,-0.002466,1.58954e-06,0.002466,1.58954e-06,0.000715063,5.17602e-07,0.000715063,5.17602e-07,-3.9988e-06,1.50599e-09,7.50213e-07,2.97635e-10,-7.50213e-07,2.97635e-10,3.38942,10000000,1
,0.5,0.18758,0.000142889,0.0826304,8.02403e-05,-0.00151807,1.05327e-06,-6.82965e-05,4.19018e-08,0.0202704,1.58295e-05,-0.0199659,1.61984e-05,0.0199659,1.61984e-05,0.00578949,5.06933e-06,0.00578949,5.06933e-06,-3.23762e-05,2.00775e-08,6.07408e-06,3.84218e-09,-6.07408e-06,3.84218e-09,0.0434033,2.13836e-05,0.0040708,2.36503e-06,0.00358643,3.00118e-06,-6.58893e-05,3.2189e-08,-1.48215e-06,5.41929e-10,0.00250361,1.51692e-06,-0.002466,1.58954e-06,0.002466,1.58954e-06,0.000715063,5.17602e-07,0.000715063,5.17602e-07,-3.9988e-06,1.50599e-09,7.50213e-07,2.97635e-10,-7.50213e-07,2.97635e-10,3.7975,10000000,1
,0.55,0.18758,0.000142889,0.0826304,8.02403e-05,-0.00151807,1.05327e-06,-6.82965e-05,4.19018e-08,0.0212486,1.65935e-05,-0.0209295,1.69801e-05,0.0209295,1.69801e-05,0.00606888,5.31397e-06,0.00606888,5.31397e-06,-3.39386e-05,2.10463e-08,6.3672e-06,4.0276e-09,-6.3672e-06,4.0276e-09,0.0434033,2.13836e-05,0.0040708,2.36503e-06,0.00358643,3.00118e-06,-6.58893e-05,3.2189e-08,-1.48215e-06,5.41929e-10,0.00250361,1.51692e-06,-0.002466,1.58954e-06,0.002466,1.58954e-06,0.000715063,5.17602e-07,0.000715063,5.17602e-07,-3.9988e-06,1.50599e-09,7.50213e-07,2.97635e-10,-7.50213e-07,2.97635e-10,3.93757,10000000,1
