z2,<dsig|1;0>U,err[1],<dsig|1;0>L,err[2],<dsig|2;0>U,err[3],<dsig|2;0>L,err[4],<ALL|0;0>U,err[5],<ALL|0;0>L,err[6],<ALL|1;0>U,err[7],<ALL|1;0>L,err[8],<dsig|0;1>U,err[9],<dsig|0;1>L,err[10],<dsig|1;-1>U,err[11],<dsig|1;-1>L,err[12],<dsig|1;1>U,err[13],<dsig|1;1>L,err[14],<dsig|2;1>U,err[15],<dsig|2;1>L,err[16],<dsig|2;-1>U,err[17],<dsig|2;-1>L,err[18],<ALL|0;1>U,err[19],<ALL|0;1>L,err[20],<ALL|1;-1>U,err[21],<ALL|1;-1>L,err[22],<ALL|1;1>U,err[23],<ALL|1;1>L,err[24],time[s],neval,fail
,0.1,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0150289,2.42386e-05,-0.00299156,2.42386e-05,-0.0146935,2.4115e-05,0.0029248,2.4115e-05,0.0146935,2.4115e-05,-0.0029248,2.4115e-05,0.00427603,7.62736e-06,-0.000851159,7.62736e-06,0.00427603,7.62736e-06,-0.000851159,7.62736e-06,-0.000289567,3.71972e-07,5.76394e-05,3.71972e-07,7.18114e-05,9.33703e-08,-1.42943e-05,9.33703e-08,-7.18114e-05,9.33703e-08,1.42943e-05,9.33703e-08,2.94272,10000000,1
,0.15,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0145162,2.42386e-05,-0.00304015,2.42386e-05,-0.0141922,2.4115e-05,0.0029723,2.4115e-05,0.0141922,2.4115e-05,-0.0029723,2.4115e-05,0.00413015,7.62736e-06,-0.000864983,7.62736e-06,0.00413015,7.62736e-06,-0.000864983,7.62736e-06,-0.000279689,3.71972e-07,5.85756e-05,3.71972e-07,6.93616e-05,9.33703e-08,-1.45265e-05,9.33703e-08,-6.93616e-05,9.33703e-08,1.45265e-05,9.33703e-08,2.94296,10000000,1
,0.2,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0143783,2.42386e-05,-0.00350362,2.42386e-05,-0.0140574,2.4115e-05,0.00342543,2.4115e-05,0.0140574,2.4115e-05,-0.00342543,2.4115e-05,0.0040909,7.62736e-06,-0.00099685,7.62736e-06,0.0040909,7.62736e-06,-0.00099685,7.62736e-06,-0.000277031,3.71972e-07,6.75055e-05,3.71972e-07,6.87025e-05,9.33703e-08,-1.67411e-05,9.33703e-08,-6.87025e-05,9.33703e-08,1.67411e-05,9.33703e-08,2.95779,10000000,1
,0.25,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0146119,2.42386e-05,-0.00426721,2.42386e-05,-0.0142858,2.4115e-05,0.00417199,2.4115e-05,0.0142858,2.4115e-05,-0.00417199,2.4115e-05,0.00415738,7.62736e-06,-0.00121411,7.62736e-06,0.00415738,7.62736e-06,-0.00121411,7.62736e-06,-0.000281533,3.71972e-07,8.22179e-05,3.71972e-07,6.98189e-05,9.33703e-08,-2.03897e-05,9.33703e-08,-6.98189e-05,9.33703e-08,2.03897e-05,9.33703e-08,3.0155,10000000,1
,0.3,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0150426,2.42386e-05,-0.00517243,2.42386e-05,-0.0147069,2.4115e-05,0.005057,2.4115e-05,0.0147069,2.4115e-05,-0.005057,2.4115e-05,0.00427991,7.62736e-06,-0.00147166,7.62736e-06,0.00427991,7.62736e-06,-0.00147166,7.62736e-06,-0.000289831,3.71972e-07,9.9659e-05,3.71972e-07,7.18768e-05,9.33703e-08,-2.4715e-05,9.33703e-08,-7.18768e-05,9.33703e-08,2.4715e-05,9.33703e-08,2.95804,10000000,1
,0.35,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.015496,2.42386e-05,-0.00610792,2.42386e-05,-0.0151502,2.4115e-05,0.00597161,2.4115e-05,0.0151502,2.4115e-05,-0.00597161,2.4115e-05,0.00440894,7.62736e-06,-0.00173782,7.62736e-06,0.00440894,7.62736e-06,-0.00173782,7.62736e-06,-0.000298568,3.71972e-07,0.000117683,3.71972e-07,7.40435e-05,9.33703e-08,-2.9185e-05,9.33703e-08,-7.40435e-05,9.33703e-08,2.9185e-05,9.33703e-08,3.00025,10000000,1
,0.4,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0158828,2.42386e-05,-0.00703559,2.42386e-05,-0.0155283,2.4115e-05,0.00687859,2.4115e-05,0.0155283,2.4115e-05,-0.00687859,2.4115e-05,0.00451897,7.62736e-06,-0.00200177,7.62736e-06,0.00451897,7.62736e-06,-0.00200177,7.62736e-06,-0.000306019,3.71972e-07,0.000135557,3.71972e-07,7.58914e-05,9.33703e-08,-3.36176e-05,9.33703e-08,-7.58914e-05,9.33703e-08,3.36176e-05,9.33703e-08,2.97127,10000000,1
,0.45,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0161912,2.42386e-05,-0.00796844,2.42386e-05,-0.0158299,2.4115e-05,0.00779061,2.4115e-05,0.0158299,2.4115e-05,-0.00779061,2.4115e-05,0.00460673,7.62736e-06,-0.00226718,7.62736e-06,0.00460673,7.62736e-06,-0.00226718,7.62736e-06,-0.000311962,3.71972e-07,0.000153531,3.71972e-07,7.73652e-05,9.33703e-08,-3.8075e-05,9.33703e-08,-7.73652e-05,9.33703e-08,3.8075e-05,9.33703e-08,3.01828,10000000,1
,0.5,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0164627,2.42386e-05,-0.00892339,2.42386e-05,-0.0160954,2.4115e-05,0.00872425,2.4115e-05,0.0160954,2.4115e-05,-0.00872425,2.4115e-05,0.00468398,7.62736e-06,-0.00253888,7.62736e-06,0.00468398,7.62736e-06,-0.00253888,7.62736e-06,-0.000317194,3.71972e-07,0.00017193,3.71972e-07,7.86626e-05,9.33703e-08,-4.26379e-05,9.33703e-08,-7.86626e-05,9.33703e-08,4.26379e-05,9.33703e-08,3.21451,10000000,1
,0.55,0.190288,0.000114079,0.190288,0.000114079,0.0863818,6.85544e-05,0.0863818,6.85544e-05,-0.0145862,8.36258e-06,-0.0145862,8.36258e-06,-0.00108953,5.4875e-07,-0.00108953,5.4875e-07,0.0167565,2.42386e-05,-0.00986733,2.42386e-05,-0.0163825,2.4115e-05,0.00964713,2.4115e-05,0.0163825,2.4115e-05,-0.00964713,2.4115e-05,0.00476755,7.62736e-06,-0.00280745,7.62736e-06,0.00476755,7.62736e-06,-0.00280745,7.62736e-06,-0.000322853,3.71972e-07,0.000190117,3.71972e-07,8.00661e-05,9.33703e-08,-4.71483e-05,9.33703e-08,-8.00661e-05,9.33703e-08,4.71483e-05,9.33703e-08,3.09476,10000000,1
