z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0473335,1.79763e-05,0.000619046,1.86007e-07,0.148864,5.65357e-05,0.0019469,5.84993e-07,0.503272,109.807,36000000,0
,0.15,0.0477945,1.80661e-05,0.000625034,1.86603e-07,0.148864,5.62698e-05,0.00194677,5.81205e-07,0.508175,111.567,36000000,0
,0.2,0.0497559,1.90186e-05,0.000650648,1.96174e-07,0.148864,5.69013e-05,0.00194666,5.86929e-07,0.529031,106.6,35000000,0
,0.25,0.0529682,2.01814e-05,0.000692628,2.07926e-07,0.148863,5.67185e-05,0.00194658,5.84361e-07,0.563186,108.133,35000000,0
,0.3,0.0567798,2.19007e-05,0.000742451,2.25406e-07,0.148864,5.74189e-05,0.00194654,5.90966e-07,0.60371,103.666,34000000,0
,0.35,0.0606785,3.62619e-05,0.00079354,3.72472e-07,0.148881,8.89723e-05,0.00194703,9.13897e-07,0.64509,46.6911,15000000,0
,0.4,0.0644421,7.54921e-05,0.00084342,7.71579e-07,0.148933,0.00017447,0.00194923,1.7832e-06,0.684865,15.5275,5000000,0
,0.45,0.068384,0.000400771,0.000884477,3.96453e-06,0.149676,0.000877188,0.0019359,8.67738e-06,0.723149,3.09093,1000000,0
,0.5,0.0719459,0.000421646,0.000930545,4.17103e-06,0.149676,0.000877189,0.0019359,8.67737e-06,0.760817,3.08754,1000000,0
,0.55,0.0754247,0.000442034,0.000975536,4.3727e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.797604,3.10687,1000000,0
,0.6,0.0786028,0.00046066,0.00101664,4.55694e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.831211,3.10181,1000000,0
,0.65,0.0811324,0.000475485,0.00104936,4.70359e-06,0.149676,0.000877189,0.00193588,8.67734e-06,0.857962,3.09838,1000000,0
,0.7,0.0826396,0.000484318,0.00106885,4.79097e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.8739,3.10637,1000000,0
,0.75,0.0828787,0.000485719,0.00107194,4.80482e-06,0.149676,0.00087719,0.00193587,8.67732e-06,0.876428,3.10451,1000000,0
,0.8,0.0818444,0.000479658,0.00105856,4.74486e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.865491,3.05343,1000000,0
