z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.0397116,1.34993e-05,0.000517691,1.39418e-07,-0.0133883,4.55114e-06,-0.000174534,4.70032e-08,0.148769,5.05715e-05,0.00193939,5.22291e-07,0.422503,-0.142442,144.6,46000000,0
,0.15,0.039594,1.37029e-05,0.00051613,1.41258e-07,-0.0141014,4.8803e-06,-0.00018382,5.03092e-08,0.148766,5.14857e-05,0.00193925,5.30746e-07,0.42126,-0.150032,138.547,44000000,0
,0.2,0.0400114,1.43103e-05,0.000521549,1.47313e-07,-0.0159213,5.69435e-06,-0.000207535,5.86188e-08,0.148764,5.32064e-05,0.00193915,5.47718e-07,0.425706,-0.169397,129.464,41000000,0
,0.25,0.0408939,2.32937e-05,0.000533205,2.39248e-07,-0.0186737,1.06368e-05,-0.000243482,1.0925e-07,0.148794,8.47548e-05,0.00194008,8.7051e-07,0.43501,-0.198642,53.6807,17000000,0
,0.3,0.0419668,4.42752e-05,0.000548016,4.52764e-07,-0.0219722,2.31808e-05,-0.00028692,2.37049e-07,0.148882,0.000157071,0.00194415,1.60623e-06,0.446158,-0.233591,19.045,6000000,0
,0.35,0.0430227,0.000109488,0.00056189,1.1086e-06,-0.0254843,6.48545e-05,-0.000332832,6.56676e-07,0.149043,0.000379297,0.00194655,3.84052e-06,0.456889,-0.270636,6.28426,2000000,0
,0.4,0.044102,0.000258464,0.000570411,2.55679e-06,-0.0291044,0.000170569,-0.000376434,1.68731e-06,0.149676,0.000877189,0.00193589,8.67736e-06,0.466371,-0.307774,3.13856,1000000,0
,0.45,0.0448995,0.000263138,0.000580725,2.60302e-06,-0.0326031,0.000191074,-0.000421685,1.89014e-06,0.149676,0.000877189,0.00193589,8.67734e-06,0.474805,-0.344773,3.11756,1000000,0
,0.5,0.0456448,0.000267506,0.000590363,2.64623e-06,-0.0361418,0.000211813,-0.000467453,2.09529e-06,0.149676,0.000877189,0.00193588,8.67733e-06,0.482687,-0.382194,3.10042,1000000,0
,0.55,0.0463553,0.00027167,0.000599551,2.68741e-06,-0.039715,0.000232754,-0.000513667,2.30245e-06,0.149676,0.00087719,0.00193588,8.67732e-06,0.4902,-0.41998,3.13636,1000000,0
,0.6,0.0469968,0.00027543,0.000607848,2.7246e-06,-0.0431701,0.000253003,-0.000558354,2.50275e-06,0.149676,0.00087719,0.00193587,8.67732e-06,0.496984,-0.456517,3.1248,1000000,0
,0.65,0.0475068,0.000278419,0.000614443,2.75417e-06,-0.0462153,0.00027085,-0.000597739,2.67929e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.502377,-0.48872,3.07774,1000000,0
,0.7,0.0478361,0.000280349,0.0006187,2.77325e-06,-0.0484779,0.00028411,-0.000627001,2.81046e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.505859,-0.512646,3.14062,1000000,0
,0.75,0.0479701,0.000281134,0.000620432,2.78102e-06,-0.0496056,0.000290719,-0.000641585,2.87584e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.507276,-0.524571,3.12656,1000000,0
,0.8,0.0479344,0.000280925,0.000619969,2.77895e-06,-0.0494013,0.000289522,-0.000638941,2.86399e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.506899,-0.522411,3.12776,1000000,0
