z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0227455,8.00694e-06,0.000295327,8.23538e-08,0.148653,5.23294e-05,0.00193011,5.38224e-07,0.242184,140.953,45000000,0
,0.15,0.0240647,1.90486e-05,0.000312976,1.95096e-07,0.148773,0.000117762,0.00193488,1.20612e-06,0.256025,31.5621,10000000,0
,0.2,0.02521,4.52609e-05,0.000329151,4.59898e-07,0.148967,0.000267449,0.00194497,2.71756e-06,0.267859,9.47868,3000000,0
,0.25,0.0260885,0.000152894,0.000337426,1.51246e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.275881,3.15808,1000000,0
,0.3,0.026565,0.000155687,0.000343589,1.54009e-06,0.149676,0.000877189,0.00193588,8.67734e-06,0.280921,3.15805,1000000,0
,0.35,0.0269499,0.000157943,0.000348565,1.5624e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.284991,3.15485,1000000,0
,0.4,0.0274175,0.000160683,0.000354613,1.58951e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.289936,3.12817,1000000,0
,0.45,0.0279997,0.000164095,0.000362141,1.62325e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.296092,3.11679,1000000,0
,0.5,0.0285284,0.000167194,0.000368978,1.6539e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.301683,3.13049,1000000,0
,0.55,0.0286855,0.000168114,0.000371009,1.66301e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.303344,3.14137,1000000,0
,0.6,0.0281468,0.000164958,0.000364042,1.63178e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.297648,3.13498,1000000,0
,0.65,0.0267772,0.000156931,0.000346327,1.55238e-06,0.149676,0.000877191,0.00193585,8.67727e-06,0.283164,3.13467,1000000,0
,0.7,0.0245651,0.000143967,0.000317716,1.42413e-06,0.149676,0.000877192,0.00193585,8.67727e-06,0.259772,3.11905,1000000,0
,0.75,0.0217361,0.000127387,0.000281126,1.26012e-06,0.149676,0.000877192,0.00193585,8.67726e-06,0.229855,3.12308,1000000,0
,0.8,0.0186383,0.000109232,0.00024106,1.08053e-06,0.149676,0.000877192,0.00193584,8.67725e-06,0.197097,3.11183,1000000,0
