z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.0389616,1.51683e-05,0.000509656,1.56762e-07,-0.0129998,5.061e-06,-0.00017005,5.23045e-08,0.148882,5.7962e-05,0.00194753,5.99027e-07,0.414208,-0.138203,103.779,34000000,0
,0.15,0.0388128,1.50357e-05,0.000507702,1.55119e-07,-0.0136824,5.30041e-06,-0.000178976,5.46828e-08,0.148882,5.76754e-05,0.0019475,5.95021e-07,0.412626,-0.14546,103.898,34000000,0
,0.2,0.0392322,1.51409e-05,0.000513182,1.56001e-07,-0.0154312,5.95538e-06,-0.00020185,6.13601e-08,0.148882,5.74583e-05,0.00194748,5.92011e-07,0.417084,-0.164052,106.149,34000000,0
,0.25,0.0401454,1.94515e-05,0.000525139,2.00084e-07,-0.0180632,8.75208e-06,-0.000236283,9.00265e-08,0.14889,7.21411e-05,0.00194762,7.42065e-07,0.426771,-0.192023,68.2706,22000000,0
,0.3,0.0412612,4.26341e-05,0.000540082,4.36391e-07,-0.0211937,2.18989e-05,-0.000277411,2.24151e-07,0.14893,0.000153886,0.0019494,1.57513e-06,0.438514,-0.225241,18.6143,6000000,0
,0.35,0.0425421,0.000249322,0.000550239,2.46636e-06,-0.0246079,0.000144217,-0.000318279,1.42663e-06,0.149676,0.000877188,0.0019359,8.67738e-06,0.449876,-0.260225,3.1117,1000000,0
,0.4,0.0434917,0.000254888,0.00056252,2.52141e-06,-0.0279079,0.000163557,-0.000360959,1.61795e-06,0.149676,0.000877189,0.0019359,8.67737e-06,0.459918,-0.295121,3.10667,1000000,0
,0.45,0.0443348,0.000259829,0.000573423,2.57029e-06,-0.0311832,0.000182752,-0.000403321,1.80783e-06,0.149676,0.000877189,0.00193589,8.67736e-06,0.468834,-0.329757,3.04067,1000000,0
,0.5,0.0451252,0.000264461,0.000583645,2.61611e-06,-0.0344786,0.000202065,-0.000445942,1.99887e-06,0.149676,0.000877189,0.00193589,8.67734e-06,0.477192,-0.364606,3.04891,1000000,0
,0.55,0.045889,0.000268937,0.000593522,2.66038e-06,-0.0377709,0.00022136,-0.000488523,2.18974e-06,0.149676,0.000877189,0.00193588,8.67733e-06,0.485269,-0.399421,3.05899,1000000,0
,0.6,0.0465971,0.000273087,0.000602678,2.70143e-06,-0.0408914,0.000239649,-0.000528883,2.37065e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.492756,-0.43242,3.0963,1000000,0
,0.65,0.0471838,0.000276526,0.000610266,2.73544e-06,-0.0435498,0.000255228,-0.000563264,2.52476e-06,0.149676,0.00087719,0.00193587,8.67732e-06,0.498961,-0.460532,3.10636,1000000,0
,0.7,0.0475941,0.00027893,0.000615571,2.75923e-06,-0.0453922,0.000266026,-0.000587092,2.63157e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.5033,-0.480015,3.1103,1000000,0
,0.75,0.0478044,0.000280163,0.00061829,2.77141e-06,-0.0461164,0.00027027,-0.000596458,2.67356e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.505523,-0.487674,3.10361,1000000,0
,0.8,0.047833,0.000280331,0.000618659,2.77307e-06,-0.0455941,0.000267209,-0.000589701,2.64327e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.505827,-0.48215,3.10677,1000000,0
