z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0241535,9.37145e-06,0.000315864,9.66916e-08,0.148899,5.77722e-05,0.00194721,5.96075e-07,0.256751,106.145,34000000,0
,0.15,0.0250506,9.66801e-06,0.000327605,9.95783e-08,0.148901,5.74665e-05,0.00194728,5.91892e-07,0.266285,106.184,34000000,0
,0.2,0.0261153,1.55914e-05,0.000341586,1.60196e-07,0.148913,8.89045e-05,0.00194777,9.1346e-07,0.277578,46.7383,15000000,0
,0.25,0.0271835,4.70763e-05,0.000355692,4.79111e-07,0.148984,0.000258011,0.00194943,2.62586e-06,0.288795,9.3254,3000000,0
,0.3,0.0282619,0.000165632,0.000365539,1.63847e-06,0.149676,0.000877188,0.0019359,8.67738e-06,0.298865,3.11989,1000000,0
,0.35,0.029126,0.000170696,0.000376714,1.68856e-06,0.149676,0.000877189,0.00193589,8.67736e-06,0.308003,3.1219,1000000,0
,0.4,0.0299856,0.000175734,0.000387831,1.7384e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.317093,3.12602,1000000,0
,0.45,0.0308738,0.000180939,0.000399317,1.78988e-06,0.149676,0.000877189,0.00193588,8.67734e-06,0.326485,3.09859,1000000,0
,0.5,0.0316914,0.000185731,0.000409891,1.83728e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.335131,3.11396,1000000,0
,0.55,0.0322121,0.000188783,0.000416625,1.86747e-06,0.149676,0.00087719,0.00193587,8.67732e-06,0.340638,3.1095,1000000,0
,0.6,0.0321756,0.000188568,0.000416152,1.86535e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.340251,3.05634,1000000,0
,0.65,0.0314451,0.000184288,0.000406703,1.823e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.332527,3.11931,1000000,0
,0.7,0.0299819,0.000175712,0.000387778,1.73817e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.317054,3.12462,1000000,0
,0.75,0.027944,0.000163769,0.000361419,1.62002e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.295503,3.118,1000000,0
,0.8,0.0256061,0.000150067,0.000331181,1.48448e-06,0.149676,0.000877191,0.00193585,8.67728e-06,0.27078,3.10723,1000000,0
