z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0530722,3.66742e-05,0.000691913,3.75556e-07,0.148854,0.000102862,0.00194064,1.05334e-06,0.564327,37.396,12000000,0
,0.15,0.0547303,0.000139016,0.000714787,1.40672e-06,0.14905,0.000378591,0.00194662,3.83099e-06,0.581193,6.22695,2000000,0
,0.2,0.0576237,0.000337709,0.000745299,3.3407e-06,0.149676,0.000877189,0.00193589,8.67735e-06,0.609361,3.12315,1000000,0
,0.25,0.061241,0.000358909,0.000792082,3.5504e-06,0.149676,0.000877189,0.00193588,8.67734e-06,0.647613,3.10965,1000000,0
,0.3,0.0655546,0.00038419,0.000847871,3.80048e-06,0.149676,0.00087719,0.00193588,8.67733e-06,0.693229,3.09526,1000000,0
,0.35,0.0703369,0.000412217,0.000909722,4.07772e-06,0.149676,0.00087719,0.00193587,8.67731e-06,0.743801,3.12246,1000000,0
,0.4,0.0754423,0.000442138,0.000975752,4.3737e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.79779,3.11118,1000000,0
,0.45,0.0808354,0.000473745,0.0010455,4.68635e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.854821,3.09286,1000000,0
,0.5,0.0865682,0.000507343,0.00111965,5.0187e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.915445,3.11129,1000000,0
,0.55,0.0927087,0.00054333,0.00119906,5.37468e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.980379,3.13406,1000000,0
,0.6,0.0992744,0.00058181,0.00128398,5.75532e-06,0.149676,0.000877191,0.00193585,8.67727e-06,1.04981,3.12206,1000000,0
,0.65,0.106197,0.00062238,0.00137351,6.15664e-06,0.149676,0.000877192,0.00193585,8.67726e-06,1.12302,3.11832,1000000,0
,0.7,0.113347,0.000664281,0.00146598,6.57113e-06,0.149676,0.000877192,0.00193585,8.67726e-06,1.19862,3.0659,1000000,0
,0.75,0.120442,0.000705864,0.00155775,6.98246e-06,0.149676,0.000877192,0.00193584,8.67725e-06,1.27365,3.10153,1000000,0
,0.8,0.126933,0.000743905,0.00164169,7.35876e-06,0.149676,0.000877192,0.00193584,8.67725e-06,1.34229,3.08303,1000000,0
