z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0197366,5.18538e-05,0.000257444,5.23619e-07,0.149053,0.000391606,0.00194425,3.95443e-06,0.209583,6.24398,2000000,0
,0.15,0.0215438,0.00012626,0.000278643,1.24898e-06,0.149676,0.00087719,0.00193587,8.67732e-06,0.227822,3.10839,1000000,0
,0.2,0.0226955,0.000133009,0.000293538,1.31575e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.240001,3.12131,1000000,0
,0.25,0.023117,0.00013548,0.000298988,1.34018e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.244458,3.06972,1000000,0
,0.3,0.0230897,0.00013532,0.000298634,1.3386e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.244169,3.12279,1000000,0
,0.35,0.0229827,0.000134693,0.000297251,1.3324e-06,0.149676,0.000877191,0.00193585,8.67727e-06,0.243039,3.12511,1000000,0
,0.4,0.0230579,0.000135133,0.000298221,1.33675e-06,0.149676,0.000877192,0.00193585,8.67726e-06,0.243833,3.12985,1000000,0
,0.45,0.0233444,0.000136813,0.000301927,1.35336e-06,0.149676,0.000877192,0.00193584,8.67725e-06,0.246863,3.12049,1000000,0
,0.5,0.0236087,0.000138362,0.000305345,1.36868e-06,0.149676,0.000877192,0.00193584,8.67725e-06,0.249658,3.16585,1000000,0
,0.55,0.0234452,0.000137404,0.000303231,1.35921e-06,0.149676,0.000877192,0.00193584,8.67724e-06,0.24793,3.10952,1000000,0
,0.6,0.0224665,0.000131668,0.000290572,1.30246e-06,0.149676,0.000877192,0.00193584,8.67724e-06,0.237579,3.12745,1000000,0
,0.65,0.0205275,0.000120304,0.000265494,1.19005e-06,0.149676,0.000877192,0.00193584,8.67724e-06,0.217075,3.13014,1000000,0
,0.7,0.0176309,0.000103328,0.00022803,1.02213e-06,0.149676,0.000877192,0.00193584,8.67724e-06,0.186444,3.12007,1000000,0
,0.75,0.0140565,8.23796e-05,0.0001818,8.14904e-07,0.149676,0.000877193,0.00193584,8.67724e-06,0.148645,3.12255,1000000,0
,0.8,0.0102195,5.98929e-05,0.000132175,5.92463e-07,0.149676,0.000877193,0.00193584,8.67724e-06,0.10807,3.12538,1000000,0
