z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0501366,0.000131724,0.000653982,1.33014e-06,0.149053,0.000391606,0.00194425,3.95443e-06,0.532401,6.24398,2000000,0
,0.15,0.052336,0.000306721,0.000676903,3.03413e-06,0.149676,0.00087719,0.00193587,8.67732e-06,0.553444,3.10839,1000000,0
,0.2,0.0550362,0.000322546,0.000711825,3.19067e-06,0.149676,0.00087719,0.00193587,8.6773e-06,0.581999,3.12131,1000000,0
,0.25,0.0583891,0.000342196,0.000755187,3.38505e-06,0.149676,0.000877191,0.00193586,8.67729e-06,0.617455,3.06972,1000000,0
,0.3,0.0623168,0.000365215,0.000805985,3.61275e-06,0.149676,0.000877191,0.00193586,8.67728e-06,0.65899,3.12279,1000000,0
,0.35,0.0667521,0.000391209,0.000863348,3.86988e-06,0.149676,0.000877191,0.00193585,8.67727e-06,0.705893,3.12511,1000000,0
,0.4,0.0716468,0.000419895,0.000926653,4.15364e-06,0.149676,0.000877192,0.00193585,8.67726e-06,0.757654,3.12985,1000000,0
,0.45,0.0769791,0.000451145,0.000995616,4.46276e-06,0.149676,0.000877192,0.00193584,8.67725e-06,0.814041,3.12049,1000000,0
,0.5,0.0827514,0.000484975,0.00107027,4.79741e-06,0.149676,0.000877192,0.00193584,8.67725e-06,0.875083,3.16585,1000000,0
,0.55,0.0889768,0.000521459,0.00115079,5.15831e-06,0.149676,0.000877192,0.00193584,8.67724e-06,0.940915,3.10952,1000000,0
,0.6,0.0956638,0.00056065,0.00123727,5.54598e-06,0.149676,0.000877192,0.00193584,8.67724e-06,1.01163,3.12745,1000000,0
,0.65,0.10281,0.00060253,0.0013297,5.96027e-06,0.149676,0.000877192,0.00193584,8.67724e-06,1.0872,3.13014,1000000,0
,0.7,0.110415,0.000647103,0.00142806,6.40118e-06,0.149676,0.000877192,0.00193584,8.67724e-06,1.16762,3.12007,1000000,0
,0.75,0.118469,0.000694305,0.00153223,6.8681e-06,0.149676,0.000877193,0.00193584,8.67724e-06,1.25279,3.12255,1000000,0
,0.8,0.126932,0.000743898,0.00164167,7.35868e-06,0.149676,0.000877193,0.00193584,8.67724e-06,1.34228,3.12538,1000000,0
