z2,<dsig|c12>_piPpiM,err_<dsig|c12>_piPpiM,<ALL|c12>_piPpiM,err_<ALL|c12>_piPpiM,<dsig|c12>_piMpiP,err_<dsig|c12>_piMpiP,<ALL|c12>_piMpiP,err_<ALL|c12>_piMpiP,<dsig|c12>_piPpiP,err_<dsig|c12>_piPpiP,<ALL|c12>_piPpiP,err_<ALL|c12>_piPpiP,<ALL|c12>_piMpiM,<dsig|c12>_piMpiM,err_<dsig|c12>_piMpiM,err_<ALL|c12>_piMpiM,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_piPpiM,Collins_piMpiP,Collins_piPpiP,Collins_piMpiM,time[s],neval,fail
,0.1,0.0375989,6.96808e-05,0.000486369,6.89361e-07,0.0375989,6.96808e-05,0.000486369,6.89361e-07,-0.00998938,1.8513e-05,-0.00012922,1.83152e-07,-0.00998938,1.8513e-05,-0.00012922,1.83152e-07,0.149665,0.00027737,0.00193603,2.74406e-06,0.397629,0.397629,-0.105643,-0.105643,30.4998,10000000,0
,0.15,0.0373358,6.91935e-05,0.000482954,6.84529e-07,0.0373358,6.91935e-05,0.000482954,6.84529e-07,-0.010716,1.98596e-05,-0.000138616,1.96471e-07,-0.010716,1.98596e-05,-0.000138616,1.96471e-07,0.149665,0.000277371,0.00193598,2.74402e-06,0.394848,0.394848,-0.113328,-0.113328,30.9394,10000000,0
,0.2,0.0376851,6.98409e-05,0.000487465,6.90927e-07,0.0376851,6.98409e-05,0.000487465,6.90927e-07,-0.0123388,2.28672e-05,-0.000159605,2.26222e-07,-0.0123388,2.28672e-05,-0.000159605,2.26222e-07,0.149665,0.000277371,0.00193595,2.744e-06,0.398541,0.398541,-0.13049,-0.13049,30.6289,10000000,0
,0.25,0.0385872,7.15128e-05,0.000499129,7.07463e-07,0.0385872,7.15128e-05,0.000499129,7.07463e-07,-0.0146662,2.71806e-05,-0.000189709,2.68893e-07,-0.0146662,2.71806e-05,-0.000189709,2.68893e-07,0.149665,0.000277371,0.00193593,2.74398e-06,0.408082,0.408082,-0.155104,-0.155104,30.4133,10000000,0
,0.3,0.039725,7.36216e-05,0.000513844,7.28322e-07,0.039725,7.36216e-05,0.000513844,7.28322e-07,-0.0173603,3.21734e-05,-0.000224555,3.18284e-07,-0.0173603,3.21734e-05,-0.000224555,3.18284e-07,0.149665,0.000277371,0.00193592,2.74397e-06,0.420115,0.420115,-0.183595,-0.183595,30.5451,10000000,0
,0.35,0.0408395,7.5687e-05,0.000528256,7.48752e-07,0.0408395,7.5687e-05,0.000528256,7.48752e-07,-0.0201587,3.73597e-05,-0.000260751,3.6959e-07,-0.0201587,3.73597e-05,-0.000260751,3.6959e-07,0.149665,0.000277372,0.00193591,2.74397e-06,0.431901,0.431901,-0.213189,-0.213189,30.6218,10000000,0
,0.4,0.0418188,7.7502e-05,0.000540922,7.66706e-07,0.0418188,7.7502e-05,0.000540922,7.66706e-07,-0.0229403,4.25148e-05,-0.00029673,4.20587e-07,-0.0229403,4.25148e-05,-0.00029673,4.20587e-07,0.149665,0.000277372,0.0019359,2.74396e-06,0.442258,0.442258,-0.242607,-0.242607,30.0962,10000000,0
,0.45,0.042678,7.90944e-05,0.000552034,7.82457e-07,0.042678,7.90944e-05,0.000552034,7.82457e-07,-0.0257012,4.76316e-05,-0.000332441,4.71205e-07,-0.0257012,4.76316e-05,-0.000332441,4.71205e-07,0.149665,0.000277372,0.0019359,2.74396e-06,0.451344,0.451344,-0.271805,-0.271805,30.3811,10000000,0
,0.5,0.0434892,8.05978e-05,0.000562525,7.97329e-07,0.0434892,8.05978e-05,0.000562525,7.97329e-07,-0.0284517,5.27291e-05,-0.000368018,5.21632e-07,-0.0284517,5.27291e-05,-0.000368018,5.21632e-07,0.149665,0.000277372,0.00193589,2.74395e-06,0.459924,0.459924,-0.300893,-0.300893,30.6083,10000000,0
,0.55,0.0443091,8.21174e-05,0.000573129,8.1236e-07,0.0443091,8.21174e-05,0.000573129,8.1236e-07,-0.0311103,5.76562e-05,-0.000402405,5.70374e-07,-0.0311103,5.76562e-05,-0.000402405,5.70374e-07,0.149665,0.000277372,0.00193589,2.74395e-06,0.468595,0.468595,-0.329009,-0.329009,30.5637,10000000,0
,0.6,0.0451344,8.36469e-05,0.000583803,8.2749e-07,0.0451344,8.36469e-05,0.000583803,8.2749e-07,-0.0334629,6.20162e-05,-0.000432834,6.13505e-07,-0.0334629,6.20162e-05,-0.000432834,6.13505e-07,0.149665,0.000277372,0.00193588,2.74395e-06,0.477322,0.477322,-0.353889,-0.353889,30.7945,10000000,0
,0.65,0.0459021,8.50696e-05,0.000593731,8.41563e-07,0.0459021,8.50696e-05,0.000593731,8.41563e-07,-0.0352247,6.52814e-05,-0.000455622,6.45805e-07,-0.0352247,6.52814e-05,-0.000455622,6.45805e-07,0.149665,0.000277372,0.00193588,2.74394e-06,0.485441,0.485441,-0.372521,-0.372521,30.3971,10000000,0
,0.7,0.0465469,8.62647e-05,0.000602071,8.53385e-07,0.0465469,8.62647e-05,0.000602071,8.53385e-07,-0.0360869,6.68793e-05,-0.000466773,6.61612e-07,-0.0360869,6.68793e-05,-0.000466773,6.61612e-07,0.149665,0.000277372,0.00193587,2.74394e-06,0.492261,0.492261,-0.38164,-0.38164,30.4401,10000000,0
,0.75,0.0470177,8.71372e-05,0.000608158,8.62015e-07,0.0470177,8.71372e-05,0.000608158,8.62015e-07,-0.0358552,6.645e-05,-0.000463776,6.57364e-07,-0.0358552,6.645e-05,-0.000463776,6.57364e-07,0.149665,0.000277372,0.00193587,2.74394e-06,0.497239,0.497239,-0.37919,-0.37919,30.3355,10000000,0
,0.8,0.047302,8.76641e-05,0.000611834,8.67225e-07,0.047302,8.76641e-05,0.000611834,8.67225e-07,-0.0345368,6.40065e-05,-0.000446721,6.33191e-07,-0.0345368,6.40065e-05,-0.000446721,6.33191e-07,0.149665,0.000277372,0.00193587,2.74393e-06,0.500245,0.500245,-0.365246,-0.365246,30.4524,10000000,0
