z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0385787,3.22444e-05,-0,-nan,0.000249987,2.08941e-07,-0,-nan,0.173999,0.00014543,-0,-nan,27.9005,26.1577,0.221718,0.00143672,252.437,20000000,0
0.15,0.0381271,2.73811e-05,-0,-nan,-0.000624286,4.48333e-07,0,-nan,0.174044,0.000124991,-0,-nan,13.4601,12.7186,0.219065,-0.00358693,248.358,20000000,0
0.2,0.0383716,2.73592e-05,-0,-nan,-0.00202398,1.44312e-06,0,-nan,0.173977,0.000124047,-0,-nan,7.5318,7.0952,0.220555,-0.0116336,254.624,20000000,0
0.25,0.039312,2.80595e-05,-0,-nan,-0.00375892,2.68298e-06,0,-nan,0.173971,0.000124174,-0,-nan,4.54132,4.2214,0.225968,-0.0216066,252.065,20000000,0
0.3,0.0405753,2.89693e-05,-0,-nan,-0.00563833,4.02556e-06,0,-nan,0.173973,0.00012421,-0,-nan,2.86252,2.61228,0.233228,-0.0324093,252.619,20000000,0
0.35,0.0418352,2.98719e-05,-0,-nan,-0.00756221,5.3997e-06,0,-nan,0.173969,0.00012422,-0,-nan,1.85835,1.66446,0.240476,-0.0434688,248.288,20000000,0
0.4,0.0429342,3.0656e-05,-0,-nan,-0.00951502,6.79394e-06,0,-nan,0.173967,0.000124216,-0,-nan,1.24093,1.09334,0.246795,-0.0546943,250.584,20000000,0
0.45,0.0438919,3.13363e-05,-0,-nan,-0.0114934,8.20563e-06,0,-nan,0.173967,0.000124203,-0,-nan,0.851501,0.739513,0.2523,-0.0660665,251.825,20000000,0
0.5,0.0448487,3.20099e-05,-0,-nan,-0.0134077,9.56947e-06,0,-nan,0.173967,0.000124166,-0,-nan,0.599567,0.513144,0.2578,-0.0770701,250.041,20000000,0
0.55,0.0459528,3.27869e-05,-0,-nan,-0.0150487,1.07371e-05,0,-nan,0.173968,0.000124125,-0,-nan,0.431962,0.363263,0.264145,-0.086503,252.093,20000000,0
0.6,0.0472854,3.37199e-05,-0,-nan,-0.0161127,1.14902e-05,0,-nan,0.173969,0.00012406,-0,-nan,0.315884,0.259811,0.271804,-0.0926185,251.185,20000000,0
0.65,0.0487871,3.47645e-05,-0,-nan,-0.0163629,1.16598e-05,0,-nan,0.17397,0.000123967,-0,-nan,0.231447,0.185432,0.280434,-0.094056,250.83,20000000,0
0.7,0.0503701,3.58574e-05,-0,-nan,-0.0156122,1.1114e-05,0,-nan,0.173972,0.000123847,-0,-nan,0.167703,0.130513,0.28953,-0.0897395,251.61,20000000,0
0.75,0.0518946,3.68942e-05,-0,-nan,-0.0138826,9.86974e-06,0,-nan,0.173975,0.000123687,-0,-nan,0.117831,0.0890438,0.298287,-0.0797962,250.734,20000000,0
0.8,0.0532353,3.77827e-05,-0,-nan,-0.0114012,8.09177e-06,0,-nan,0.17398,0.000123478,-0,-nan,0.0780711,0.0574188,0.305986,-0.0655319,249.448,20000000,0
0.1,0.0345606,2.48129e-05,-0,-nan,-0.000783357,5.62414e-07,0,-nan,0.174055,0.000124964,-0,-nan,27.9005,26.1577,0.198561,-0.00450062,249.729,20000000,0
0.15,0.0341675,2.43667e-05,-0,-nan,-0.0018384,1.31106e-06,0,-nan,0.173987,0.000124079,-0,-nan,13.4601,12.7186,0.19638,-0.0105663,252.274,20000000,0
0.2,0.0344339,2.45844e-05,-0,-nan,-0.00337662,2.41077e-06,0,-nan,0.173974,0.00012421,-0,-nan,7.5318,7.0952,0.197926,-0.0194088,252.25,20000000,0
0.25,0.0353112,2.52183e-05,-0,-nan,-0.0051853,3.7032e-06,0,-nan,0.173973,0.000124247,-0,-nan,4.54132,4.2214,0.202969,-0.0298052,250.977,20000000,0
0.3,0.0364716,2.60437e-05,-0,-nan,-0.00707087,5.04917e-06,0,-nan,0.173973,0.000124231,-0,-nan,2.86252,2.61228,0.20964,-0.0406435,251.297,20000000,0
0.35,0.0376258,2.68659e-05,-0,-nan,-0.00894216,6.38497e-06,0,-nan,0.173969,0.000124219,-0,-nan,1.85835,1.66446,0.216278,-0.0514008,254.066,20000000,0
0.4,0.038634,2.75825e-05,-0,-nan,-0.010793,7.70562e-06,0,-nan,0.173968,0.000124204,-0,-nan,1.24093,1.09334,0.222075,-0.0620403,248.708,20000000,0
0.45,0.0395141,2.8204e-05,-0,-nan,-0.0126247,9.0111e-06,0,-nan,0.173968,0.000124173,-0,-nan,0.851501,0.739513,0.227134,-0.0725687,251.614,20000000,0
