z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0526507,4.69228e-05,-0,-nan,-0.00871895,7.77041e-06,0,-nan,0.210127,0.000187267,-0,-nan,3.62675,3.22789,0.250566,-0.0414937,109.237,10000000,0
0.15,0.0523381,4.66443e-05,-0,-nan,-0.00996951,8.88494e-06,0,-nan,0.210127,0.000187268,-0,-nan,1.74467,1.57498,0.249078,-0.0474451,109.541,10000000,0
0.2,0.0528948,4.71409e-05,-0,-nan,-0.0121548,1.08326e-05,0,-nan,0.210127,0.000187269,-0,-nan,0.97784,0.877926,0.251728,-0.057845,109.774,10000000,0
0.25,0.054226,4.83275e-05,-0,-nan,-0.015004,1.33719e-05,0,-nan,0.210126,0.00018727,-0,-nan,0.592957,0.519743,0.258064,-0.0714045,109.028,10000000,0
0.3,0.0558834,4.98049e-05,-0,-nan,-0.018153,1.61785e-05,0,-nan,0.210126,0.00018727,-0,-nan,0.376567,0.319296,0.265952,-0.0863912,106.419,10000000,0
0.35,0.0575008,5.12464e-05,-0,-nan,-0.0213569,1.90339e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.246268,0.201892,0.273649,-0.101638,109.273,10000000,0
0.4,0.058918,5.25095e-05,-0,-nan,-0.0245234,2.1856e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.16548,0.131701,0.280393,-0.116708,109.468,10000000,0
0.45,0.0601646,5.36206e-05,-0,-nan,-0.027649,2.46417e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.114159,0.0885279,0.286326,-0.131583,109.734,10000000,0
0.5,0.061371,5.46958e-05,-0,-nan,-0.0306855,2.73479e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0808133,0.0610326,0.292068,-0.146034,109.483,10000000,0
0.55,0.0626494,5.58352e-05,-0,-nan,-0.0334533,2.98147e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.058587,0.0428626,0.298152,-0.159206,108.453,10000000,0
0.6,0.0640309,5.70664e-05,-0,-nan,-0.03563,3.17546e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0431724,0.0303378,0.304726,-0.169565,108.987,10000000,0
0.65,0.0654282,5.83117e-05,-0,-nan,-0.0368961,3.28831e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0319105,0.0213772,0.311376,-0.175591,109.72,10000000,0
0.7,0.0667459,5.94861e-05,-0,-nan,-0.0369545,3.2935e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0233391,0.0148254,0.317647,-0.175868,108.097,10000000,0
0.75,0.0678776,6.04947e-05,-0,-nan,-0.0357148,3.18302e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0165489,0.00995835,0.323033,-0.169968,110.171,10000000,0
0.8,0.0687576,6.12791e-05,-0,-nan,-0.0333471,2.972e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0110551,0.0063264,0.327221,-0.1587,110.536,10000000,0
0.1,0.0470807,4.19586e-05,-0,-nan,-0.0101034,9.00426e-06,0,-nan,0.210127,0.000187267,-0,-nan,3.62675,3.22789,0.224058,-0.0480825,108.058,10000000,0
0.15,0.0469273,4.18222e-05,-0,-nan,-0.0115511,1.02945e-05,0,-nan,0.210127,0.000187268,-0,-nan,1.74467,1.57498,0.223328,-0.0549722,110.071,10000000,0
0.2,0.0475549,4.23819e-05,-0,-nan,-0.0138977,1.23859e-05,0,-nan,0.210126,0.000187269,-0,-nan,0.97784,0.877926,0.226315,-0.0661397,108.784,10000000,0
0.25,0.0488575,4.35431e-05,-0,-nan,-0.0168545,1.50211e-05,0,-nan,0.210126,0.00018727,-0,-nan,0.592957,0.519743,0.232515,-0.0802112,109.643,10000000,0
0.3,0.0504295,4.49442e-05,-0,-nan,-0.0200518,1.78707e-05,0,-nan,0.210126,0.00018727,-0,-nan,0.376567,0.319296,0.239996,-0.0954275,109.153,10000000,0
0.35,0.0519494,4.62989e-05,-0,-nan,-0.0232489,2.07201e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.246268,0.201892,0.24723,-0.110642,109.062,10000000,0
0.4,0.0532825,4.7487e-05,-0,-nan,-0.0263606,2.34934e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.16548,0.131701,0.253574,-0.125452,111.056,10000000,0
0.45,0.054457,4.85338e-05,-0,-nan,-0.0293884,2.61919e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.114159,0.0885279,0.259163,-0.139861,111.387,10000000,0
0.5,0.0555799,4.95346e-05,-0,-nan,-0.0322892,2.87772e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0808133,0.0610326,0.264507,-0.153666,108.978,10000000,0
0.55,0.0567355,5.05645e-05,-0,-nan,-0.0348938,3.10985e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.058587,0.0428626,0.270007,-0.166062,107.58,10000000,0
0.6,0.0579366,5.1635e-05,-0,-nan,-0.0369013,3.28877e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0431724,0.0303378,0.275723,-0.175615,110.059,10000000,0
0.65,0.0591036,5.26751e-05,-0,-nan,-0.0380212,3.38857e-05,0,-nan,0.210126,0.000187271,-0,-nan,0.0319105,0.0213772,0.281277,-0.180945,109.762,10000000,0
