z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0459127,0.000239684,-0,-nan,-0.0167024,8.71936e-05,0,-nan,0.237628,0.00124052,-0,-nan,1.65212,1.42016,0.193213,-0.0702882,117.443,10000000,0
0.15,0.0461587,0.000240967,-0,-nan,-0.0185582,9.68812e-05,0,-nan,0.237628,0.00124051,-0,-nan,0.793168,0.694488,0.194248,-0.0780978,116.398,10000000,0
0.2,0.0470766,0.000245758,-0,-nan,-0.0215107,0.000112294,0,-nan,0.237628,0.00124051,-0,-nan,0.444944,0.386846,0.198111,-0.0905229,117.053,10000000,0
0.25,0.0485067,0.000253223,-0,-nan,-0.02524,0.000131762,0,-nan,0.237628,0.00124051,-0,-nan,0.270759,0.228186,0.204129,-0.106217,118.057,10000000,0
0.3,0.0500841,0.000261457,-0,-nan,-0.0292841,0.000152874,0,-nan,0.237628,0.0012405,-0,-nan,0.172748,0.139444,0.210767,-0.123235,118.96,10000000,0
0.35,0.0515592,0.000269158,-0,-nan,-0.0333158,0.000173921,0,-nan,0.237628,0.0012405,-0,-nan,0.113483,0.0876768,0.216974,-0.140202,118.185,10000000,0
0.4,0.0528508,0.0002759,-0,-nan,-0.0371982,0.000194188,0,-nan,0.237628,0.0012405,-0,-nan,0.0765458,0.0569011,0.22241,-0.15654,117.137,10000000,0
0.45,0.0539907,0.000281851,-0,-nan,-0.0409332,0.000213686,0,-nan,0.237628,0.0012405,-0,-nan,0.0529773,0.0380705,0.227207,-0.172258,115.429,10000000,0
0.5,0.0550375,0.000287316,-0,-nan,-0.044523,0.000232426,0,-nan,0.237628,0.0012405,-0,-nan,0.0376223,0.0261181,0.231612,-0.187364,120.182,10000000,0
0.55,0.0560072,0.000292378,-0,-nan,-0.0478546,0.000249818,0,-nan,0.237628,0.0012405,-0,-nan,0.027376,0.0182308,0.235693,-0.201385,117.688,10000000,0
0.6,0.0568592,0.000296825,-0,-nan,-0.0506641,0.000264485,0,-nan,0.237628,0.0012405,-0,-nan,0.020264,0.0127992,0.239278,-0.213208,117.582,10000000,0
0.65,0.0575235,0.000300293,-0,-nan,-0.0526409,0.000274804,0,-nan,0.237628,0.0012405,-0,-nan,0.0150542,0.00892748,0.242074,-0.221527,117.616,10000000,0
0.7,0.0579523,0.000302532,-0,-nan,-0.0534712,0.000279139,0,-nan,0.237628,0.0012405,-0,-nan,0.0110694,0.00611706,0.243878,-0.225021,117.317,10000000,0
0.75,0.0581369,0.000303495,-0,-nan,-0.0529974,0.000276665,0,-nan,0.237628,0.0012405,-0,-nan,0.00788929,0.00405528,0.244655,-0.223027,116.196,10000000,0
0.8,0.0581138,0.000303375,-0,-nan,-0.0513041,0.000267825,0,-nan,0.237628,0.0012405,-0,-nan,0.00529414,0.00254296,0.244558,-0.215901,117.697,10000000,0
0.1,0.0534617,0.000279092,-0,-nan,-0.0168538,8.79836e-05,0,-nan,0.237628,0.00124052,-0,-nan,1.65212,1.42016,0.224981,-0.070925,117.848,10000000,0
