z2,<dsig|c12>_UC,err_<dsig|c12>_UC,<ALL|c12>_UC,err_<ALL|c12>_UC,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UC,times[s],neval,fail
,0.1,0.0161396,5.01244e-06,0.000211486,5.26943e-08,0.148498,4.61187e-05,0.00194585,4.84833e-07,0.172027,30.7952,65000000,0
,0.15,0.0163979,5.41713e-06,0.000214835,5.68934e-08,0.148651,4.91076e-05,0.00194754,5.15753e-07,0.1746,22.4067,51000000,0
,0.2,0.0170724,5.75095e-06,0.000223457,6.03121e-08,0.148651,5.0074e-05,0.00194566,5.25143e-07,0.181782,23.2464,49000000,0
,0.25,0.0180727,6.1457e-06,0.000236511,6.4372e-08,0.148646,5.05479e-05,0.00194528,5.29454e-07,0.192439,22.7462,48000000,0
,0.3,0.019189,6.51453e-06,0.000251102,6.81651e-08,0.148644,5.04637e-05,0.00194512,5.28029e-07,0.204328,22.6436,48000000,0
,0.35,0.0202792,6.94879e-06,0.00026534,7.26428e-08,0.148643,5.09332e-05,0.00194489,5.32457e-07,0.21594,22.1885,47000000,0
,0.4,0.0213023,7.28897e-06,0.000278698,7.61419e-08,0.14864,5.08598e-05,0.00194465,5.3129e-07,0.226838,22.2518,47000000,0
,0.45,0.0222744,7.69701e-06,0.000291388,8.035e-08,0.148638,5.13626e-05,0.00194445,5.3618e-07,0.237192,18.9919,46000000,0
,0.5,0.0231977,8.00556e-06,0.000303444,8.35191e-08,0.148637,5.12948e-05,0.00194429,5.35141e-07,0.247026,21.7136,46000000,0
,0.55,0.0240161,8.27554e-06,0.000314133,8.62793e-08,0.148636,5.12174e-05,0.00194417,5.33984e-07,0.255743,21.7247,46000000,0
,0.6,0.0246173,8.56314e-06,0.000321985,8.9205e-08,0.148636,5.17033e-05,0.00194411,5.3861e-07,0.262144,21.1639,45000000,0
,0.65,0.0248903,8.637e-06,0.00032555,8.98909e-08,0.148637,5.15775e-05,0.00194408,5.368e-07,0.26505,21.3681,45000000,0
,0.7,0.024752,8.56232e-06,0.000323742,8.90141e-08,0.148638,5.14175e-05,0.0019441,5.34538e-07,0.263575,21.4746,45000000,0
,0.75,0.0242149,1.18839e-05,0.000316759,1.23286e-07,0.148671,7.29629e-05,0.0019448,7.56937e-07,0.257798,9.75099,23000000,0
,0.8,0.023375,1.82142e-05,0.00030601,1.88323e-07,0.148741,0.000115902,0.00194723,1.19835e-06,0.248739,4.91897,10000000,0
