z2,<dsig|c12>_UL,err_<dsig|c12>_UL,<ALL|c12>_UL,err_<ALL|c12>_UL,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_UL,times[s],neval,fail
,0.1,0.0335203,1.04103e-05,0.000439235,1.09441e-07,0.148498,4.61187e-05,0.00194585,4.84833e-07,0.357282,30.7952,65000000,0
,0.15,0.0338519,1.11832e-05,0.000443508,1.17451e-07,0.148651,4.91076e-05,0.00194754,5.15753e-07,0.360446,22.4067,51000000,0
,0.2,0.0352551,1.18759e-05,0.000461447,1.24547e-07,0.148651,5.0074e-05,0.00194566,5.25143e-07,0.375388,23.2464,49000000,0
,0.25,0.0375665,1.27747e-05,0.000491619,1.33806e-07,0.148646,5.05479e-05,0.00194528,5.29454e-07,0.400011,22.7462,48000000,0
,0.3,0.0402841,1.36762e-05,0.000527147,1.43101e-07,0.148644,5.04637e-05,0.00194512,5.28029e-07,0.428954,22.6436,48000000,0
,0.35,0.0430155,1.47395e-05,0.00056283,1.54087e-07,0.148643,5.09332e-05,0.00194489,5.32457e-07,0.458044,22.1885,47000000,0
,0.4,0.0455968,1.56018e-05,0.000596542,1.62979e-07,0.14864,5.08598e-05,0.00194465,5.3129e-07,0.485539,22.2518,47000000,0
,0.45,0.0480463,1.66026e-05,0.000628531,1.73317e-07,0.148638,5.13626e-05,0.00194445,5.3618e-07,0.511627,18.9919,46000000,0
,0.5,0.050422,1.74007e-05,0.000659561,1.81536e-07,0.148637,5.12948e-05,0.00194429,5.35141e-07,0.536931,21.7136,46000000,0
,0.55,0.0526921,1.81568e-05,0.000689218,1.893e-07,0.148636,5.12174e-05,0.00194417,5.33984e-07,0.561108,21.7247,46000000,0
,0.6,0.0546827,1.90214e-05,0.00071523,1.98152e-07,0.148636,5.17033e-05,0.00194411,5.3861e-07,0.582304,21.1639,45000000,0
,0.65,0.0561422,1.94815e-05,0.000734306,2.02757e-07,0.148637,5.15775e-05,0.00194408,5.368e-07,0.597843,21.3681,45000000,0
,0.7,0.0568272,1.96579e-05,0.000743268,2.04364e-07,0.148638,5.14175e-05,0.0019441,5.34538e-07,0.605133,21.4746,45000000,0
,0.75,0.0566377,2.77959e-05,0.000740888,2.88362e-07,0.148671,7.29629e-05,0.0019448,7.56937e-07,0.60298,9.75099,23000000,0
,0.8,0.0556534,4.33662e-05,0.000728579,4.48378e-07,0.148741,0.000115902,0.00194723,1.19835e-06,0.592223,4.91897,10000000,0
