z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.0331519,1.02959e-05,0.000434407,1.08238e-07,-0.000368416,1.14418e-07,-4.82756e-06,1.20284e-09,0.148498,4.61187e-05,0.00194585,4.84833e-07,0.353355,-0.00392683,30.7952,65000000,0
,0.15,0.0326424,1.07836e-05,0.000427661,1.13254e-07,-0.00120958,3.99591e-07,-1.58472e-05,4.1967e-09,0.148651,4.91076e-05,0.00194754,5.15753e-07,0.347567,-0.0128793,22.4067,51000000,0
,0.2,0.0327431,1.10297e-05,0.000428567,1.15672e-07,-0.00251206,8.46203e-07,-3.28798e-05,8.87441e-09,0.148651,5.0074e-05,0.00194566,5.25143e-07,0.34864,-0.0267477,23.2464,49000000,0
,0.25,0.0334788,1.13847e-05,0.000438126,1.19246e-07,-0.00408763,1.39002e-06,-5.34934e-05,1.45595e-08,0.148646,5.05479e-05,0.00194528,5.29454e-07,0.356485,-0.0435254,22.7462,48000000,0
,0.3,0.0345295,1.17225e-05,0.000451844,1.22659e-07,-0.00575459,1.95364e-06,-7.5303e-05,2.0442e-08,0.148644,5.04637e-05,0.00194512,5.28029e-07,0.367678,-0.0612761,22.6436,48000000,0
,0.35,0.0355926,1.2196e-05,0.000465706,1.27497e-07,-0.00742292,2.54351e-06,-9.71241e-05,2.65899e-08,0.148643,5.09332e-05,0.00194489,5.32457e-07,0.379002,-0.0790417,22.1885,47000000,0
,0.4,0.0365084,1.2492e-05,0.000477638,1.30494e-07,-0.00908847,3.10978e-06,-0.000118904,3.24853e-08,0.14864,5.08598e-05,0.00194465,5.3129e-07,0.38876,-0.0967788,22.2518,47000000,0
,0.45,0.0372825,1.28831e-05,0.000487721,1.34488e-07,-0.0107638,3.71948e-06,-0.00014081,3.88281e-08,0.148638,5.13626e-05,0.00194445,5.3618e-07,0.397007,-0.11462,18.9919,46000000,0
,0.5,0.0380337,1.31255e-05,0.000497512,1.36934e-07,-0.0123883,4.27522e-06,-0.000162049,4.46019e-08,0.148637,5.12948e-05,0.00194429,5.35141e-07,0.405011,-0.13192,21.7136,46000000,0
,0.55,0.038906,1.34063e-05,0.000508894,1.39772e-07,-0.0137861,4.75046e-06,-0.000180324,4.95275e-08,0.148636,5.12174e-05,0.00194417,5.33984e-07,0.414302,-0.146806,21.7247,46000000,0
,0.6,0.039982,1.39078e-05,0.00052295,1.44882e-07,-0.0147007,5.11366e-06,-0.00019228,5.32706e-08,0.148636,5.17033e-05,0.00194411,5.3861e-07,0.425759,-0.156545,21.1639,45000000,0
,0.65,0.0412251,1.43053e-05,0.0005392,1.48884e-07,-0.014917,5.17626e-06,-0.000195106,5.38727e-08,0.148637,5.15775e-05,0.00194408,5.368e-07,0.438996,-0.158848,21.3681,45000000,0
,0.7,0.0425615,1.47231e-05,0.00055668,1.53061e-07,-0.0142657,4.93486e-06,-0.000186588,5.1303e-08,0.148638,5.14175e-05,0.0019441,5.34538e-07,0.453222,-0.151911,21.4746,45000000,0
,0.75,0.0438746,2.15322e-05,0.000573931,2.23381e-07,-0.0127632,6.26373e-06,-0.000166957,6.49817e-08,0.148671,7.29629e-05,0.0019448,7.56937e-07,0.4671,-0.13588,9.75099,23000000,0
,0.8,0.0450515,3.5105e-05,0.000589786,3.62963e-07,-0.0106019,8.2612e-06,-0.000138793,8.54155e-08,0.148741,0.000115902,0.00194723,1.19835e-06,0.479405,-0.112818,4.91897,10000000,0
