z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0460141,7.39957e-05,0.00059852,7.45594e-07,-0.0104148,1.67481e-05,-0.000135468,1.68757e-07,0.156986,0.000252451,0.00204197,2.54375e-06,0.293109,-0.0663418,50.8534,10000000,0
0.15,0.0456323,7.33819e-05,0.000593542,7.394e-07,-0.0111941,1.80014e-05,-0.000145602,1.81383e-07,0.156986,0.000252452,0.00204193,2.54372e-06,0.290677,-0.0713062,52.0329,10000000,0
0.2,0.0459767,7.39358e-05,0.000598013,7.44974e-07,-0.0129477,2.08214e-05,-0.000168409,2.09795e-07,0.156986,0.000252452,0.0020419,2.5437e-06,0.292871,-0.0824766,51.6679,10000000,0
0.25,0.0469888,7.55635e-05,0.000611172,7.6137e-07,-0.0154678,2.48741e-05,-0.000201186,2.50629e-07,0.156986,0.000252452,0.00204188,2.54368e-06,0.299318,-0.0985298,51.2509,10000000,0
0.3,0.0482921,7.76593e-05,0.00062812,7.82486e-07,-0.0183891,2.95717e-05,-0.000239181,2.97961e-07,0.156986,0.000252452,0.00204187,2.54368e-06,0.30762,-0.117138,51.7739,10000000,0
0.35,0.0495717,7.97172e-05,0.000644761,8.03218e-07,-0.0214275,3.44579e-05,-0.000278699,3.47192e-07,0.156986,0.000252452,0.00204186,2.54367e-06,0.315771,-0.136493,51.1276,10000000,0
0.4,0.0506878,8.1512e-05,0.000659275,8.21301e-07,-0.0244514,3.93207e-05,-0.000318029,3.96188e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.322881,-0.155755,51.0939,10000000,0
0.45,0.0516573,8.30712e-05,0.000671884,8.37008e-07,-0.0274557,4.4152e-05,-0.000357104,4.44867e-07,0.156986,0.000252452,0.00204185,2.54366e-06,0.329057,-0.174893,50.9031,10000000,0
0.5,0.0525758,8.45481e-05,0.000683827,8.51889e-07,-0.0304512,4.89691e-05,-0.000396064,4.93402e-07,0.156986,0.000252452,0.00204184,2.54366e-06,0.334907,-0.193974,51.761,10000000,0
0.55,0.0535284,8.60801e-05,0.000696217,8.67324e-07,-0.0333494,5.36298e-05,-0.000433759,5.40362e-07,0.156986,0.000252453,0.00204184,2.54365e-06,0.340976,-0.212435,51.9381,10000000,0
