z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,AU,err_AU,BU,err_BU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0527789,2.70041e-05,0.0221976,9.87606e-06,0.000442199,2.26249e-07,0.000185978,8.27448e-08,0.232319,0.000118865,0.097708,4.34718e-05,-1.79325e-09,6.45146e-13,-4.16605e-10,1.51561e-13,27.4663,25.8531,0.227183,0.00190341,51.5561,10000000,0
0.15,0.0522869,2.67524e-05,0.0219906,9.78399e-06,-0.000756857,3.87243e-07,-0.000318316,1.41624e-07,0.232319,0.000118865,0.097708,4.34718e-05,-1.79325e-09,6.45146e-13,-4.16605e-10,1.51561e-13,13.018,12.3279,0.225065,-0.00325784,55.6297,10000000,0
0.2,0.0527593,2.69893e-05,0.0221909,9.87062e-06,-0.00264241,1.35174e-06,-0.00111141,4.94363e-07,0.232316,0.000118843,0.0977138,4.34636e-05,-1.79345e-09,6.45098e-13,-4.16647e-10,1.51551e-13,7.18591,6.77622,0.227101,-0.0113742,54.9782,10000000,0
0.25,0.05412,2.76809e-05,0.0227652,1.01237e-05,-0.00495984,2.53682e-06,-0.00208632,9.27787e-07,0.23232,0.000118825,0.0977234,4.34577e-05,-1.79361e-09,6.4506e-13,-4.16692e-10,1.51541e-13,4.2848,3.98547,0.232955,-0.0213492,54.9137,10000000,0
0.3,0.0558837,2.85829e-05,0.0235071,1.04536e-05,-0.00745798,3.81454e-06,-0.00313715,1.39509e-06,0.23232,0.000118825,0.0977237,4.34577e-05,-1.79362e-09,6.4506e-13,-4.16693e-10,1.51541e-13,2.67597,2.44399,0.240547,-0.0321022,55.6106,10000000,0
0.35,0.0576304,2.94766e-05,0.0242416,1.07804e-05,-0.0100079,5.11882e-06,-0.00420974,1.87209e-06,0.232319,0.000118826,0.0977226,4.34578e-05,-1.79361e-09,6.45061e-13,-4.16689e-10,1.51542e-13,1.72416,1.54601,0.248065,-0.0430784,54.1457,10000000,0
0.4,0.0591599,3.02593e-05,0.0248848,1.10666e-05,-0.0125854,6.43722e-06,-0.00529388,2.35426e-06,0.232318,0.000118827,0.0977214,4.34581e-05,-1.7936e-09,6.45064e-13,-4.16685e-10,1.51543e-13,1.1445,1.00972,0.25465,-0.0541731,54.8812,10000000,0
0.45,0.0605132,3.09518e-05,0.0254538,1.13198e-05,-0.0151755,7.76209e-06,-0.0063833,2.83879e-06,0.232318,0.000118828,0.0977203,4.34584e-05,-1.79358e-09,6.45066e-13,-4.16682e-10,1.51543e-13,0.781391,0.679467,0.260476,-0.0653221,56.1215,10000000,0
0.5,0.0618774,3.16499e-05,0.0260274,1.15751e-05,-0.0176523,9.02904e-06,-0.00742506,3.30214e-06,0.232317,0.000118829,0.0977194,4.34587e-05,-1.79357e-09,6.45068e-13,-4.16678e-10,1.51544e-13,0.547606,0.469141,0.266348,-0.0759834,52.8967,10000000,0
0.55,0.0634449,3.2452e-05,0.0266866,1.18685e-05,-0.0197384,1.00962e-05,-0.0083025,3.69242e-06,0.232317,0.00011883,0.0977187,4.3459e-05,-1.79356e-09,6.45071e-13,-4.16675e-10,1.51545e-13,0.392387,0.330252,0.273096,-0.0849632,53.6338,10000000,0
0.6,0.0653097,3.34062e-05,0.0274708,1.22174e-05,-0.0210489,1.07666e-05,-0.00885369,3.93761e-06,0.232317,0.000118831,0.0977181,4.34593e-05,-1.79355e-09,6.45073e-13,-4.16673e-10,1.51545e-13,0.285048,0.23468,0.281123,-0.0906044,51.0487,10000000,0
0.65,0.0673851,3.44681e-05,0.0283437,1.26058e-05,-0.0212913,1.08907e-05,-0.00895559,3.98298e-06,0.232317,0.000118832,0.0977176,4.34597e-05,-1.79354e-09,6.45075e-13,-4.1667e-10,1.51546e-13,0.207063,0.166157,0.290057,-0.0916477,52.6454,10000000,0
0.7,0.0695501,3.55758e-05,0.0292542,1.30109e-05,-0.020247,1.03566e-05,-0.00851631,3.78766e-06,0.232317,0.000118833,0.0977171,4.346e-05,-1.79353e-09,6.45077e-13,-4.16668e-10,1.51546e-13,0.148448,0.11583,0.299376,-0.0871527,52.2567,10000000,0
